,secuencia,birch-2,birch-3,birch-4,birch-5,birch-6,birch-7,birch-8,birch-9,birch-10,birch-11,birch-12,birch-13,birch-14,birch-15,birch-16,birch-17,birch-18,birch-19,birch-20,birch-21,birch-22,birch-23,birch-24,birch-25,birch-26,birch-27,birch-28,birch-29
0,sequence_51016,0,2,0,4,4,4,4,4,9,9,4,4,4,4,1,1,0,8,8,8,3,3,3,1,1,0,13,13
1,sequence_51170,1,1,1,0,5,5,5,5,5,5,5,2,0,8,8,8,8,3,1,0,8,8,8,8,8,8,8,8
2,sequence_32130,0,0,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,3,1,0,4,1,0,25,25,25,25
3,sequence_51136,1,1,1,0,1,0,2,2,2,2,2,0,2,2,2,0,10,10,10,10,10,10,4,4,4,4,4,4
4,sequence_51191,1,1,1,0,1,0,3,8,8,8,8,8,8,3,3,3,3,1,0,3,1,0,10,10,10,10,10,10
5,sequence_51140,1,1,1,0,5,5,5,5,5,5,5,2,0,8,8,8,8,3,1,0,8,8,8,8,8,8,8,8
6,sequence_51149,1,1,1,0,5,5,5,5,5,5,5,2,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
7,sequence_51181,1,1,1,0,5,5,5,5,5,5,5,2,0,8,8,8,8,3,1,0,8,8,8,8,8,8,8,8
8,sequence_51159,1,1,1,0,5,5,5,5,5,5,5,2,0,8,8,8,8,3,1,0,8,8,8,8,8,8,8,8
9,sequence_51175,1,1,1,0,5,5,5,5,5,5,5,2,0,8,8,8,8,3,1,0,8,8,8,8,8,8,8,8
10,sequence_51174,1,1,1,0,5,5,5,5,5,5,5,2,0,8,8,8,8,3,1,0,8,8,8,8,8,8,8,8
11,sequence_51169,1,1,1,0,1,0,2,2,2,2,2,0,2,2,2,0,17,17,17,17,17,17,17,17,17,17,17,17
12,sequence_51199,1,1,1,0,5,5,5,5,5,5,5,2,0,8,8,8,8,3,1,0,8,8,8,8,8,8,8,8
13,sequence_51144,1,1,1,0,5,5,5,5,5,5,5,2,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
14,sequence_51183,1,1,1,0,5,5,5,5,5,5,5,2,0,8,8,8,8,3,1,0,8,8,8,8,8,8,8,8
15,sequence_51157,1,1,1,0,5,5,5,5,5,5,5,2,0,8,8,8,8,3,1,0,8,8,8,8,8,8,8,8
16,sequence_51163,1,1,1,0,5,5,5,5,5,5,5,2,0,8,8,8,8,3,1,0,8,8,8,8,8,8,8,8
17,sequence_51173,1,1,1,0,5,5,5,5,5,5,5,2,0,8,8,8,8,3,1,0,8,8,8,8,8,8,8,8
18,sequence_51168,1,1,1,0,5,5,5,5,5,5,5,2,0,8,8,8,8,3,1,0,21,21,21,21,21,21,21,21
19,sequence_51171,1,1,1,0,5,5,5,5,5,5,5,2,0,8,8,8,8,3,1,0,8,8,8,8,8,8,8,8
20,sequence_51182,1,1,1,0,1,0,3,8,8,8,8,8,8,3,3,3,3,1,0,9,9,9,9,9,9,9,9,9
21,sequence_51131,1,1,1,0,1,0,2,2,2,2,2,0,2,2,2,0,10,10,10,10,10,10,4,4,4,4,4,4
22,sequence_51138,1,1,1,0,1,0,2,2,2,2,2,0,13,13,13,6,6,6,6,6,6,6,6,6,6,6,2,2
23,sequence_51196,1,1,1,0,1,0,3,8,8,8,8,8,8,3,3,3,3,1,0,9,9,9,9,9,9,9,9,9
24,sequence_51202,1,1,1,0,1,0,2,2,2,2,2,0,2,2,2,0,10,10,10,10,10,10,4,4,4,4,4,4
25,sequence_51192,1,1,1,0,1,0,2,2,2,2,2,0,13,13,13,6,6,6,6,6,6,6,6,6,6,6,2,2
26,sequence_51147,1,1,1,0,1,0,3,8,8,8,8,8,8,3,3,3,3,1,0,3,1,0,11,24,24,24,24,24
27,sequence_51151,1,1,1,0,5,5,5,5,5,5,5,2,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
28,sequence_51145,1,1,1,0,1,0,3,8,8,8,8,8,8,3,3,3,3,1,0,3,1,0,10,10,10,10,10,10
29,sequence_51187,1,1,1,0,1,0,3,8,8,8,8,8,8,3,3,3,3,1,0,3,1,0,10,10,10,10,10,10
30,sequence_51148,1,1,1,0,1,0,2,2,2,2,2,0,2,2,2,0,10,10,10,10,10,10,4,4,4,4,4,4
31,sequence_51141,1,1,1,0,5,5,5,5,5,5,5,2,0,8,8,8,8,3,1,0,21,21,21,21,21,21,21,21
32,sequence_51137,1,1,1,0,1,0,3,8,8,8,8,8,8,3,3,3,3,1,0,3,1,0,11,24,24,24,24,24
33,sequence_32151,0,0,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,3,1,0,4,1,0,25,25,25,25
34,sequence_32148,0,0,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,3,1,0,4,1,0,25,25,25,25
35,sequence_32117,0,0,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,3,1,0,4,1,0,25,25,25,25
36,sequence_32141,0,0,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,3,1,0,4,1,0,25,25,25,25
37,sequence_32124,0,0,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,3,1,0,4,1,0,25,25,25,25
38,sequence_32126,0,0,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,3,1,0,4,1,0,12,12,12,12
39,sequence_32127,0,0,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,3,1,0,4,1,0,25,25,25,25
40,sequence_32133,0,0,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,3,1,0,4,1,0,25,25,25,25
41,sequence_32131,0,0,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,3,1,0,22,22,22,22,22,22,22
42,sequence_32174,0,0,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,3,1,0,4,1,0,25,25,25,25
43,sequence_32114,0,0,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,3,1,0,4,1,0,25,25,25,25
44,sequence_32147,0,0,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,3,1,0,4,1,0,25,25,25,25
45,sequence_32119,0,0,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,3,1,0,4,1,0,25,25,25,25
46,sequence_32122,0,0,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,3,1,0,4,1,0,12,12,12,12
47,sequence_32125,0,0,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,3,1,0,4,1,0,12,12,12,12
48,sequence_32128,0,0,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,3,1,0,4,1,0,25,25,25,25
49,sequence_32129,0,0,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,3,1,0,4,1,0,25,25,25,25
50,sequence_32132,0,0,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,7,3,1,0,22,22,22,22,22,22,22
51,sequence_32167,0,0,2,2,2,2,0,1,4,4,1,1,1,0,10,10,4,4,4,4,4,1,0,7,7,3,3,1
52,sequence_50970,0,2,0,4,4,4,4,4,9,9,4,4,4,4,1,1,0,8,8,8,3,3,3,1,1,0,13,13
53,sequence_51045,0,2,0,4,4,4,4,4,9,9,4,4,4,4,1,1,0,8,8,8,3,3,3,1,1,0,27,27
54,sequence_51003,0,2,0,4,4,4,4,4,9,9,4,4,4,4,1,1,0,8,8,8,3,3,3,1,1,0,13,13
