,secuencia,meanshift2,meanshift3,meanshift4,meanshift5,meanshift6,meanshift7,meanshift8,meanshift9,meanshift10,meanshift11,meanshift12,meanshift13,meanshift14,meanshift15,meanshift16,meanshift17,meanshift18,meanshift19,meanshift20,meanshift21,meanshift22,meanshift23,meanshift24,meanshift25,meanshift26,meanshift27,meanshift28,meanshift29
0,sequence_47787,19,21,24,25,32,32,32,34,33,33,33,33,33,33,33,33,35,37,37,38,40,36,36,37,15,16,16,16
1,sequence_47684,87,83,84,5,12,12,12,14,13,13,13,14,14,14,14,14,14,17,17,17,19,16,16,17,11,11,11,11
2,sequence_47789,21,23,26,27,34,34,34,36,35,35,35,35,35,35,35,35,37,39,39,40,42,38,38,39,15,16,16,16
3,sequence_47790,20,22,25,26,33,33,33,35,34,34,34,34,34,34,34,34,36,38,38,39,41,37,37,38,37,38,38,38
4,sequence_47781,31,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,3,3,4,7,7,7,2,2,2,2
5,sequence_47777,23,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,3,3,4,7,7,7,2,2,2,2
6,sequence_47779,29,0,0,0,0,0,0,0,0,1,1,3,3,3,3,3,3,3,3,3,4,7,7,7,2,2,2,2
7,sequence_47784,25,26,28,29,36,36,36,38,37,37,37,37,37,37,37,37,39,41,41,42,5,8,8,8,7,7,7,7
8,sequence_47786,17,19,22,23,30,30,30,32,31,31,31,31,31,31,31,31,33,35,35,36,38,34,34,35,35,36,36,36
9,sequence_47782,27,28,30,31,38,38,38,40,39,39,39,39,39,39,39,39,41,43,43,44,45,41,41,42,40,41,41,41
10,sequence_47772,37,36,37,38,45,45,45,6,6,6,6,9,9,9,9,9,9,13,13,13,6,9,9,9,5,5,5,5
11,sequence_47795,6,10,13,14,21,21,21,23,22,22,22,22,22,22,22,22,24,26,26,27,29,25,25,26,28,29,29,29
12,sequence_47776,35,34,35,36,43,43,43,6,6,6,6,9,9,9,9,9,9,13,13,13,6,9,9,9,5,5,5,5
13,sequence_47685,86,82,83,84,83,83,83,82,81,81,81,79,79,79,79,79,81,79,79,80,78,73,73,72,64,64,64,64
14,sequence_47679,92,87,88,88,10,10,10,12,11,11,11,13,13,13,13,13,13,16,16,16,18,1,1,1,3,3,3,3
15,sequence_47695,75,71,72,73,72,72,72,71,70,70,70,68,68,68,68,68,70,69,69,70,68,63,63,62,18,19,19,19
16,sequence_47710,61,58,59,60,66,66,66,65,64,64,64,63,63,63,63,63,65,64,64,65,63,59,59,58,54,54,54,54
17,sequence_47686,88,84,85,85,84,84,84,83,82,82,82,80,80,80,80,80,82,80,80,81,79,74,74,73,11,11,11,11
18,sequence_47778,24,25,2,2,5,5,5,5,5,5,5,8,8,8,8,8,8,12,12,12,15,6,6,6,2,2,2,2
19,sequence_47780,30,30,2,2,5,5,5,5,5,5,5,8,8,8,8,8,8,12,12,12,15,6,6,6,2,2,2,2
20,sequence_47785,28,29,31,32,39,39,39,41,40,40,40,40,40,40,40,40,42,44,44,45,46,42,42,43,41,42,42,42
21,sequence_47803,10,14,17,18,25,25,25,27,26,26,26,26,26,26,26,26,28,30,30,31,33,29,29,30,13,14,14,14
22,sequence_47663,149,144,141,140,130,130,130,129,128,128,128,123,123,123,123,123,122,115,115,114,108,103,103,102,93,89,89,89
23,sequence_47757,118,113,114,113,104,104,104,103,102,102,102,98,98,98,98,98,98,94,94,93,23,20,20,21,23,24,24,24
24,sequence_47783,26,27,29,30,37,37,37,39,38,38,38,38,38,38,38,38,40,42,42,43,44,40,40,41,39,40,40,40
25,sequence_47796,33,32,33,34,41,41,41,43,42,42,42,42,42,42,42,42,44,46,46,47,5,8,8,8,7,7,7,7
