,secuencia,K-means-2,K-means-3,K-means-4,K-means-5,K-means-6,K-means-7,K-means-8,K-means-9,K-means-10,K-means-11,K-means-12,K-means-13,K-means-14,K-means-15,K-means-16,K-means-17,K-means-18,K-means-19,K-means-20,K-means-21,K-means-22,K-means-23,K-means-24,K-means-25,K-means-26,K-means-27,K-means-28,K-means-29
0,sequence_47787,1,0,3,3,5,2,1,3,9,7,3,0,2,2,1,15,9,5,18,17,3,22,15,19,16,6,2,22
1,sequence_47684,0,1,0,0,5,2,1,8,0,3,2,11,1,14,0,9,4,12,4,15,16,15,16,24,18,19,9,6
2,sequence_47789,1,0,3,3,5,2,1,3,9,7,3,0,2,2,1,15,9,5,9,10,3,22,15,19,16,17,2,20
3,sequence_47790,1,0,3,3,5,2,1,3,9,7,3,0,2,2,1,15,9,5,9,10,3,22,15,19,16,17,2,20
4,sequence_47781,1,0,3,4,5,2,1,3,9,7,3,0,2,2,1,15,9,5,18,10,3,0,15,6,3,6,2,5
5,sequence_47777,1,0,3,4,5,2,1,3,9,7,3,0,2,2,1,15,9,5,18,10,3,0,15,19,3,6,2,5
6,sequence_47779,1,0,0,0,5,2,1,3,9,7,3,11,2,2,1,5,4,5,18,17,3,22,6,6,16,6,2,26
7,sequence_47784,0,0,0,0,5,2,1,3,4,8,3,11,2,11,1,5,4,5,18,17,3,22,6,6,16,6,27,26
8,sequence_47786,1,0,0,0,5,2,1,3,4,8,3,11,2,11,1,5,4,5,18,17,3,22,6,6,16,6,27,26
9,sequence_47782,0,0,0,0,5,2,1,3,4,8,3,11,2,11,1,5,4,5,18,17,3,22,6,6,16,6,27,26
10,sequence_47772,0,1,0,0,5,2,6,4,8,1,11,12,13,1,12,6,10,9,10,8,5,11,9,8,13,14,14,23
11,sequence_47795,0,1,2,1,0,1,6,4,8,1,4,12,13,1,12,6,8,2,8,8,19,11,9,8,13,14,14,16
12,sequence_47776,1,0,3,3,5,2,1,3,9,7,3,0,2,2,1,15,9,5,18,17,3,22,15,19,16,6,2,22
13,sequence_47685,0,0,0,0,5,2,1,8,0,3,2,11,12,14,11,5,4,12,4,15,16,9,16,24,18,19,9,6
14,sequence_47679,0,0,0,0,1,2,5,8,0,3,2,5,12,9,11,11,12,13,12,13,12,14,10,10,9,2,13,12
15,sequence_47695,0,1,2,1,0,1,0,2,1,6,8,2,3,8,3,1,1,8,1,7,1,2,1,11,8,7,16,3
