,secuencia,affinity-0.5,affinity-0.55,affinity-0.6000000000000001,affinity-0.6500000000000001,affinity-0.7000000000000002,affinity-0.7500000000000002,affinity-0.8000000000000003,affinity-0.8500000000000003,affinity-0.9000000000000004,affinity-0.9500000000000004
0,sequence_53082,0,0,0,0,0,0,0,0,0,0
1,sequence_19402,5,5,7,5,5,5,5,5,5,5
2,sequence_20054,3,3,4,3,3,3,3,3,3,3
3,sequence_20048,3,3,4,3,3,3,3,3,3,3
4,sequence_20036,12,12,12,12,12,12,12,12,12,12
5,sequence_19525,4,4,2,4,4,4,4,4,4,4
6,sequence_20061,7,7,6,7,7,7,7,7,7,7
7,sequence_19496,5,5,2,5,5,5,5,5,5,5
8,sequence_19477,15,14,14,14,14,14,14,14,14,14
9,sequence_19363,13,13,13,13,13,13,13,13,13,13
10,sequence_19500,9,9,9,9,9,9,9,9,9,9
11,sequence_19453,8,8,8,8,8,8,8,8,8,8
12,sequence_53075,7,7,6,7,7,7,7,7,7,7
13,sequence_19522,10,10,10,10,10,10,10,10,10,10
14,sequence_19523,4,4,2,4,4,4,4,4,4,4
15,sequence_53078,1,1,1,1,1,1,1,1,1,1
16,sequence_20069,7,7,6,7,7,7,7,7,7,7
17,sequence_53062,2,2,3,2,2,2,2,2,2,2
18,sequence_20060,7,7,6,7,7,7,7,7,7,7
19,sequence_53066,1,1,1,1,1,1,1,1,1,1
20,sequence_19417,10,10,7,10,10,10,10,10,10,10
21,sequence_19391,8,8,8,8,8,8,8,8,8,8
22,sequence_19447,15,14,14,14,14,14,14,14,14,14
23,sequence_53079,1,1,1,1,1,1,1,1,1,1
24,sequence_20042,3,3,4,3,3,3,3,3,3,3
25,sequence_19419,8,8,8,8,8,8,8,8,8,8
26,sequence_19425,6,6,5,6,6,6,6,6,6,6
27,sequence_19450,13,14,14,14,14,14,14,14,14,14
28,sequence_53085,0,0,0,0,0,0,0,0,0,0
29,sequence_19509,4,4,2,4,4,4,4,4,4,4
30,sequence_53059,1,1,1,1,1,1,1,1,1,1
31,sequence_19430,8,8,8,8,8,8,8,8,8,8
32,sequence_20052,3,3,4,3,3,3,3,3,3,3
33,sequence_19369,5,5,2,5,5,5,5,5,5,5
34,sequence_53064,2,2,3,2,2,2,2,2,2,2
35,sequence_20072,7,7,6,7,7,7,7,7,7,7
36,sequence_20038,2,2,3,2,2,2,2,2,2,2
37,sequence_20039,12,12,12,12,12,12,12,12,12,12
38,sequence_19506,10,10,10,10,10,10,10,10,10,10
39,sequence_20064,8,8,8,8,8,8,8,8,8,8
40,sequence_19530,10,10,7,10,10,10,10,10,10,10
41,sequence_19498,15,14,14,14,14,14,14,14,14,14
42,sequence_19504,4,4,2,4,4,4,4,4,4,4
43,sequence_19386,13,13,13,13,13,13,13,13,13,13
44,sequence_19519,6,14,14,14,14,14,14,14,14,14
45,sequence_19404,13,13,13,13,13,13,13,13,13,13
46,sequence_19446,10,10,10,10,10,10,10,10,10,10
47,sequence_20063,7,7,6,7,7,7,7,7,7,7
48,sequence_20043,12,12,12,12,12,12,12,12,12,12
49,sequence_19497,9,9,9,9,9,9,9,9,9,9
50,sequence_19490,10,10,10,10,10,10,10,10,10,10
51,sequence_19376,8,8,8,8,8,8,8,8,8,8
52,sequence_19406,13,13,13,13,13,13,13,13,13,13
53,sequence_19405,11,11,11,11,11,11,11,11,11,11
54,sequence_19382,11,11,11,11,11,11,11,11,11,11
55,sequence_20067,9,9,9,9,9,9,9,9,9,9
56,sequence_19409,17,17,17,17,17,17,17,17,17,17
57,sequence_19354,13,13,13,13,13,13,13,13,13,13
58,sequence_20040,3,3,4,3,3,3,3,3,3,3
59,sequence_19370,5,5,7,5,5,5,5,5,5,5
60,sequence_19432,4,4,2,4,4,4,4,4,4,4
61,sequence_19371,10,10,7,10,10,10,10,10,10,10
62,sequence_19434,8,8,8,8,8,8,8,8,8,8
63,sequence_19505,10,10,2,10,10,10,10,10,10,10
64,sequence_53070,1,1,1,1,1,1,1,1,1,1
65,sequence_19392,8,8,8,8,8,8,8,8,8,8
66,sequence_19357,11,11,11,11,11,11,11,11,11,11
67,sequence_20056,7,7,6,7,7,7,7,7,7,7
68,sequence_19526,8,8,8,8,8,8,8,8,8,8
69,sequence_20046,12,12,12,12,12,12,12,12,12,12
70,sequence_19443,6,6,5,6,6,6,6,6,6,6
71,sequence_19410,11,11,11,11,11,11,11,11,11,11
72,sequence_19390,8,8,8,8,8,8,8,8,8,8
73,sequence_19439,6,6,5,6,6,6,6,6,6,6
74,sequence_20071,7,7,6,7,7,7,7,7,7,7
75,sequence_19451,13,14,14,14,14,14,14,14,14,14
76,sequence_20041,3,3,4,3,3,3,3,3,3,3
77,sequence_19415,13,13,13,13,13,13,13,13,13,13
78,sequence_20035,12,12,12,12,12,12,12,12,12,12
79,sequence_20051,3,3,4,3,3,3,3,3,3,3
80,sequence_19397,5,5,2,5,5,5,5,5,5,5
81,sequence_19394,5,5,7,5,5,5,5,5,5,5
82,sequence_19374,8,8,8,8,8,8,8,8,8,8
83,sequence_19378,5,5,7,5,5,5,5,5,5,5
84,sequence_19441,6,6,5,6,6,6,6,6,6,6
85,sequence_19433,4,4,2,4,4,4,4,4,4,4
86,sequence_20062,7,7,6,7,7,7,7,7,7,7
87,sequence_19393,5,5,2,5,5,5,5,5,5,5
88,sequence_20065,3,3,4,3,3,3,3,3,3,3
89,sequence_19383,11,11,11,11,11,11,11,11,11,11
90,sequence_19422,10,10,10,10,10,10,10,10,10,10
91,sequence_19495,4,4,2,4,4,4,4,4,4,4
92,sequence_19431,8,8,8,8,8,8,8,8,8,8
93,sequence_20058,7,7,6,7,7,7,7,7,7,7
94,sequence_19488,8,8,8,8,8,8,8,8,8,8
95,sequence_19375,5,5,2,5,5,5,5,5,5,5
96,sequence_19511,15,14,14,14,14,14,14,14,14,14
97,sequence_53065,2,2,3,2,2,2,2,2,2,2
98,sequence_53074,7,7,6,7,7,7,7,7,7,7
99,sequence_20050,12,12,12,12,12,12,12,12,12,12
100,sequence_19515,15,14,14,14,14,14,14,14,14,14
101,sequence_20057,7,7,6,7,7,7,7,7,7,7
102,sequence_19438,15,14,14,14,14,14,14,14,14,14
103,sequence_19486,4,4,2,4,4,4,4,4,4,4
104,sequence_19389,10,10,10,10,10,10,10,10,10,10
105,sequence_19468,6,6,5,6,6,6,6,6,6,6
106,sequence_20068,9,9,9,9,9,9,9,9,9,9
107,sequence_19420,5,5,2,5,5,5,5,5,5,5
108,sequence_20076,7,7,6,7,7,7,7,7,7,7
109,sequence_20070,7,7,6,7,7,7,7,7,7,7
110,sequence_19399,5,5,7,5,5,5,5,5,5,5
111,sequence_19436,8,8,8,8,8,8,8,8,8,8
112,sequence_19492,8,8,8,8,8,8,8,8,8,8
113,sequence_19445,4,4,2,4,4,4,4,4,4,4
114,sequence_19403,11,11,11,11,11,11,11,11,11,11
115,sequence_19428,14,15,15,15,15,15,15,15,15,15
116,sequence_19377,5,5,7,5,5,5,5,5,5,5
117,sequence_19427,13,14,14,14,14,14,14,14,14,14
118,sequence_19521,8,8,8,8,8,8,8,8,8,8
119,sequence_20045,12,12,12,12,12,12,12,12,12,12
120,sequence_19412,13,13,13,13,13,13,13,13,13,13
121,sequence_19508,10,10,10,10,10,10,10,10,10,10
