,secuencia,K-means-2,K-means-3,K-means-4,K-means-5,K-means-6,K-means-7,K-means-8,K-means-9,K-means-10,K-means-11,K-means-12,K-means-13,K-means-14,K-means-15,K-means-16,K-means-17,K-means-18,K-means-19,K-means-20,K-means-21,K-means-22,K-means-23,K-means-24,K-means-25,K-means-26,K-means-27,K-means-28,K-means-29
0,sequence_53082,1,0,0,1,4,4,6,6,6,5,11,12,7,11,15,8,11,14,8,17,11,7,5,5,2,5,4,16
1,sequence_19402,0,1,2,3,1,1,3,7,9,7,0,0,1,0,14,15,13,1,0,19,14,21,12,13,0,25,20,3
2,sequence_20054,0,1,2,2,3,2,4,0,8,6,9,9,10,2,11,6,5,4,9,7,12,6,2,14,22,12,3,15
3,sequence_20048,0,1,2,2,3,2,4,4,8,6,9,9,10,2,11,6,5,4,9,7,12,6,2,14,22,12,3,15
4,sequence_20036,1,0,0,1,4,6,7,2,3,2,10,10,11,9,12,3,7,16,15,18,6,16,19,16,25,18,14,4
5,sequence_19525,0,1,2,3,1,1,1,0,2,0,4,4,8,8,1,10,1,9,4,16,17,1,16,2,3,26,8,26
6,sequence_20061,1,0,0,1,4,6,7,2,3,2,5,5,9,12,0,9,3,2,2,8,3,3,10,15,4,14,17,20
7,sequence_19496,0,1,2,3,1,1,1,0,2,0,4,4,13,8,1,10,9,7,4,16,1,5,16,2,16,1,0,17
8,sequence_19477,1,2,1,4,0,5,0,1,0,3,6,6,0,1,2,5,15,11,1,11,19,10,1,12,12,10,9,21
9,sequence_19363,1,2,1,4,2,3,2,5,4,1,1,1,2,3,6,4,17,18,12,1,2,14,20,24,21,4,18,22
10,sequence_19500,1,0,3,0,5,0,5,3,7,4,7,7,4,4,4,11,4,6,13,9,4,4,6,3,20,23,5,5
11,sequence_19453,0,1,2,3,1,1,1,8,1,10,3,3,6,7,10,7,14,13,18,12,15,11,23,10,23,9,7,0
12,sequence_53075,1,0,0,1,4,4,6,6,6,5,5,12,3,13,9,3,8,5,5,2,16,20,15,22,10,16,15,9
13,sequence_19522,0,1,2,3,1,1,3,7,9,7,0,0,1,0,14,1,6,1,0,0,7,8,0,9,15,8,21,10
14,sequence_19523,0,1,2,3,1,1,1,0,2,0,4,4,8,8,1,10,1,9,4,16,17,1,16,21,3,26,8,26
15,sequence_53078,0,1,2,2,3,2,4,4,8,6,8,8,12,14,3,16,16,10,19,6,8,15,14,4,13,7,13,19
16,sequence_20069,1,0,0,1,4,6,7,2,3,2,5,5,9,12,0,9,3,2,2,8,18,3,21,15,17,2,17,12
17,sequence_53062,1,0,0,1,4,4,6,6,6,5,10,12,3,5,9,3,8,15,5,20,16,17,15,11,10,21,11,25
18,sequence_20060,1,0,0,1,4,6,7,2,3,2,5,5,9,12,0,9,3,2,2,8,3,3,10,15,4,14,17,20
19,sequence_53066,0,1,2,2,3,2,4,4,8,6,8,8,12,14,3,16,16,10,19,6,8,15,14,4,13,7,13,19
20,sequence_19417,0,1,2,3,1,1,3,7,9,7,0,0,1,0,14,15,13,1,0,0,14,21,12,9,0,25,20,3
21,sequence_19391,0,1,2,3,1,1,1,8,1,10,3,3,6,7,10,7,14,13,10,12,10,19,11,1,11,9,10,18
22,sequence_19447,1,2,1,4,0,5,0,1,0,3,6,6,0,1,2,5,15,11,17,15,19,10,8,12,12,10,9,21
23,sequence_53079,0,1,2,2,3,2,4,4,8,6,8,8,12,14,3,16,16,10,19,6,8,15,14,4,13,7,13,19
24,sequence_20042,0,1,2,2,3,2,4,4,8,6,9,9,10,2,11,6,5,4,9,7,12,6,2,14,6,12,3,15
25,sequence_19419,0,1,2,3,1,1,1,8,1,10,3,3,6,7,10,7,14,13,10,12,15,19,11,1,14,9,10,2
26,sequence_19425,1,2,1,4,0,5,0,1,5,9,2,2,5,10,5,0,0,3,14,3,21,0,18,19,7,6,12,11
