,secuencia,meanshift2,meanshift3,meanshift4,meanshift5,meanshift6,meanshift7,meanshift8,meanshift9,meanshift10,meanshift11,meanshift12,meanshift13,meanshift14,meanshift15,meanshift16,meanshift17,meanshift18,meanshift19,meanshift20,meanshift21,meanshift22,meanshift23,meanshift24,meanshift25,meanshift26,meanshift27,meanshift28,meanshift29
0,sequence_40826,1,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,sequence_40787,4,7,7,7,7,7,7,7,7,7,11,11,11,12,12,12,13,13,13,13,13,13,14,16,15,13,16,16
2,sequence_40789,11,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,16,16,16,16,16,16,17,19,18,16,19,19
3,sequence_40794,9,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,14,14,14,14,14,14,15,17,16,14,17,17
4,sequence_40806,24,25,25,25,25,25,25,25,25,25,24,24,24,23,23,23,24,24,24,24,24,24,25,26,25,23,26,26
5,sequence_40807,75,72,72,72,72,72,72,71,71,71,65,65,65,0,0,0,0,0,0,0,0,0,0,12,11,0,0,0
6,sequence_40809,76,73,73,73,73,73,73,72,72,72,66,66,66,64,64,64,65,65,65,65,65,65,63,12,11,0,0,0
7,sequence_40811,27,28,28,28,28,28,28,27,27,27,26,26,26,25,25,25,26,26,26,26,26,26,27,28,27,25,28,28
8,sequence_40813,70,67,67,67,67,67,67,66,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,sequence_40814,28,29,29,29,29,29,29,28,28,28,27,27,27,26,26,26,27,27,27,27,27,27,28,29,28,26,29,29
10,sequence_40845,32,1,1,1,1,1,1,2,2,2,4,4,4,5,5,5,5,5,5,5,5,5,6,7,6,5,7,7
11,sequence_40855,67,64,64,64,64,64,64,63,63,63,58,58,58,57,57,57,58,58,58,58,58,58,56,56,55,53,0,0
12,sequence_40857,30,1,1,1,1,1,1,2,2,2,4,4,4,5,5,5,5,5,5,5,5,5,6,7,6,5,7,7
13,sequence_40840,64,61,61,61,61,61,61,60,60,60,8,8,8,9,9,9,9,9,9,9,9,9,10,11,10,9,11,11
