,secuencia,K-means-2,K-means-3,K-means-4,K-means-5,K-means-6,K-means-7,K-means-8,K-means-9,K-means-10,K-means-11,K-means-12,K-means-13,K-means-14,K-means-15,K-means-16,K-means-17,K-means-18,K-means-19,K-means-20,K-means-21,K-means-22,K-means-23,K-means-24,K-means-25,K-means-26,K-means-27,K-means-28,K-means-29
0,sequence_40826,0,1,3,4,3,0,4,4,0,0,7,2,4,7,10,15,12,4,17,18,11,4,3,8,7,5,6,19
1,sequence_40787,0,2,0,1,0,1,2,7,2,8,0,9,9,4,1,0,1,8,3,10,12,9,14,6,4,15,12,4
2,sequence_40789,0,1,3,1,0,1,4,7,5,8,0,9,1,12,1,4,4,8,3,10,14,9,9,3,4,15,12,27
3,sequence_40794,0,1,2,2,2,5,1,1,5,6,11,3,11,12,4,4,0,11,9,11,7,16,8,3,17,18,16,0
4,sequence_40806,0,1,3,4,2,0,4,4,0,0,7,10,4,7,10,15,12,0,17,18,11,4,3,8,7,5,6,1
5,sequence_40807,0,1,2,2,5,4,7,6,4,5,2,6,10,9,8,11,0,12,11,12,16,7,7,14,8,4,18,16
6,sequence_40809,0,1,3,1,3,1,4,8,2,4,3,2,12,12,10,7,12,4,17,5,4,19,4,8,5,5,22,9
7,sequence_40811,0,1,3,4,3,0,4,4,0,4,7,0,1,12,10,7,12,0,17,18,3,19,9,8,7,5,6,1
8,sequence_40813,0,1,3,4,2,0,1,4,0,0,7,10,4,7,10,15,12,0,17,18,11,4,3,5,7,5,6,19
9,sequence_40814,0,1,3,1,3,1,2,8,2,4,3,2,12,12,5,5,9,4,7,5,4,5,18,18,5,9,22,21
10,sequence_40845,0,1,3,4,2,0,1,4,0,0,3,10,4,7,5,5,9,0,17,18,11,4,18,18,7,9,6,19
11,sequence_40855,0,1,3,1,3,1,4,8,2,4,3,2,12,12,5,5,9,4,7,5,4,19,18,18,5,9,22,9
12,sequence_40857,0,1,3,4,2,0,1,4,0,0,3,10,4,7,5,5,9,0,17,18,11,4,18,18,7,9,22,19
13,sequence_40840,1,0,1,3,1,2,5,2,9,9,9,11,8,14,13,9,15,9,10,9,10,13,16,11,16,19,10,6
14,sequence_40841,1,0,1,1,3,1,5,8,9,9,9,11,8,14,13,6,15,9,10,9,10,13,16,11,16,19,10,6
15,sequence_40842,0,1,3,1,3,1,4,8,2,0,7,2,4,1,10,6,10,4,17,18,11,2,9,22,13,1,25,19
16,sequence_40844,1,0,1,3,1,6,0,5,6,2,9,1,8,2,13,9,17,2,1,7,21,22,23,20,18,3,3,15
17,sequence_40838,0,1,3,1,3,1,4,8,2,4,4,2,12,1,6,6,10,4,7,5,4,15,1,22,1,1,21,19
18,sequence_40816,0,1,3,4,2,0,1,4,0,0,7,10,4,7,10,15,12,0,17,18,11,4,3,5,7,0,6,1
19,sequence_40817,0,1,3,4,3,0,4,4,0,0,7,10,4,7,10,15,12,0,17,18,11,4,3,5,7,0,6,1
20,sequence_40818,0,1,3,1,3,1,4,8,2,4,7,2,4,1,0,6,10,4,17,18,11,2,15,23,13,1,25,12
21,sequence_40827,0,2,0,0,4,3,6,3,3,3,6,4,5,6,3,3,5,17,8,13,5,11,10,4,0,7,13,17
22,sequence_40828,0,1,2,2,2,5,1,1,5,4,3,3,0,3,10,4,14,13,0,20,19,20,4,21,15,20,19,24
23,sequence_40829,0,1,3,4,2,0,4,4,0,0,7,10,4,7,10,15,12,0,0,18,11,4,3,5,7,5,6,1
24,sequence_40831,0,1,3,1,3,1,4,8,2,4,3,2,12,12,6,6,4,4,7,5,4,19,4,22,5,9,22,9
25,sequence_40856,1,0,1,3,1,2,0,2,1,2,1,1,8,2,2,9,2,2,4,7,1,22,6,20,18,3,3,3
26,sequence_40815,1,0,1,3,1,2,0,2,1,2,1,1,3,2,7,9,2,2,5,1,1,1,6,2,2,17,3,3
27,sequence_40851,1,0,1,3,1,6,0,5,6,7,8,5,13,5,12,12,13,7,1,14,13,14,11,13,9,8,9,11
28,sequence_40847,1,0,1,3,1,2,0,2,1,2,1,1,8,2,2,9,2,2,4,7,1,6,6,2,2,3,3,3
29,sequence_40858,1,0,1,3,1,2,0,2,1,2,1,1,8,2,2,9,2,2,4,7,1,6,6,2,18,3,3,3
30,sequence_40852,1,0,1,3,1,2,0,2,1,2,1,1,3,2,7,1,2,14,5,1,1,6,6,2,2,17,27,3
31,sequence_40843,1,0,1,3,1,2,0,2,1,2,1,1,8,2,2,9,17,2,4,7,21,22,6,20,18,3,3,15
32,sequence_40846,1,0,1,3,1,6,0,5,6,7,8,5,13,5,12,12,13,7,1,14,13,14,11,13,9,8,9,11
33,sequence_40791,1,0,1,3,1,2,5,2,7,1,1,7,3,0,11,10,16,1,18,17,20,17,17,9,11,6,1,2
34,sequence_40793,1,0,1,3,1,2,5,2,7,1,1,7,3,0,11,10,16,1,18,17,20,17,17,9,11,6,1,2
