,secuencia,birch-2,birch-3,birch-4,birch-5,birch-6,birch-7,birch-8,birch-9,birch-10,birch-11,birch-12,birch-13,birch-14,birch-15,birch-16,birch-17,birch-18,birch-19,birch-20,birch-21,birch-22,birch-23,birch-24,birch-25,birch-26,birch-27,birch-28,birch-29
0,sequence_47787,0,2,2,0,2,0,4,4,1,0,5,5,5,5,2,2,2,2,2,2,2,2,0,24,24,24,24,11
1,sequence_47684,0,2,2,0,2,0,3,3,3,1,1,1,0,4,4,1,0,8,8,8,8,8,8,8,8,8,8,8
2,sequence_47789,0,2,2,0,2,0,4,4,1,0,5,5,5,5,2,2,2,2,2,2,2,2,0,2,2,2,0,24
3,sequence_47790,0,2,2,0,2,0,4,4,1,0,5,5,5,5,2,2,2,2,2,2,2,2,0,24,24,24,24,11
4,sequence_47781,0,1,0,2,0,2,2,2,2,2,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0
5,sequence_47777,0,1,0,2,0,2,2,2,2,2,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0
6,sequence_47779,0,1,0,2,0,2,2,2,2,2,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0
7,sequence_47784,1,0,1,1,1,1,0,0,4,4,4,4,4,1,1,0,3,1,0,4,4,1,1,1,0,15,15,15
8,sequence_47786,0,2,2,0,2,0,4,4,1,0,2,0,8,8,8,8,17,17,17,17,17,17,17,17,17,17,17,17
9,sequence_47782,1,0,1,1,1,1,0,8,8,8,8,8,3,3,3,3,1,0,7,7,3,3,3,3,1,0,6,6
10,sequence_47772,0,2,2,0,2,0,4,4,1,0,5,5,5,5,2,2,2,2,2,2,2,2,0,2,2,2,0,28
11,sequence_47795,0,2,2,0,2,0,4,4,1,0,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,27,27
12,sequence_47776,0,2,2,0,2,0,4,4,1,0,5,5,5,5,2,2,2,2,2,2,2,2,0,2,2,2,0,28
13,sequence_47685,0,2,2,0,2,0,3,3,3,1,1,1,0,4,4,1,0,8,8,8,8,8,8,8,8,8,8,8
14,sequence_47679,0,1,0,4,4,4,1,1,0,10,10,10,10,10,10,4,4,4,4,1,0,22,22,22,22,22,22,22
15,sequence_47695,0,2,2,0,2,0,3,3,3,1,1,1,0,4,4,1,0,8,8,8,8,8,8,8,8,8,8,8
16,sequence_47710,0,2,2,0,2,0,3,3,3,1,1,1,0,4,4,1,0,8,8,8,8,8,8,8,8,8,8,8
17,sequence_47686,0,2,2,0,2,0,3,3,3,1,1,1,0,4,4,1,0,8,8,8,8,8,8,8,8,8,8,8
18,sequence_47778,0,1,0,2,0,2,2,2,2,2,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0
19,sequence_47780,0,1,0,2,0,2,2,2,2,2,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0
20,sequence_47785,0,1,0,2,0,2,2,2,2,2,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0
21,sequence_47803,0,2,2,0,2,0,4,4,1,0,5,5,5,5,2,2,2,2,2,2,2,2,0,2,2,2,0,24
22,sequence_47663,1,0,1,1,1,1,0,0,4,4,4,4,4,1,1,0,3,1,0,4,4,1,1,1,0,26,26,26
23,sequence_47757,1,0,1,1,1,1,0,0,4,4,4,4,4,1,1,0,3,1,0,4,4,1,1,1,0,26,26,26
24,sequence_47783,1,0,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,3,1,0,21,10,10,10,10,10,10,10
25,sequence_47796,1,0,1,1,1,1,0,0,4,4,4,4,4,1,1,0,3,1,0,4,4,1,1,1,0,15,15,15
26,sequence_47750,0,2,2,0,2,0,3,3,3,1,1,1,0,4,4,1,0,7,3,3,1,0,5,5,5,5,5,2
27,sequence_47760,0,2,2,0,5,5,5,5,5,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,5
28,sequence_47773,0,2,2,0,2,0,4,4,1,0,5,5,5,5,2,2,2,2,2,2,2,2,0,2,2,2,0,24
29,sequence_47768,0,1,0,2,0,2,2,2,2,2,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
