,secuencia,meanshift2,meanshift3,meanshift4,meanshift5,meanshift6,meanshift7,meanshift8,meanshift9,meanshift10,meanshift11,meanshift12,meanshift13,meanshift14,meanshift15,meanshift16,meanshift17,meanshift18,meanshift19,meanshift20,meanshift21,meanshift22,meanshift23,meanshift24,meanshift25,meanshift26,meanshift27,meanshift28,meanshift29
0,sequence_47787,138,138,135,135,1,1,2,5,7,8,8,10,10,9,10,11,10,9,9,7,7,7,8,8,8,8,7,7
1,sequence_47684,78,78,77,77,0,0,0,1,5,6,6,6,7,8,9,10,9,8,8,10,9,9,9,10,11,12,11,10
2,sequence_47789,135,135,132,132,21,21,22,26,28,27,26,26,26,27,28,28,27,25,24,24,23,24,24,24,23,24,23,22
3,sequence_47790,136,136,133,133,109,110,106,100,91,84,83,83,83,78,72,72,71,68,66,61,59,58,57,55,54,48,47,46
4,sequence_47781,125,125,122,122,100,101,97,92,83,76,75,75,75,72,66,66,65,62,60,15,14,14,14,15,16,18,17,16
5,sequence_47777,133,133,130,130,107,108,104,98,89,82,81,81,81,76,70,70,69,66,64,15,14,14,14,15,16,18,17,16
6,sequence_47779,127,127,124,124,101,102,98,93,84,77,76,76,76,73,67,67,66,63,61,15,14,14,14,15,16,18,17,16
7,sequence_47784,131,131,128,128,105,106,102,97,88,81,80,80,80,75,69,69,68,65,63,60,58,57,56,54,53,17,16,15
8,sequence_47786,139,139,136,136,110,111,107,101,92,85,84,84,84,79,73,73,72,69,67,25,24,25,25,9,9,10,9,8
9,sequence_47782,129,129,126,126,103,104,100,95,86,79,78,78,78,74,68,68,67,64,62,59,57,56,55,53,52,47,46,45
10,sequence_47772,112,112,109,109,19,19,20,23,25,24,23,23,23,26,27,27,26,24,23,23,22,22,22,22,21,16,15,14
11,sequence_47795,143,143,140,140,113,114,110,103,94,87,86,86,86,81,75,75,74,71,69,63,61,60,59,57,56,50,49,48
12,sequence_47776,114,114,111,111,19,19,20,23,25,24,23,23,23,26,27,27,26,24,23,23,22,22,22,22,21,16,15,14
13,sequence_47685,77,77,76,76,0,0,0,1,5,6,6,6,7,8,9,10,9,8,8,10,9,9,9,10,11,12,11,10
14,sequence_47679,75,75,74,74,3,3,5,2,0,0,2,3,3,5,6,3,4,5,5,5,5,5,5,5,5,5,5,1
15,sequence_47695,69,69,68,68,0,0,0,1,5,6,6,6,7,8,9,10,9,8,8,10,9,9,9,10,11,12,11,10
16,sequence_47710,90,90,89,89,79,80,76,74,65,60,59,59,59,58,53,53,52,49,47,46,44,45,44,42,41,39,38,37
17,sequence_47686,76,76,75,75,15,15,16,18,22,22,21,21,21,24,24,24,23,22,21,21,20,20,20,20,19,21,20,19
18,sequence_47778,132,132,129,129,106,107,103,25,27,26,25,25,25,15,14,15,14,13,13,8,8,8,7,7,7,6,6,5
19,sequence_47780,126,126,123,123,20,20,21,24,26,25,24,24,24,16,15,16,15,14,14,8,8,8,7,7,7,6,6,5
20,sequence_47785,128,128,125,125,102,103,99,94,85,78,77,77,77,16,15,16,15,14,14,8,8,8,7,7,7,6,6,5
21,sequence_47803,121,121,118,118,21,21,22,26,28,27,26,26,26,27,28,28,27,25,24,24,23,24,24,24,23,24,23,22
22,sequence_47663,27,27,28,28,2,2,3,6,8,9,9,11,11,10,11,12,11,11,10,11,10,10,10,11,12,1,1,2
23,sequence_47757,22,22,25,25,2,2,3,6,8,9,9,11,11,10,11,12,11,11,10,11,10,10,10,11,12,1,1,2
