,secuencia,K-means-2,K-means-3,K-means-4,K-means-5,K-means-6,K-means-7,K-means-8,K-means-9,K-means-10,K-means-11,K-means-12,K-means-13,K-means-14,K-means-15,K-means-16,K-means-17,K-means-18,K-means-19,K-means-20,K-means-21,K-means-22,K-means-23,K-means-24,K-means-25,K-means-26,K-means-27,K-means-28,K-means-29
0,sequence_47787,1,2,3,2,2,4,4,8,4,2,1,5,3,3,6,15,13,0,4,1,4,12,6,20,20,20,20,20
1,sequence_47684,1,2,3,2,2,4,4,8,9,5,7,5,10,7,13,2,6,15,18,6,12,2,2,6,6,6,6,6
2,sequence_47789,1,2,3,2,2,4,4,8,4,2,1,5,3,3,6,15,13,0,4,1,4,12,6,20,20,20,20,20
3,sequence_47790,1,2,3,2,2,4,4,8,4,2,1,5,3,3,6,15,13,0,13,1,4,12,6,20,20,20,20,20
4,sequence_47781,1,1,1,1,1,5,1,1,1,9,4,12,7,5,14,3,4,1,1,0,11,9,5,7,7,7,7,7
5,sequence_47777,1,1,1,1,1,5,1,1,1,9,4,12,7,5,14,3,4,1,1,0,11,9,5,7,7,7,7,7
6,sequence_47779,1,1,1,1,1,5,1,1,1,9,4,12,7,5,14,3,4,1,1,0,11,9,5,7,7,7,7,7
7,sequence_47784,0,0,0,0,0,1,0,2,8,6,2,10,2,6,9,7,9,18,9,17,16,22,17,12,12,12,12,12
8,sequence_47786,1,2,3,2,5,2,2,5,2,10,8,3,0,9,7,5,5,7,6,5,6,21,4,24,24,24,24,24
9,sequence_47782,0,0,0,0,0,1,0,2,8,6,2,10,2,6,9,7,9,18,9,17,16,22,17,12,12,12,12,12
10,sequence_47772,1,2,3,2,2,4,4,8,9,5,7,5,3,12,6,15,6,0,3,1,4,20,9,3,3,3,3,3
11,sequence_47795,1,2,3,2,2,4,4,0,4,2,1,4,8,3,3,2,1,14,4,6,2,15,18,17,17,17,17,17
12,sequence_47776,1,2,3,2,2,4,4,8,9,5,7,5,3,12,6,15,6,0,3,1,4,20,9,3,3,3,3,3
13,sequence_47685,1,2,3,2,2,4,4,8,9,5,7,5,10,7,13,2,13,15,18,14,12,2,2,6,6,6,6,6
14,sequence_47679,1,1,1,4,4,0,6,6,1,4,11,1,7,4,1,14,14,4,12,15,1,1,19,10,10,10,10,10
15,sequence_47695,1,2,3,2,2,4,4,0,4,2,1,4,8,7,3,2,1,14,18,6,2,2,2,6,6,6,6,6
16,sequence_47710,1,2,3,2,2,4,4,0,4,2,1,4,8,7,3,2,1,14,18,6,2,2,2,6,6,6,6,6
17,sequence_47686,1,2,3,2,2,4,4,8,9,5,7,5,10,7,13,2,6,15,18,6,12,2,2,6,6,6,6,6
18,sequence_47778,1,1,1,1,1,5,1,1,1,9,4,12,7,5,14,3,4,1,1,0,11,9,5,7,7,7,7,7
19,sequence_47780,1,1,1,1,1,5,1,1,1,9,4,12,7,5,14,3,4,1,1,0,11,9,5,7,7,7,7,7
20,sequence_47785,1,1,1,1,1,5,1,1,4,9,4,12,3,5,14,3,4,0,5,0,14,8,9,7,7,7,27,27
21,sequence_47803,1,2,3,2,2,4,4,0,4,2,1,4,8,3,3,15,13,0,4,6,2,12,6,20,20,20,20,20
22,sequence_47663,0,0,0,0,0,6,0,2,0,1,6,2,5,2,2,1,2,2,0,18,5,17,16,0,0,0,0,0
23,sequence_47757,0,0,0,0,0,1,0,2,8,6,2,2,2,2,10,7,11,2,9,7,0,17,3,19,19,19,19,19
24,sequence_47783,0,0,2,3,3,3,3,3,3,3,3,0,4,0,0,4,3,3,2,9,3,19,1,13,13,13,13,13
25,sequence_47796,0,0,0,0,0,1,0,2,8,6,2,10,2,6,9,7,9,18,9,17,16,22,17,12,12,12,12,12
26,sequence_47750,1,2,3,2,2,4,4,8,9,5,7,5,10,12,13,11,6,15,3,14,12,13,15,16,16,16,16,16
27,sequence_47760,1,2,3,2,2,4,4,8,7,8,5,11,11,13,12,8,16,11,11,12,15,14,10,14,14,14,14,14
28,sequence_47773,1,2,3,2,2,4,4,8,9,5,7,5,3,12,6,15,6,0,3,1,4,20,9,3,3,3,3,3
29,sequence_47768,1,1,1,1,1,5,1,1,6,9,4,12,9,5,4,3,4,1,1,11,11,10,23,1,1,1,1,1
30,sequence_47771,1,2,3,2,2,4,4,8,9,5,7,5,3,12,6,15,6,0,3,1,4,20,9,3,3,3,3,3
31,sequence_47681,1,1,1,4,4,0,6,6,1,4,11,1,7,4,1,14,14,4,10,15,20,1,19,10,10,10,10,10
32,sequence_47696,1,2,3,2,2,4,4,0,4,2,1,4,8,7,3,2,1,14,18,6,2,2,2,6,6,6,6,6
33,sequence_47680,1,1,1,4,4,0,6,6,1,4,11,1,7,4,1,14,14,4,12,15,1,1,19,10,10,10,10,10
34,sequence_47673,1,1,1,4,4,0,5,4,6,0,0,9,1,4,4,9,0,9,16,4,8,6,0,11,11,11,11,11
35,sequence_47700,1,1,1,4,4,0,5,4,6,0,0,9,1,4,4,9,0,9,16,4,8,6,0,11,11,11,11,11
36,sequence_47689,0,0,0,0,0,1,0,2,8,6,2,10,2,6,10,7,11,2,9,7,0,5,3,19,19,19,19,19
37,sequence_47683,1,1,1,4,4,0,6,6,1,4,11,1,7,4,1,14,14,4,12,15,1,1,19,10,10,10,10,10
38,sequence_47697,1,2,3,2,2,4,4,0,4,2,1,4,8,7,3,2,1,14,18,6,2,2,2,6,6,6,6,6
39,sequence_47678,1,2,3,2,2,4,4,8,9,5,7,5,10,12,13,11,6,15,3,14,12,13,15,16,16,16,16,16
40,sequence_47682,1,1,1,4,4,0,6,6,1,4,11,1,7,4,1,14,14,4,12,15,1,1,19,10,10,10,10,10
41,sequence_47724,1,1,1,1,1,5,1,1,7,9,4,7,6,14,8,10,7,10,17,16,9,16,21,23,23,23,23,23
42,sequence_47806,1,1,1,1,1,5,1,1,6,9,4,12,9,5,4,3,4,1,1,11,11,10,23,1,1,1,1,1
43,sequence_47807,1,1,1,1,1,5,1,1,1,9,4,12,7,5,14,3,4,1,1,0,11,9,5,7,7,7,7,7
44,sequence_47804,1,1,1,1,1,5,6,1,1,9,4,12,13,5,14,3,4,4,1,0,11,9,5,7,7,7,7,7
45,sequence_47800,1,1,1,1,1,5,6,1,1,9,4,12,7,5,14,3,4,4,1,0,11,9,5,7,7,7,7,7
46,sequence_47799,1,1,1,1,1,5,6,1,1,9,4,12,7,5,14,3,4,4,1,0,11,9,5,7,7,7,7,7
47,sequence_47664,0,0,0,0,0,6,0,2,0,1,6,2,5,2,2,1,2,2,0,18,5,17,16,0,0,0,0,0
48,sequence_47666,0,0,0,0,0,6,0,2,0,1,6,2,5,2,2,1,2,12,0,18,5,17,16,8,8,8,8,8
49,sequence_47671,0,0,0,0,0,6,7,7,5,7,10,8,12,11,5,6,12,12,7,8,10,3,7,9,9,9,9,9
50,sequence_47727,0,0,2,3,3,3,3,3,3,3,3,0,4,0,0,4,3,3,2,9,19,19,1,13,13,13,13,13
51,sequence_47756,0,0,2,3,3,3,3,3,3,3,3,0,4,0,0,4,8,3,2,2,21,4,14,4,4,4,4,4
52,sequence_47775,0,0,2,3,3,3,3,3,3,3,3,0,4,0,0,4,3,3,2,9,19,19,1,13,13,26,26,26
53,sequence_47730,0,0,0,0,0,1,0,2,8,6,2,10,2,6,9,7,9,18,9,17,16,22,17,12,12,12,12,12
54,sequence_47758,0,0,0,0,0,1,0,2,8,6,2,2,2,2,10,7,11,2,9,7,0,17,3,19,19,19,19,19
55,sequence_47797,0,0,2,3,3,3,3,3,3,3,3,0,4,0,0,4,3,3,2,9,3,19,1,13,13,13,13,13
56,sequence_47798,0,0,0,0,0,1,0,2,8,6,2,10,2,6,9,7,9,18,9,17,16,22,17,12,12,12,12,12
57,sequence_47751,1,2,3,2,2,4,4,8,9,5,7,5,10,12,13,11,6,15,3,14,12,13,15,16,16,16,16,16
58,sequence_47741,1,1,1,4,4,0,5,4,6,0,0,9,1,4,4,9,0,9,16,4,8,6,0,11,11,11,11,11
59,sequence_47743,1,1,1,4,4,0,5,4,6,0,0,9,1,4,4,9,0,9,16,4,8,6,0,11,11,11,11,11
60,sequence_47752,1,1,1,4,4,0,5,4,9,5,7,9,10,1,13,11,6,15,5,14,14,13,15,16,16,16,16,16
61,sequence_47745,1,1,1,4,4,0,5,4,6,0,0,9,1,4,4,9,0,9,16,4,8,6,0,11,11,11,11,11
62,sequence_47747,0,0,0,0,0,6,0,2,0,1,6,2,5,2,2,1,2,5,0,3,5,11,12,8,8,8,8,8
63,sequence_47748,0,0,0,0,0,6,0,2,0,1,6,2,5,2,2,1,2,12,0,3,5,17,12,8,8,8,8,8
64,sequence_47749,1,1,1,4,4,0,5,4,6,0,0,9,1,1,2,11,0,5,5,3,14,11,12,16,16,16,16,16
65,sequence_47744,1,1,1,4,4,0,5,4,6,0,0,9,1,1,4,9,0,9,5,4,14,6,0,11,11,11,11,11
66,sequence_47721,1,2,3,2,2,4,4,8,9,5,7,5,10,12,13,11,6,15,3,14,12,13,15,16,16,16,16,16
