,secuencia,K-means-2,K-means-3,K-means-4,K-means-5,K-means-6,K-means-7,K-means-8,K-means-9,K-means-10,K-means-11,K-means-12,K-means-13,K-means-14,K-means-15,K-means-16,K-means-17,K-means-18,K-means-19,K-means-20,K-means-21,K-means-22,K-means-23,K-means-24,K-means-25,K-means-26,K-means-27,K-means-28,K-means-29
0,sequence_47787,0,2,3,3,5,1,2,2,3,2,6,5,3,3,3,15,7,4,18,6,3,9,17,2,16,7,2,2
1,sequence_47684,0,1,3,3,2,6,1,1,4,10,11,0,11,1,4,0,4,8,8,18,4,5,9,11,12,5,18,28
2,sequence_47789,0,2,3,3,5,1,2,2,3,2,6,12,9,3,8,3,10,14,4,0,12,2,5,7,5,12,13,14
3,sequence_47790,0,2,3,3,5,1,2,2,3,2,6,12,9,3,8,3,10,14,4,0,12,2,5,7,5,12,13,14
4,sequence_47781,0,2,2,2,1,3,4,4,1,6,2,3,12,6,11,4,12,9,17,15,18,18,2,6,0,10,4,20
5,sequence_47777,0,2,2,2,1,3,4,4,1,6,2,1,12,6,11,4,12,16,12,15,14,14,16,6,25,0,19,17
6,sequence_47779,1,0,2,2,1,3,4,4,1,6,2,2,12,6,11,4,12,16,12,15,14,14,16,6,25,0,19,17
7,sequence_47784,0,2,2,2,1,3,4,4,1,6,2,3,12,6,0,4,12,9,17,15,18,18,2,6,0,10,4,20
8,sequence_47786,0,2,2,2,1,3,4,4,1,6,2,3,12,6,11,4,12,9,17,15,18,18,2,6,0,10,4,20
9,sequence_47782,0,2,2,2,1,3,4,4,1,4,10,11,6,13,6,10,6,0,2,8,11,12,13,8,7,9,16,25
10,sequence_47772,0,2,3,3,5,1,2,2,3,2,6,5,3,3,3,15,7,4,18,6,3,9,17,2,16,7,2,2
11,sequence_47795,0,2,3,3,5,1,2,2,3,2,6,5,3,3,8,15,7,4,18,6,12,9,17,2,16,7,2,2
12,sequence_47776,0,2,3,3,5,1,2,2,3,2,6,5,3,3,3,15,7,4,18,6,3,9,17,2,16,7,2,2
13,sequence_47685,0,1,3,3,2,6,1,1,4,10,11,0,11,11,4,0,11,8,8,10,4,5,8,14,1,16,0,12
14,sequence_47679,1,0,1,0,3,2,7,7,2,0,7,1,2,10,13,11,2,3,0,20,5,16,6,4,14,22,14,5
15,sequence_47695,0,1,3,3,2,6,1,1,4,10,11,0,11,11,4,0,11,8,8,10,4,5,8,11,12,5,21,28
16,sequence_47710,0,1,3,3,2,6,1,1,4,10,11,0,11,11,4,0,11,8,8,10,4,5,8,11,12,5,21,28
17,sequence_47686,0,1,3,3,2,6,1,1,4,10,11,0,11,11,4,0,11,8,8,10,4,5,8,14,1,16,0,12
18,sequence_47778,0,2,2,2,1,3,4,4,1,6,2,3,12,6,11,4,12,9,17,15,18,18,2,6,0,10,4,4
19,sequence_47780,0,2,2,2,1,3,4,4,1,6,2,3,12,6,11,4,12,6,17,19,18,10,2,21,0,10,6,4
20,sequence_47785,0,2,2,2,1,3,6,6,9,9,1,3,10,5,15,5,0,12,13,13,9,15,10,10,9,17,5,13
