,secuencia,birch-2,birch-3,birch-4,birch-5,birch-6,birch-7,birch-8,birch-9,birch-10,birch-11,birch-12,birch-13,birch-14,birch-15,birch-16,birch-17,birch-18,birch-19,birch-20,birch-21,birch-22,birch-23,birch-24,birch-25,birch-26,birch-27,birch-28,birch-29
0,sequence_47787,1,0,0,1,0,6,6,6,6,6,6,6,6,6,6,6,2,0,11,11,11,11,11,11,11,11,11,11
1,sequence_47684,1,0,0,4,4,4,4,1,1,1,0,4,4,4,4,4,4,4,4,4,4,1,1,0,25,25,25,25
2,sequence_47789,1,0,0,1,0,6,6,6,6,6,6,6,6,6,6,6,2,0,19,19,19,19,19,19,19,19,19,19
3,sequence_47790,1,0,0,1,0,6,6,6,6,6,6,6,6,6,6,6,2,0,19,19,19,19,19,19,19,19,19,19
4,sequence_47781,1,0,3,3,3,3,1,0,0,5,5,5,5,2,2,2,0,6,6,2,2,2,0,16,16,16,16,7
5,sequence_47777,1,0,3,3,3,3,1,0,0,5,5,5,5,2,2,2,0,18,18,18,18,18,18,18,18,18,18,18
6,sequence_47779,1,0,3,3,3,3,1,0,0,5,5,5,5,2,2,2,0,18,18,18,18,18,18,18,18,18,18,18
7,sequence_47784,1,0,3,3,3,3,1,0,0,5,5,5,5,2,2,2,0,6,6,2,2,2,0,16,16,16,16,7
8,sequence_47786,1,0,3,3,3,3,1,0,0,5,5,5,5,2,2,2,0,6,6,2,2,2,0,16,16,16,16,7
9,sequence_47782,1,0,3,3,3,3,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,1,0
10,sequence_47772,1,0,0,1,0,6,6,6,6,6,6,6,6,6,6,6,2,0,11,11,11,11,11,11,11,11,11,11
11,sequence_47795,1,0,0,1,0,6,6,6,6,6,6,6,6,6,6,6,2,0,11,11,11,11,11,11,11,11,11,11
12,sequence_47776,1,0,0,1,0,6,6,6,6,6,6,6,6,6,6,6,2,0,11,11,11,11,11,11,11,11,11,11
13,sequence_47685,1,0,0,4,4,4,4,1,1,1,0,4,4,4,4,4,4,4,4,4,4,1,1,0,9,9,9,9
14,sequence_47679,0,1,1,0,1,1,0,4,4,4,1,0,2,0,7,16,16,16,16,16,7,7,7,3,3,3,3,1
15,sequence_47695,1,0,0,4,4,4,4,1,1,1,0,4,4,4,4,4,4,4,4,4,4,1,1,0,25,25,25,25
16,sequence_47710,1,0,0,4,4,4,4,1,1,1,0,4,4,4,4,4,4,4,4,4,4,1,1,0,25,25,25,25
17,sequence_47686,1,0,0,4,4,4,4,1,1,1,0,4,4,4,4,4,4,4,4,4,4,1,1,0,9,9,9,9
18,sequence_47778,1,0,3,3,3,3,1,0,0,5,5,5,5,2,2,2,0,6,6,2,2,2,0,16,16,16,16,7
19,sequence_47780,1,0,3,3,3,3,1,0,0,5,5,5,5,2,2,2,0,6,6,2,2,2,0,24,24,24,24,24
20,sequence_47785,1,0,0,1,0,5,5,5,5,2,2,2,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
21,sequence_47803,1,0,0,1,0,6,6,6,6,6,6,6,6,6,6,6,2,0,19,19,19,19,19,19,19,19,19,19
22,sequence_47663,0,1,1,0,5,2,2,2,2,0,11,11,11,5,5,5,5,5,2,0,16,16,16,7,7,7,7,3
23,sequence_47757,0,1,1,0,5,2,2,2,2,0,4,1,1,1,0,3,3,3,3,3,1,0,13,13,13,6,6,6
24,sequence_47783,1,0,3,3,3,3,1,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4
25,sequence_47796,1,0,0,1,0,5,5,5,5,2,2,2,0,11,11,11,11,11,5,5,5,5,5,5,5,5,5,5
26,sequence_47750,1,0,0,4,4,4,4,1,1,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
27,sequence_47760,1,0,0,4,4,4,4,1,1,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
28,sequence_47773,1,0,0,1,0,6,6,6,6,6,6,6,6,6,6,6,2,0,19,19,19,19,19,19,19,19,19,19
29,sequence_47768,1,0,3,3,3,3,1,0,0,5,5,5,5,2,2,2,0,18,18,18,18,18,18,18,18,18,18,18
30,sequence_47771,1,0,3,3,3,3,1,0,0,5,5,5,5,2,2,2,0,6,6,2,2,2,0,16,16,16,16,7
31,sequence_47681,0,1,1,0,1,1,0,4,4,4,1,0,13,13,13,13,13,13,13,13,13,13,6,6,6,2,2,2
32,sequence_47696,1,0,0,4,4,4,4,1,1,1,0,4,4,4,4,4,4,4,4,4,4,1,1,0,9,9,9,9
33,sequence_47680,0,1,1,0,1,1,0,4,4,4,1,0,13,13,13,13,13,13,13,13,13,13,6,6,6,2,2,2
34,sequence_47673,0,1,1,0,1,1,0,4,4,4,1,0,2,0,7,16,16,16,16,16,7,7,7,3,3,3,3,1
35,sequence_47700,0,1,1,0,1,1,0,4,4,4,1,0,2,0,7,16,16,16,16,16,7,7,7,3,3,3,3,1
36,sequence_47689,0,1,1,0,5,2,2,2,2,0,4,1,1,1,0,1,1,1,1,1,0,4,4,4,1,1,0,28
37,sequence_47683,0,2,2,2,2,0,7,7,7,7,7,7,7,7,3,7,7,7,7,7,3,3,3,1,0,13,13,13
38,sequence_47697,1,0,0,4,4,4,4,1,1,1,0,4,4,4,4,4,4,4,4,4,4,1,1,0,9,9,9,9
39,sequence_47678,1,0,0,4,4,4,4,1,1,1,0,4,4,4,4,4,4,4,4,4,4,1,1,0,9,9,9,9
40,sequence_47682,0,1,1,0,1,1,0,4,4,4,1,0,13,13,13,13,13,13,13,13,13,13,6,6,6,2,2,2
41,sequence_47724,0,1,1,0,1,1,0,4,4,4,1,0,13,13,13,13,13,13,13,13,13,13,6,6,6,2,2,2
42,sequence_47806,1,0,3,3,3,3,1,0,0,5,5,5,5,2,2,2,0,6,6,2,2,2,0,24,24,24,24,24
43,sequence_47807,1,0,3,3,3,3,1,0,0,5,5,5,5,2,2,2,0,6,6,2,2,2,0,24,24,24,24,24
44,sequence_47804,1,0,0,1,0,5,5,5,5,2,2,2,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
45,sequence_47800,1,0,0,1,0,5,5,5,5,2,2,2,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
46,sequence_47799,1,0,3,3,3,3,1,0,0,5,5,5,5,2,2,2,0,6,6,2,2,2,0,24,24,24,24,24
47,sequence_47664,0,1,1,0,5,2,2,2,2,0,4,1,1,1,0,3,3,3,3,3,1,0,13,13,13,6,6,6
48,sequence_47666,0,1,1,0,5,2,2,2,2,0,11,11,11,5,5,5,5,5,2,0,16,16,16,7,7,7,7,3
49,sequence_47671,0,1,1,0,5,2,2,2,2,0,11,11,11,5,5,5,5,5,2,0,21,21,21,21,21,21,10,10
50,sequence_47727,1,0,3,3,3,3,1,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4
51,sequence_47756,0,1,1,0,5,2,2,2,2,0,4,1,1,1,0,3,3,3,3,3,1,0,13,13,13,6,6,6
52,sequence_47775,1,0,3,3,3,3,1,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4
53,sequence_47730,1,0,0,1,0,5,5,5,5,2,2,2,0,11,11,11,11,11,5,5,5,5,5,5,5,5,5,5
54,sequence_47758,0,1,1,0,5,2,2,2,2,0,4,1,1,1,0,3,3,3,3,3,1,0,13,13,13,6,6,6
55,sequence_47797,1,0,0,1,0,5,5,5,5,2,2,2,0,11,11,11,11,11,5,5,5,5,5,5,5,5,5,5
56,sequence_47798,1,0,0,1,0,5,5,5,5,2,2,2,0,11,11,11,11,11,5,5,5,5,5,5,5,5,5,5
57,sequence_47751,0,2,2,2,2,0,3,3,3,3,3,3,3,3,1,0,6,2,0,20,20,20,20,20,20,20,20,20
58,sequence_47741,0,1,1,0,5,2,2,2,2,0,11,11,11,5,5,5,5,5,2,0,21,21,21,21,21,21,10,10
59,sequence_47743,0,1,1,0,5,2,2,2,2,0,4,1,1,1,0,1,1,1,1,1,0,22,22,22,22,22,22,22
60,sequence_47752,0,1,1,0,5,2,2,2,2,0,4,1,1,1,0,1,1,1,1,1,0,4,4,4,1,1,0,28
61,sequence_47745,0,1,1,0,5,2,2,2,2,0,4,1,1,1,0,1,1,1,1,1,0,22,22,22,22,22,22,22
62,sequence_47747,0,1,1,0,5,2,2,2,2,0,4,1,1,1,0,1,1,1,1,1,0,22,22,22,22,22,22,22
63,sequence_47748,0,1,1,0,5,2,2,2,2,0,4,1,1,1,0,1,1,1,1,1,0,22,22,22,22,22,22,22
64,sequence_47749,0,1,1,0,5,2,2,2,2,0,4,1,1,1,0,1,1,1,1,1,0,22,22,22,22,22,22,22
65,sequence_47744,0,1,1,0,5,2,2,2,2,0,4,1,1,1,0,1,1,1,1,1,0,4,4,4,1,1,0,28
66,sequence_47721,0,2,2,2,2,0,3,3,3,3,3,3,3,3,1,0,6,2,0,20,20,20,20,20,20,20,20,20
67,sequence_47759,0,2,2,2,2,0,3,3,3,3,3,3,3,3,1,0,6,2,0,20,20,20,20,20,20,20,20,20
68,sequence_47774,1,0,0,1,0,5,5,5,5,2,2,2,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
69,sequence_47770,1,0,0,1,0,5,5,5,5,2,2,2,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
70,sequence_47713,0,1,1,0,5,2,2,2,2,0,11,11,11,5,5,5,5,5,2,0,21,21,21,21,21,21,10,10
71,sequence_47738,0,1,1,0,5,2,2,2,2,0,11,11,11,5,5,5,5,5,2,0,21,21,21,21,21,21,10,10
72,sequence_47769,1,0,3,3,3,3,1,0,0,5,5,5,5,2,2,2,0,6,6,2,2,2,0,16,16,16,16,7
73,sequence_47702,0,1,1,0,1,1,0,4,4,4,1,0,2,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15
74,sequence_47672,0,1,1,0,1,1,0,4,4,4,1,0,2,0,7,16,16,16,16,16,7,7,7,3,3,3,3,1
