,secuencia,K-means-2,K-means-3,K-means-4,K-means-5,K-means-6,K-means-7,K-means-8,K-means-9,K-means-10,K-means-11,K-means-12,K-means-13,K-means-14,K-means-15,K-means-16,K-means-17,K-means-18,K-means-19,K-means-20,K-means-21,K-means-22,K-means-23,K-means-24,K-means-25,K-means-26,K-means-27,K-means-28,K-means-29
0,sequence_40826,1,0,1,1,4,6,7,1,1,6,5,9,7,13,5,6,4,17,2,4,0,22,18,23,6,2,5,22
1,sequence_40787,1,0,1,1,4,2,7,4,4,2,5,4,7,3,6,8,4,16,1,0,0,22,2,23,9,2,5,5
2,sequence_40789,1,2,3,3,3,5,5,4,4,4,10,4,2,3,4,8,1,11,1,0,15,11,23,0,20,18,4,4
3,sequence_40794,1,2,3,3,3,5,5,0,0,4,11,6,2,4,9,1,1,0,7,8,2,20,1,15,3,14,4,4
4,sequence_40806,1,0,1,1,4,6,5,4,4,2,0,4,4,3,3,10,12,16,1,10,9,0,2,5,9,11,15,15
5,sequence_40807,1,2,3,3,3,5,0,0,0,4,11,1,10,4,9,1,15,10,6,16,4,5,8,21,8,5,14,14
6,sequence_40809,1,2,1,1,4,6,5,4,4,2,0,4,4,3,3,10,12,16,1,10,9,0,2,5,9,11,15,15
7,sequence_40811,1,0,0,2,2,1,7,1,1,10,5,0,8,10,1,5,4,17,2,4,0,22,3,7,25,25,9,9
8,sequence_40813,1,0,1,2,2,6,7,1,1,6,5,11,1,13,6,0,0,17,5,9,0,22,18,3,2,7,5,5
9,sequence_40814,0,1,2,0,5,0,3,7,7,5,7,10,5,11,10,12,6,8,12,7,17,1,11,4,5,16,8,8
10,sequence_40845,0,1,2,0,5,0,3,7,7,5,7,10,5,11,10,12,6,8,12,7,1,1,11,4,5,16,8,8
11,sequence_40855,0,1,2,0,5,0,3,7,7,5,7,10,5,11,10,12,6,8,12,7,17,1,11,4,5,16,8,8
12,sequence_40857,0,1,2,0,5,0,3,7,7,5,7,10,5,11,10,12,6,8,12,7,17,1,11,4,5,16,8,8
13,sequence_40840,1,0,0,2,2,3,4,1,1,7,3,0,9,2,13,15,0,5,17,1,6,10,5,19,19,7,7,7
14,sequence_40841,1,0,1,2,2,6,7,1,1,6,5,9,7,13,5,6,4,17,2,4,0,22,0,19,6,7,7,7
15,sequence_40842,1,0,0,2,2,3,4,1,1,6,3,11,9,13,6,0,0,17,5,9,8,10,0,19,6,7,7,7
