,secuencia,meanshift2,meanshift3,meanshift4,meanshift5,meanshift6,meanshift7,meanshift8,meanshift9,meanshift10,meanshift11,meanshift12,meanshift13,meanshift14,meanshift15,meanshift16,meanshift17,meanshift18,meanshift19,meanshift20,meanshift21,meanshift22,meanshift23,meanshift24,meanshift25,meanshift26,meanshift27,meanshift28,meanshift29
0,sequence_40826,49,49,49,49,49,49,49,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,sequence_40787,0,0,0,0,0,0,0,3,3,3,3,3,8,8,8,8,7,7,7,7,7,7,7,7,7,9,11,11
2,sequence_40789,7,7,7,7,7,7,7,10,10,10,10,10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3,sequence_40794,1,1,1,1,1,1,1,4,4,4,4,4,9,9,9,9,8,8,8,8,8,8,8,8,8,10,12,12
4,sequence_40806,22,22,22,22,22,22,22,21,21,21,21,21,20,20,20,20,19,19,19,19,19,19,19,19,19,21,21,21
5,sequence_40807,23,23,23,23,23,23,23,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,sequence_40809,78,78,78,78,78,78,78,75,75,75,75,75,69,69,69,69,68,68,68,68,67,67,67,67,67,65,60,60
7,sequence_40811,25,25,25,25,25,25,25,23,23,23,23,23,22,22,22,22,21,21,21,21,21,21,21,21,21,23,23,23
8,sequence_40813,72,72,72,72,72,72,72,69,69,69,69,69,63,63,63,63,62,62,62,62,61,61,61,61,61,59,55,55
9,sequence_40814,28,28,28,28,28,28,28,26,26,26,26,26,25,25,25,25,24,24,24,24,24,24,24,24,24,26,26,26
10,sequence_40845,30,30,30,30,30,30,30,28,28,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,sequence_40855,69,69,69,69,69,69,69,66,66,66,66,66,60,60,60,60,59,59,59,59,58,58,58,58,58,56,52,52
12,sequence_40857,26,26,26,26,26,26,26,24,24,24,24,24,23,23,23,23,22,22,22,22,22,22,22,22,22,24,24,24
13,sequence_40840,66,66,66,66,66,66,66,63,63,63,63,63,58,58,58,58,57,57,57,57,56,56,56,56,56,54,10,10
14,sequence_40841,41,41,41,41,41,41,41,39,39,39,39,39,36,36,36,36,35,35,35,35,0,0,0,0,0,0,0,0
15,sequence_40842,40,40,40,40,40,40,40,38,38,38,38,38,35,35,35,35,34,34,34,34,34,34,34,34,34,36,35,35
16,sequence_40844,68,68,68,68,68,68,68,65,65,65,65,65,59,59,59,59,58,58,58,58,57,57,57,57,57,55,10,10
17,sequence_40838,64,64,64,64,64,64,64,61,61,61,61,61,56,56,56,56,55,55,55,55,54,54,54,54,54,52,50,50
18,sequence_40816,43,43,43,43,43,43,43,41,41,41,41,41,38,38,38,38,37,37,37,37,36,36,36,36,36,6,7,7
19,sequence_40817,44,44,44,44,44,44,44,42,42,42,42,42,39,39,39,39,38,38,38,38,37,37,37,37,37,37,36,36
20,sequence_40818,42,42,42,42,42,42,42,40,40,40,40,40,37,37,37,37,36,36,36,36,35,35,35,35,35,6,7,7
21,sequence_40827,52,52,52,52,52,52,52,49,49,49,49,49,46,46,46,46,45,45,45,45,44,44,44,44,44,7,8,8
22,sequence_40828,50,50,50,50,50,50,50,47,47,47,47,47,44,44,44,44,43,43,43,43,42,42,42,42,42,42,40,40
23,sequence_40829,53,53,53,53,53,53,53,50,50,50,50,50,47,47,47,47,46,46,46,46,45,45,45,45,45,43,41,41
24,sequence_40831,54,54,54,54,54,54,54,51,51,51,51,51,48,48,48,48,47,47,47,47,46,46,46,46,46,44,42,42
25,sequence_40856,70,70,70,70,70,70,70,67,67,67,67,67,61,61,61,61,60,60,60,60,59,59,59,59,59,57,53,53
26,sequence_40815,29,29,29,29,29,29,29,27,27,27,27,27,26,26,26,26,25,25,25,25,25,25,25,25,25,27,27,27
27,sequence_40851,34,34,34,34,34,34,34,32,32,32,32,32,29,29,29,29,28,28,28,28,28,28,28,28,28,30,30,30
28,sequence_40847,32,32,32,32,32,32,32,30,30,30,30,30,6,6,6,6,5,5,5,5,5,5,5,5,5,5,6,6
29,sequence_40858,27,27,27,27,27,27,27,25,25,25,25,25,24,24,24,24,23,23,23,23,23,23,23,23,23,25,25,25
30,sequence_40852,35,35,35,35,35,35,35,33,33,33,33,33,30,30,30,30,29,29,29,29,29,29,29,29,29,31,2,2
31,sequence_40843,67,67,67,67,67,67,67,64,64,64,64,64,6,6,6,6,5,5,5,5,5,5,5,5,5,5,6,6
32,sequence_40846,31,31,31,31,31,31,31,29,29,29,29,29,27,27,27,27,26,26,26,26,26,26,26,26,26,28,28,28
33,sequence_40791,4,4,4,4,4,4,4,7,7,7,7,7,12,12,12,12,11,11,11,11,11,11,11,11,11,13,2,2
34,sequence_40793,2,2,2,2,2,2,2,5,5,5,5,5,10,10,10,10,9,9,9,9,9,9,9,9,9,11,13,13
35,sequence_40861,75,75,75,75,75,75,75,72,72,72,72,72,66,66,66,66,65,65,65,65,64,64,64,64,64,62,57,57
36,sequence_40812,73,73,73,73,73,73,73,70,70,70,70,70,64,64,64,64,63,63,63,63,62,62,62,62,62,60,56,56
37,sequence_40854,39,39,39,39,39,39,39,37,37,37,37,37,34,34,34,34,33,33,33,33,33,33,33,33,33,35,34,34
38,sequence_40853,38,38,38,38,38,38,38,36,36,36,36,36,33,33,33,33,32,32,32,32,32,32,32,32,32,34,33,33
39,sequence_40848,33,33,33,33,33,33,33,31,31,31,31,31,28,28,28,28,27,27,27,27,27,27,27,27,27,29,29,29
40,sequence_40849,36,36,36,36,36,36,36,34,34,34,34,34,31,31,31,31,30,30,30,30,30,30,30,30,30,32,31,31
41,sequence_40850,37,37,37,37,37,37,37,35,35,35,35,35,32,32,32,32,31,31,31,31,31,31,31,31,31,33,32,32
42,sequence_40792,3,3,3,3,3,3,3,6,6,6,6,6,11,11,11,11,10,10,10,10,10,10,10,10,10,12,14,14
43,sequence_40790,5,5,5,5,5,5,5,8,8,8,8,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
44,sequence_40860,76,76,76,76,76,76,76,73,73,73,73,73,67,67,67,67,66,66,66,66,65,65,65,65,65,63,58,58
45,sequence_40839,65,65,65,65,65,65,65,62,62,62,62,62,57,57,57,57,56,56,56,56,55,55,55,55,55,53,51,51
46,sequence_40835,61,61,61,61,61,61,61,58,58,58,58,58,7,7,7,7,6,6,6,6,6,6,6,6,6,8,9,9
47,sequence_40819,45,45,45,45,45,45,45,43,43,43,43,43,40,40,40,40,39,39,39,39,38,38,38,38,38,38,37,37
48,sequence_40824,57,57,57,57,57,57,57,54,54,54,54,54,51,51,51,51,50,50,50,50,49,49,49,49,49,47,45,45
49,sequence_40825,58,58,58,58,58,58,58,55,55,55,55,55,52,52,52,52,51,51,51,51,50,50,50,50,50,48,46,46
50,sequence_40797,16,16,16,16,16,16,16,15,15,15,15,15,17,17,17,17,16,16,16,16,16,16,16,16,16,18,18,18
51,sequence_40800,8,8,8,8,8,8,8,0,0,0,0,0,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1
52,sequence_40803,21,21,21,21,21,21,21,20,20,20,20,20,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,5
53,sequence_40804,20,20,20,20,20,20,20,19,19,19,19,19,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,5
54,sequence_40805,19,19,19,19,19,19,19,18,18,18,18,18,19,19,19,19,18,18,18,18,18,18,18,18,18,20,20,20
55,sequence_40864,12,12,12,12,12,12,12,0,0,0,0,0,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1
56,sequence_40808,77,77,77,77,77,77,77,74,74,74,74,74,68,68,68,68,67,67,67,67,66,66,66,66,66,64,59,59
57,sequence_40810,24,24,24,24,24,24,24,22,22,22,22,22,21,21,21,21,20,20,20,20,20,20,20,20,20,22,22,22
58,sequence_40862,74,74,74,74,74,74,74,71,71,71,71,71,65,65,65,65,64,64,64,64,63,63,63,63,63,61,0,0
59,sequence_40859,71,71,71,71,71,71,71,68,68,68,68,68,62,62,62,62,61,61,61,61,60,60,60,60,60,58,54,54
60,sequence_40836,63,63,63,63,63,63,63,60,60,60,60,60,55,55,55,55,54,54,54,54,53,53,53,53,53,51,49,49
61,sequence_40837,62,62,62,62,62,62,62,59,59,59,59,59,7,7,7,7,6,6,6,6,6,6,6,6,6,8,9,9
62,sequence_40820,47,47,47,47,47,47,47,45,45,45,45,45,42,42,42,42,41,41,41,41,40,40,40,40,40,40,0,0
63,sequence_40821,46,46,46,46,46,46,46,44,44,44,44,44,41,41,41,41,40,40,40,40,39,39,39,39,39,39,38,38
64,sequence_40822,48,48,48,48,48,48,48,46,46,46,46,46,43,43,43,43,42,42,42,42,41,41,41,41,41,41,39,39
65,sequence_40823,60,60,60,60,60,60,60,57,57,57,57,57,54,54,54,54,53,53,53,53,52,52,52,52,52,50,48,48
66,sequence_40834,59,59,59,59,59,59,59,56,56,56,56,56,53,53,53,53,52,52,52,52,51,51,51,51,51,49,47,47
67,sequence_40832,55,55,55,55,55,55,55,52,52,52,52,52,49,49,49,49,48,48,48,48,47,47,47,47,47,45,43,43
68,sequence_40833,56,56,56,56,56,56,56,53,53,53,53,53,50,50,50,50,49,49,49,49,48,48,48,48,48,46,44,44
69,sequence_40830,51,51,51,51,51,51,51,48,48,48,48,48,45,45,45,45,44,44,44,44,43,43,43,43,43,7,8,8
70,sequence_40798,17,17,17,17,17,17,17,16,16,16,16,16,2,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3
71,sequence_40865,13,13,13,13,13,13,13,1,1,1,1,1,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4
72,sequence_40863,11,11,11,11,11,11,11,12,12,12,12,12,14,14,14,14,13,13,13,13,13,13,13,13,13,15,15,15
73,sequence_40801,9,9,9,9,9,9,9,1,1,1,1,1,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4
74,sequence_40802,10,10,10,10,10,10,10,11,11,11,11,11,13,13,13,13,12,12,12,12,12,12,12,12,12,14,1,1
75,sequence_40796,15,15,15,15,15,15,15,14,14,14,14,14,16,16,16,16,15,15,15,15,15,15,15,15,15,17,17,17
76,sequence_40795,14,14,14,14,14,14,14,13,13,13,13,13,15,15,15,15,14,14,14,14,14,14,14,14,14,16,16,16
77,sequence_40866,79,79,79,79,79,79,79,76,76,76,76,76,70,70,70,70,69,69,69,69,68,68,68,68,68,66,61,61
78,sequence_40799,18,18,18,18,18,18,18,17,17,17,17,17,18,18,18,18,17,17,17,17,17,17,17,17,17,19,19,19
79,sequence_40788,6,6,6,6,6,6,6,9,9,9,9,9,2,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3
80,sequence_40867,80,80,80,80,80,80,80,77,77,77,77,77,71,71,71,71,70,70,70,70,69,69,69,69,69,67,62,62
