,secuencia,affinity-0.5,affinity-0.55,affinity-0.6000000000000001,affinity-0.6500000000000001,affinity-0.7000000000000002,affinity-0.7500000000000002,affinity-0.8000000000000003,affinity-0.8500000000000003,affinity-0.9000000000000004,affinity-0.9500000000000004
0,sequence_53082,0,0,0,0,0,0,0,0,0,0
1,sequence_19402,14,14,14,14,14,14,14,14,14,14
2,sequence_20054,16,16,16,16,16,16,16,16,16,16
3,sequence_20048,15,15,15,15,15,15,15,15,15,15
4,sequence_20036,11,11,11,11,11,11,11,11,11,11
5,sequence_19525,6,6,6,6,6,6,6,6,6,6
6,sequence_20061,11,11,11,11,11,11,11,11,11,11
7,sequence_19496,10,10,10,10,10,10,10,10,10,10
8,sequence_19477,26,26,26,26,26,26,26,26,26,26
9,sequence_19363,1,1,1,1,1,1,1,1,1,1
10,sequence_19500,12,12,12,12,12,12,12,12,12,12
11,sequence_19453,23,23,23,23,23,23,23,23,23,23
12,sequence_53075,2,2,2,2,2,2,2,2,2,2
13,sequence_19522,19,19,19,19,19,19,19,19,19,19
14,sequence_19523,23,23,23,23,23,23,23,23,23,23
15,sequence_53078,2,2,2,2,2,2,2,2,2,2
16,sequence_20069,15,15,15,15,15,15,15,15,15,15
17,sequence_53062,21,21,21,21,21,21,21,21,21,21
18,sequence_20060,11,11,11,11,11,11,11,11,11,11
19,sequence_53066,22,22,22,22,22,22,22,22,22,22
20,sequence_19417,21,21,21,21,21,21,21,21,21,21
21,sequence_19391,9,9,9,9,9,9,9,9,9,9
22,sequence_19447,3,3,3,3,3,3,3,3,3,3
23,sequence_53079,19,19,19,19,19,19,19,19,19,19
24,sequence_20042,4,4,4,4,4,4,4,4,4,4
25,sequence_19419,7,7,7,7,7,7,7,7,7,7
26,sequence_19425,24,24,24,24,24,24,24,24,24,24
27,sequence_19450,3,3,3,3,3,3,3,3,3,3
28,sequence_53085,0,0,0,0,0,0,0,0,0,0
29,sequence_19509,6,6,6,6,6,6,6,6,6,6
