,secuencia,K-means-2,K-means-3,K-means-4,K-means-5,K-means-6,K-means-7,K-means-8,K-means-9,K-means-10,K-means-11,K-means-12,K-means-13,K-means-14,K-means-15,K-means-16,K-means-17,K-means-18,K-means-19,K-means-20,K-means-21,K-means-22,K-means-23,K-means-24,K-means-25,K-means-26,K-means-27,K-means-28,K-means-29
0,sequence_51016,0,2,1,1,2,2,3,1,1,0,1,4,8,14,0,16,12,3,1,18,10,6,3,1,20,12,4,11
1,sequence_51170,1,1,2,0,3,1,6,8,7,2,3,11,12,6,1,4,1,2,2,11,3,18,2,3,7,11,16,26
2,sequence_32130,1,0,3,4,5,0,1,3,3,1,2,2,2,3,3,2,13,1,4,3,0,3,1,2,8,9,2,7
3,sequence_51136,1,1,2,0,1,5,2,2,0,9,6,12,5,13,12,0,4,4,10,17,5,12,9,20,11,22,13,8
4,sequence_51191,1,1,2,0,1,5,4,4,8,8,6,5,4,9,14,9,8,10,3,16,14,2,7,8,10,5,10,12
5,sequence_51140,1,1,2,0,3,1,6,8,7,2,3,11,12,6,1,4,1,2,2,11,3,18,2,3,7,16,16,26
6,sequence_51149,1,1,2,0,3,1,6,7,4,2,11,1,0,6,1,4,1,18,12,11,3,18,14,23,2,0,0,15
7,sequence_51181,1,1,2,0,3,1,6,8,7,2,3,11,12,6,1,4,1,2,2,11,3,18,2,3,7,11,16,26
8,sequence_51159,1,1,2,0,3,1,6,8,7,2,3,11,12,6,1,4,1,2,2,11,3,18,2,3,7,11,16,26
9,sequence_51175,1,1,2,0,3,1,6,8,7,2,3,11,12,6,1,4,1,2,2,2,3,18,2,3,7,11,16,26
10,sequence_51174,1,1,2,0,3,1,6,8,7,2,3,11,12,6,1,4,1,2,2,11,3,18,2,3,7,11,16,26
11,sequence_51169,1,1,2,0,3,1,6,8,7,2,3,12,12,1,1,11,1,8,19,11,3,9,2,17,7,11,16,2
12,sequence_51199,1,1,2,0,3,1,6,8,7,2,3,11,12,6,1,4,1,2,2,11,3,18,2,3,7,11,16,26
13,sequence_51144,1,1,2,0,3,1,6,7,4,2,11,1,0,6,1,4,1,18,12,11,3,18,14,23,2,0,0,15
14,sequence_51183,1,1,2,0,3,1,6,8,7,2,3,11,12,6,1,4,1,2,2,11,3,18,2,3,7,11,16,26
15,sequence_51157,1,1,2,0,3,1,6,8,7,2,3,11,12,6,1,4,1,2,2,11,3,18,2,3,7,11,16,26
16,sequence_51163,1,1,2,0,3,1,6,8,7,2,3,11,12,6,1,4,1,2,13,11,3,18,2,3,7,11,16,26
17,sequence_51173,1,1,2,0,3,1,6,8,7,2,3,11,12,6,1,4,1,2,2,11,3,18,2,3,7,11,16,26
18,sequence_51168,1,1,2,0,3,1,6,8,7,2,3,7,7,4,1,4,1,14,2,15,2,18,15,3,5,26,25,10
19,sequence_51171,1,1,2,0,3,1,6,8,7,2,3,11,12,6,1,4,1,2,2,11,3,19,2,3,7,11,16,2
20,sequence_51182,1,1,2,0,1,5,4,4,8,8,0,5,7,4,14,9,8,14,13,8,14,2,15,8,10,5,10,12
21,sequence_51131,1,1,2,0,1,5,4,4,0,5,6,5,4,13,5,0,4,4,3,12,12,4,6,0,21,23,5,8
22,sequence_51138,1,1,2,0,1,5,2,2,0,9,0,12,5,1,9,14,14,8,14,6,5,10,17,11,18,22,22,21
23,sequence_51196,1,1,2,0,1,5,4,4,0,8,6,5,4,9,5,9,8,10,3,16,13,4,6,8,21,5,10,12
24,sequence_51202,1,1,2,0,1,5,4,4,8,5,6,7,4,9,5,11,4,8,19,12,12,9,17,17,21,25,5,10
25,sequence_51192,1,1,2,0,1,5,2,2,0,5,6,5,4,9,5,14,4,4,3,12,5,12,9,0,14,19,5,25
26,sequence_51147,1,1,2,0,1,5,2,7,4,8,11,1,0,6,11,3,8,18,12,2,17,5,14,23,2,25,0,15
27,sequence_51151,1,1,2,0,3,1,6,7,4,2,11,1,0,6,1,3,1,18,12,11,3,18,14,23,2,0,0,15
28,sequence_51145,1,1,2,0,1,5,4,4,8,8,6,5,7,9,14,9,8,10,3,16,14,2,7,8,10,5,10,12
29,sequence_51187,1,1,2,0,1,5,4,4,8,5,6,7,7,4,14,9,8,10,3,16,17,2,15,8,10,25,10,12
30,sequence_51148,1,1,2,0,1,5,2,7,4,9,11,12,0,1,11,3,4,18,19,6,5,9,6,17,11,10,13,20
31,sequence_51141,1,1,2,0,3,1,6,8,7,2,3,7,7,4,1,4,1,14,2,15,2,5,15,3,5,26,25,10
32,sequence_51137,1,1,2,0,1,5,2,7,8,8,11,1,0,4,11,3,8,18,12,8,14,2,17,8,10,5,17,15
33,sequence_32151,1,0,3,4,5,0,1,3,3,1,2,2,2,3,3,2,13,1,4,3,0,3,1,2,8,9,2,7
34,sequence_32148,1,0,3,4,5,0,1,3,3,1,2,2,2,3,3,2,13,1,4,3,0,3,1,2,4,9,2,7
35,sequence_32117,1,0,3,4,5,0,1,3,3,1,2,2,2,3,3,2,13,1,4,3,0,3,1,2,8,9,2,7
36,sequence_32141,1,0,3,4,5,0,1,3,3,1,2,2,2,3,3,2,13,1,4,3,0,3,1,2,8,9,2,7
37,sequence_32124,1,0,3,4,5,0,1,3,3,1,2,2,2,3,3,2,13,1,4,3,0,3,1,2,8,9,2,7
38,sequence_32126,1,0,3,4,5,0,1,3,3,1,2,2,2,3,3,2,13,1,4,3,0,3,1,2,8,9,2,7
39,sequence_32127,1,0,3,4,5,0,1,3,3,1,2,2,2,3,3,2,13,1,4,3,0,3,1,2,8,9,2,6
40,sequence_32133,1,0,3,4,5,0,1,3,3,1,2,2,2,3,3,2,13,1,4,3,0,3,1,2,8,9,2,7
41,sequence_32131,1,0,3,4,5,0,1,3,3,1,2,2,2,3,3,2,9,1,18,3,0,3,1,2,8,9,2,3
42,sequence_32174,1,0,3,4,5,0,1,3,3,1,2,2,2,3,3,2,13,1,4,3,0,3,1,2,8,9,2,7
43,sequence_32114,1,0,3,4,5,0,1,3,3,1,2,2,2,3,3,2,13,1,4,3,0,3,1,2,8,9,2,7
44,sequence_32147,1,0,3,4,5,0,1,3,3,1,2,2,2,3,3,2,13,1,4,3,0,3,1,2,8,9,2,7
45,sequence_32119,1,0,3,4,5,0,1,3,3,1,2,2,2,3,3,2,13,1,4,3,0,3,1,2,8,9,2,7
46,sequence_32122,1,0,3,4,5,0,1,3,3,1,2,2,2,3,3,2,13,1,4,3,0,3,1,2,8,9,2,7
47,sequence_32125,1,0,3,4,5,0,1,3,3,1,2,2,2,3,3,2,13,1,4,3,0,3,1,2,8,9,2,7
48,sequence_32128,1,0,3,4,5,0,1,3,3,1,2,2,2,3,3,2,13,1,4,3,0,3,1,2,8,9,2,6
49,sequence_32129,1,0,3,4,5,0,1,3,3,1,2,2,2,3,3,2,13,1,4,3,0,3,1,2,8,2,2,7
50,sequence_32132,1,0,3,4,5,0,1,3,3,1,2,2,2,3,3,2,9,1,18,3,0,3,1,2,8,9,2,3
51,sequence_32167,1,0,0,2,4,4,7,0,6,4,4,6,9,0,8,8,17,12,9,5,11,22,16,7,3,15,7,13
52,sequence_50970,0,2,1,1,2,2,3,1,1,0,1,4,8,14,0,16,12,3,1,18,10,6,3,1,20,12,4,11
53,sequence_51045,0,2,1,1,2,2,3,1,1,0,1,4,8,14,0,16,12,0,1,18,10,14,3,1,15,8,4,11
54,sequence_51003,0,2,1,1,2,2,3,1,1,0,1,4,8,14,0,16,12,3,1,18,10,6,3,1,20,12,4,11
55,sequence_51032,0,2,1,1,2,2,3,1,1,0,1,4,8,14,0,16,12,3,1,18,10,6,3,1,20,12,4,11
56,sequence_51028,0,2,1,1,2,2,3,1,1,0,1,4,8,14,0,16,0,3,1,18,9,6,3,1,20,12,4,11
57,sequence_51025,0,2,1,1,2,2,3,1,1,0,1,4,8,14,0,16,12,3,1,18,10,6,3,1,20,12,4,11
58,sequence_51019,0,2,1,1,2,2,3,1,1,0,1,4,8,14,0,16,12,3,1,18,10,6,3,1,1,12,4,4
59,sequence_51017,0,2,1,1,2,2,3,1,1,0,1,4,8,14,4,16,12,3,1,18,1,6,3,22,9,12,15,1
60,sequence_51014,0,2,1,1,2,2,3,1,1,6,1,4,1,5,6,1,12,3,11,1,7,21,13,1,12,12,3,11
61,sequence_50984,0,2,1,1,2,2,3,1,1,0,1,4,8,14,0,16,12,3,1,18,10,6,3,1,20,12,4,11
62,sequence_51054,0,2,1,1,2,2,3,1,1,0,1,4,8,14,0,16,12,0,1,18,10,14,3,1,15,8,4,11
63,sequence_51002,0,2,1,1,2,2,3,1,1,0,1,4,8,14,0,16,12,3,1,18,10,6,3,1,20,12,4,11
64,sequence_51033,0,2,1,1,2,2,3,1,1,0,1,4,8,14,0,16,12,3,1,18,10,6,3,1,20,12,4,11
