,secuencia,birch-2,birch-3,birch-4,birch-5,birch-6,birch-7,birch-8,birch-9,birch-10,birch-11,birch-12,birch-13,birch-14,birch-15,birch-16,birch-17,birch-18,birch-19,birch-20,birch-21,birch-22,birch-23,birch-24,birch-25,birch-26,birch-27,birch-28,birch-29
0,sequence_51016,0,1,0,4,4,4,4,4,4,10,10,10,10,10,10,10,10,4,1,0,18,18,18,18,18,18,18,18
1,sequence_51170,0,2,2,0,5,5,5,5,5,5,5,5,5,5,2,0,3,3,3,1,0,22,22,22,22,22,22,22
2,sequence_32130,1,0,3,3,3,3,3,1,1,1,0,6,6,14,14,14,14,14,14,14,14,14,6,6,6,6,2,2
3,sequence_51136,0,2,2,0,1,1,0,3,3,3,1,1,0,8,8,8,8,8,8,3,1,0,14,14,14,14,6,6
4,sequence_51191,0,2,2,0,1,1,0,8,8,8,3,3,1,0,5,5,5,5,5,5,5,5,5,2,0,11,11,11
5,sequence_51140,0,2,2,0,5,5,5,5,5,5,5,5,5,5,2,0,3,3,3,1,0,22,22,22,22,22,22,22
6,sequence_51149,0,2,2,0,5,5,5,5,5,5,5,5,5,5,2,0,17,17,17,17,17,17,17,17,17,17,17,17
7,sequence_51181,0,2,2,0,5,5,5,5,5,5,5,5,5,5,2,0,3,3,3,1,0,22,22,22,22,22,22,22
8,sequence_51159,0,2,2,0,5,5,5,5,5,5,5,5,5,5,2,0,3,3,3,1,0,22,22,22,22,22,22,22
9,sequence_51175,0,2,2,0,5,5,5,5,5,5,5,5,5,5,2,0,3,3,3,1,0,22,22,22,22,22,22,22
10,sequence_51174,0,2,2,0,5,5,5,5,5,5,5,5,5,5,2,0,3,3,3,1,0,22,22,22,22,22,22,22
11,sequence_51169,0,2,2,0,5,5,5,5,5,5,5,5,5,5,2,0,3,3,3,1,0,21,21,21,21,21,21,21
12,sequence_51199,0,2,2,0,5,5,5,5,5,5,5,5,5,5,2,0,3,3,3,1,0,22,22,22,22,22,22,22
13,sequence_51144,0,2,2,0,5,5,5,5,5,5,5,5,5,5,2,0,17,17,17,17,17,17,17,17,17,17,17,17
14,sequence_51183,0,2,2,0,5,5,5,5,5,5,5,5,5,5,2,0,3,3,3,1,0,22,22,22,22,22,22,22
15,sequence_51157,0,2,2,0,5,5,5,5,5,5,5,5,5,5,2,0,3,3,3,1,0,22,22,22,22,22,22,22
16,sequence_51163,0,2,2,0,5,5,5,5,5,5,5,5,5,5,2,0,3,3,3,1,0,22,22,22,22,22,22,22
17,sequence_51173,0,2,2,0,5,5,5,5,5,5,5,5,5,5,2,0,3,3,3,1,0,22,22,22,22,22,22,22
18,sequence_51168,0,2,2,0,5,5,5,5,5,5,5,5,5,5,2,0,3,3,3,1,0,22,22,22,22,22,22,22
19,sequence_51171,0,2,2,0,1,1,0,8,8,8,3,3,1,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15
20,sequence_51182,0,2,2,0,1,1,0,3,3,3,1,1,0,6,6,6,6,6,6,6,6,6,2,0,25,25,25,25
21,sequence_51131,0,2,2,0,1,1,0,3,3,3,1,1,0,8,8,8,8,8,8,3,1,0,23,23,23,23,23,23
22,sequence_51138,0,2,2,0,1,1,0,3,3,3,1,1,0,6,6,6,6,6,6,6,6,6,2,0,24,24,24,24
23,sequence_51196,0,2,2,0,1,1,0,8,8,8,3,3,1,0,5,5,5,5,5,5,5,5,5,2,0,11,11,11
24,sequence_51202,0,2,2,0,1,1,0,3,3,3,1,1,0,8,8,8,8,8,8,3,1,0,23,23,23,23,23,23
25,sequence_51192,0,2,2,0,1,1,0,3,3,3,1,1,0,8,8,8,8,8,8,3,1,0,23,23,23,23,23,23
26,sequence_51147,0,2,2,0,5,5,5,5,5,5,5,5,5,5,2,0,17,17,17,17,17,17,17,17,17,17,17,17
27,sequence_51151,0,2,2,0,5,5,5,5,5,5,5,5,5,5,2,0,17,17,17,17,17,17,17,17,17,17,17,17
28,sequence_51145,0,2,2,0,1,1,0,3,3,3,1,1,0,6,6,6,6,6,6,6,6,6,2,0,25,25,25,25
29,sequence_51187,0,2,2,0,1,1,0,8,8,8,3,3,1,0,5,5,5,5,5,5,5,5,5,2,0,11,11,11
30,sequence_51148,0,2,2,0,5,5,5,5,5,5,5,5,5,5,2,0,3,3,3,1,0,21,21,21,21,21,21,21
31,sequence_51141,0,2,2,0,5,5,5,5,5,5,5,5,5,5,2,0,3,3,3,1,0,22,22,22,22,22,22,22
32,sequence_51137,0,2,2,0,5,5,5,5,5,5,5,5,5,5,2,0,17,17,17,17,17,17,17,17,17,17,17,17
33,sequence_32151,1,0,3,3,3,3,3,1,1,1,0,6,6,14,14,14,14,14,14,14,14,14,6,6,6,6,2,2
34,sequence_32148,1,0,3,3,3,3,3,1,1,1,0,6,6,14,14,14,14,14,14,14,14,14,6,6,6,6,2,2
35,sequence_32117,1,0,3,3,3,3,3,1,1,1,0,6,6,14,14,14,14,14,14,14,14,14,6,6,6,6,2,2
36,sequence_32141,1,0,3,3,3,3,3,1,1,1,0,6,6,14,14,14,14,14,14,14,14,14,6,6,6,6,2,2
37,sequence_32124,1,0,3,3,3,3,3,1,1,1,0,6,6,14,14,14,14,14,14,14,14,14,6,6,6,6,2,2
38,sequence_32126,1,0,3,3,3,3,3,1,1,1,0,6,6,14,14,14,14,14,14,14,14,14,6,6,6,6,2,2
39,sequence_32127,1,0,3,3,3,3,3,1,1,1,0,6,6,14,14,14,14,14,14,14,14,14,6,6,6,6,2,2
