,secuencia,aglomerative-2,aglomerative-3,aglomerative-4,aglomerative-5,aglomerative-6,aglomerative-7,aglomerative-8,aglomerative-9,aglomerative-10,aglomerative-11,aglomerative-12,aglomerative-13,aglomerative-14,aglomerative-15,aglomerative-16,aglomerative-17,aglomerative-18,aglomerative-19,aglomerative-20,aglomerative-21,aglomerative-22,aglomerative-23,aglomerative-24,aglomerative-25,aglomerative-26,aglomerative-27,aglomerative-28,aglomerative-29
0,sequence_40826,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,9,4,1,0,0,1,0,3,1,0,0
1,sequence_40787,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,9,4,1,0,0,1,0,3,1,0,0
2,sequence_40789,0,0,1,0,0,0,0,0,4,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,1,1
3,sequence_40794,0,0,1,0,0,0,0,0,4,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,1,1
4,sequence_40806,0,0,3,3,3,3,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,27,27
5,sequence_40807,0,0,3,3,3,3,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,17,17
6,sequence_40809,0,0,3,3,3,3,7,7,7,7,7,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,17,17
7,sequence_40811,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,9,4,1,0,0,1,0,3,1,0,28
8,sequence_40813,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,9,4,1,0,0,1,0,3,1,0,0
9,sequence_40814,1,1,0,4,4,4,4,4,9,9,9,9,9,9,9,9,9,4,1,0,20,20,20,20,20,20,20,20
10,sequence_40845,1,1,0,4,4,4,4,4,9,9,9,9,9,9,9,9,9,4,1,0,20,20,20,20,20,20,20,20
11,sequence_40855,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,9,4,1,0,0,1,0,3,1,0,0
12,sequence_40857,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,9,4,1,0,0,1,0,3,1,0,0
13,sequence_40840,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,8,8,8,8,8,8,8,8,8,8,3,3
14,sequence_40841,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,8,8,8,8,8,8,8,8,8,8,3,3
15,sequence_40842,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,8,8,8,8,8,8,8,8,8,8,3,3
16,sequence_40844,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,9,4,1,0,0,1,0,3,1,0,0
17,sequence_40838,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,9,4,1,0,0,1,0,3,1,0,0
18,sequence_40816,0,0,1,0,0,0,0,8,8,8,8,8,8,8,8,8,17,17,17,17,17,17,17,17,17,17,8,8
19,sequence_40817,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,9,4,1,0,0,1,0,3,1,0,0
20,sequence_40818,0,0,1,0,0,0,0,8,8,8,8,8,8,8,8,8,17,17,17,17,17,17,17,17,17,17,8,8
21,sequence_40827,0,0,1,0,0,0,3,3,3,3,3,1,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
22,sequence_40828,0,0,1,0,0,0,3,3,3,3,3,1,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
23,sequence_40829,0,0,1,0,5,5,5,5,5,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
24,sequence_40831,0,0,1,0,5,5,5,5,5,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
25,sequence_40856,0,0,1,0,5,5,5,5,5,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
26,sequence_40815,1,1,0,1,1,1,1,1,0,4,4,4,4,1,0,1,1,0,9,4,1,1,0,9,9,9,9,9
27,sequence_40851,1,1,0,4,4,4,4,4,9,9,9,9,9,9,9,9,9,4,1,0,10,10,10,10,10,10,10,10
28,sequence_40847,1,1,0,1,1,1,1,1,0,4,4,4,4,1,0,1,1,0,9,4,1,1,0,9,9,9,9,9
29,sequence_40858,0,0,1,0,5,5,5,5,5,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
30,sequence_40852,1,1,0,1,1,1,1,1,0,4,4,4,4,1,0,1,1,0,9,4,1,1,0,9,9,9,9,9
31,sequence_40843,0,0,1,0,5,5,5,5,5,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
32,sequence_40846,1,1,0,4,4,4,4,4,9,9,9,9,9,9,9,9,9,4,1,0,10,10,10,10,10,10,10,10
33,sequence_40791,1,1,0,1,1,1,1,1,0,4,4,4,4,1,0,1,1,0,19,19,19,19,19,19,19,19,19,19
34,sequence_40793,1,1,0,1,1,1,1,1,0,4,4,4,4,1,0,1,1,0,19,19,19,19,19,19,19,19,19,19
35,sequence_40861,1,1,0,1,1,1,1,1,0,4,4,4,4,1,0,1,1,0,9,4,1,1,0,9,9,9,9,9
36,sequence_40812,1,1,0,1,1,1,1,1,0,10,10,10,10,10,10,10,10,10,10,10,21,21,21,21,21,21,21,21
