,secuencia,K-means-2,K-means-3,K-means-4,K-means-5,K-means-6,K-means-7,K-means-8,K-means-9,K-means-10,K-means-11,K-means-12,K-means-13,K-means-14,K-means-15,K-means-16,K-means-17,K-means-18,K-means-19,K-means-20,K-means-21,K-means-22,K-means-23,K-means-24,K-means-25,K-means-26,K-means-27,K-means-28,K-means-29
0,sequence_53082,1,1,2,2,3,2,5,2,9,4,9,4,4,9,10,8,13,5,5,18,8,6,15,6,3,16,6,24
1,sequence_19402,0,2,0,4,0,5,0,7,1,6,8,6,0,4,4,9,7,7,14,4,4,18,3,16,2,25,9,21
2,sequence_20054,0,2,0,0,5,3,0,8,5,1,5,1,8,0,5,3,3,15,0,19,14,10,17,1,9,0,24,4
3,sequence_20048,0,2,0,4,0,5,0,1,1,6,11,1,7,4,1,9,7,7,0,4,4,2,3,17,20,10,9,21
4,sequence_20036,1,0,3,1,4,0,4,4,0,0,10,5,9,13,7,14,9,13,19,7,17,5,4,14,0,15,7,12
5,sequence_19525,0,2,0,4,0,5,0,8,5,1,5,1,8,0,5,3,3,15,0,19,14,10,17,13,9,0,24,4
6,sequence_20061,1,0,3,1,4,0,4,4,0,0,10,5,9,13,7,14,9,13,19,7,17,22,4,14,18,15,5,12
7,sequence_19496,0,2,0,0,5,3,0,8,5,1,5,2,8,0,5,3,3,3,10,19,14,10,17,8,2,25,3,2
8,sequence_19477,1,1,1,3,2,6,7,0,6,5,4,8,6,8,15,10,1,17,16,8,16,1,12,19,7,13,22,20
9,sequence_19363,1,0,1,3,2,6,7,0,2,5,4,3,6,12,15,1,1,8,11,0,9,13,1,2,23,21,1,20
10,sequence_19500,1,0,3,1,4,0,1,5,2,2,1,3,9,12,8,0,17,8,11,0,1,8,19,24,5,1,17,10
11,sequence_19453,0,2,0,0,5,3,6,3,4,9,0,12,10,11,14,2,4,0,15,2,21,11,23,23,14,14,14,9
12,sequence_53075,1,1,2,2,3,2,2,2,7,7,3,11,13,7,0,4,10,4,2,11,6,20,22,10,15,3,4,3
13,sequence_19522,0,2,0,0,5,3,6,7,4,6,8,6,8,6,4,9,7,12,6,4,18,7,7,11,12,6,13,16
14,sequence_19523,0,2,0,0,5,3,6,8,4,9,5,2,8,6,3,2,3,3,6,12,0,7,7,8,6,8,13,16
15,sequence_53078,1,1,2,2,3,2,2,2,8,7,9,10,12,2,0,4,5,10,2,3,6,14,22,10,16,3,11,3
16,sequence_20069,1,0,3,1,4,0,4,4,0,0,10,5,9,13,7,14,9,13,19,7,17,22,4,14,18,15,5,12
17,sequence_53062,1,1,2,2,3,2,2,2,7,7,3,11,13,7,0,13,10,18,9,15,11,21,20,20,15,23,23,15
18,sequence_20060,1,0,3,1,4,0,4,4,0,0,10,5,9,13,7,14,9,13,19,7,17,17,4,14,18,15,7,12
19,sequence_53066,1,1,2,2,3,2,2,2,7,7,3,11,12,7,0,13,10,10,9,15,6,21,11,20,16,23,25,27
20,sequence_19417,0,2,0,4,0,5,0,7,1,6,8,6,0,4,4,9,7,7,14,20,4,18,16,16,21,10,9,0
21,sequence_19391,0,2,0,0,5,3,6,3,4,9,0,12,10,11,3,2,4,0,15,6,21,11,23,23,14,14,14,9
22,sequence_19447,1,1,1,3,2,6,7,0,6,5,4,8,6,8,15,10,1,17,16,8,16,1,12,19,7,13,22,14
23,sequence_53079,1,1,2,2,3,2,2,2,8,7,9,10,12,2,0,15,5,10,18,3,6,12,2,3,16,18,11,27
24,sequence_20042,0,2,0,4,0,5,0,1,5,8,11,1,5,0,11,5,14,16,17,16,7,9,13,1,25,9,8,8
25,sequence_19419,0,2,0,4,0,5,0,1,3,8,11,1,5,3,11,5,6,16,17,16,13,3,13,9,8,9,8,8
26,sequence_19425,0,2,0,0,1,1,3,6,3,3,7,9,1,14,6,12,11,6,12,13,12,0,0,22,1,12,16,7
27,sequence_19450,1,1,1,3,2,6,7,0,6,5,4,8,6,8,2,10,0,17,7,9,9,1,12,18,7,13,22,20
