,secuencia,meanshift2,meanshift3,meanshift4,meanshift5,meanshift6,meanshift7,meanshift8,meanshift9,meanshift10,meanshift11,meanshift12,meanshift13,meanshift14,meanshift15,meanshift16,meanshift17,meanshift18,meanshift19,meanshift20,meanshift21,meanshift22,meanshift23,meanshift24,meanshift25,meanshift26,meanshift27,meanshift28,meanshift29
0,sequence_40826,32,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,sequence_40787,78,78,78,78,78,77,77,77,74,74,74,74,71,66,66,66,66,64,62,62,59,59,59,58,58,58,58,58
2,sequence_40789,71,71,71,71,71,70,70,70,67,67,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,sequence_40794,73,73,73,73,73,72,72,72,69,69,69,69,66,65,65,65,65,63,61,61,58,58,58,57,57,57,57,57
4,sequence_40806,61,61,61,61,61,60,60,60,58,58,58,58,58,57,57,57,57,55,53,53,51,51,51,50,50,50,50,50
5,sequence_40807,5,5,5,5,5,6,6,6,7,7,7,7,9,13,13,13,13,11,11,11,13,13,13,13,13,13,13,13
6,sequence_40809,6,6,6,6,6,7,7,7,8,8,8,8,10,14,14,14,14,12,12,12,14,14,14,0,0,0,0,0
7,sequence_40811,59,59,59,59,59,58,58,58,56,56,56,56,56,55,55,55,55,53,51,51,49,49,49,48,48,48,48,48
8,sequence_40813,12,12,12,12,12,12,12,12,11,11,11,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,sequence_40814,58,58,58,58,58,57,57,57,55,55,55,55,55,54,54,54,54,52,50,50,48,48,48,47,47,47,47,47
10,sequence_40845,54,54,54,54,54,53,53,53,51,51,51,51,51,50,50,50,50,48,46,46,7,7,7,7,7,7,7,7
11,sequence_40855,15,15,15,15,15,15,15,15,14,14,14,14,16,19,19,19,19,17,17,17,19,19,19,18,18,18,18,18
12,sequence_40857,56,56,56,56,56,55,55,55,53,53,53,53,53,52,52,52,52,50,48,48,7,7,7,7,7,7,7,7
13,sequence_40840,18,18,18,18,18,18,18,18,17,17,17,17,19,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
14,sequence_40841,19,19,19,19,19,19,19,19,18,18,18,18,20,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
15,sequence_40842,44,44,44,44,44,43,43,43,42,42,42,42,42,41,41,41,41,39,38,38,40,40,40,39,39,39,39,39
