,secuencia,birch-2,birch-3,birch-4,birch-5,birch-6,birch-7,birch-8,birch-9,birch-10,birch-11,birch-12,birch-13,birch-14,birch-15,birch-16,birch-17,birch-18,birch-19,birch-20,birch-21,birch-22,birch-23,birch-24,birch-25,birch-26,birch-27,birch-28,birch-29
0,sequence_51016,0,2,2,2,2,2,2,0,1,0,6,2,2,0,3,3,3,3,3,1,0,22,22,22,22,22,22,22
1,sequence_51170,0,0,3,3,3,3,3,3,3,3,3,3,1,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11
2,sequence_32130,1,1,0,1,0,1,0,8,8,8,8,8,8,8,8,8,8,8,8,3,1,1,1,0,25,25,25,25
3,sequence_51136,0,0,1,0,5,5,5,2,2,2,0,12,12,12,12,12,5,5,5,5,5,5,5,5,5,5,2,2
4,sequence_51191,0,0,1,0,1,0,1,1,0,10,10,10,10,10,10,10,10,10,4,4,4,4,4,1,0,3,3,3
5,sequence_51140,0,0,3,3,3,3,3,3,3,3,3,3,1,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11
6,sequence_51149,0,0,3,3,3,3,3,3,3,3,3,3,1,1,0,16,16,16,16,16,16,16,16,16,16,16,16,16
7,sequence_51181,0,0,3,3,3,3,3,3,3,3,3,3,1,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11
8,sequence_51159,0,0,3,3,3,3,3,3,3,3,3,3,1,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11
9,sequence_51175,0,0,1,0,1,0,1,1,0,4,4,4,4,4,4,4,4,4,1,0,8,8,8,8,3,1,1,0
10,sequence_51174,0,0,1,0,1,0,1,1,0,4,4,4,4,4,4,4,4,4,1,0,8,8,8,8,3,1,1,0
11,sequence_51169,0,0,1,0,1,0,1,1,0,4,4,4,4,4,4,4,4,4,1,0,8,8,8,8,3,1,1,0
12,sequence_51199,0,0,3,3,3,3,3,3,3,3,3,3,1,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11
13,sequence_51144,0,0,3,3,3,3,3,3,3,3,3,3,1,1,0,16,16,16,16,16,16,16,16,16,16,16,16,16
