,secuencia,affinity-0.5,affinity-0.55,affinity-0.6000000000000001,affinity-0.6500000000000001,affinity-0.7000000000000002,affinity-0.7500000000000002,affinity-0.8000000000000003,affinity-0.8500000000000003,affinity-0.9000000000000004,affinity-0.9500000000000004
0,sequence_51016,0,0,0,0,0,0,0,0,0,0
1,sequence_51170,8,7,7,7,6,6,7,7,7,5
2,sequence_32130,1,1,1,1,1,1,1,1,1,1
3,sequence_51136,7,6,6,5,5,5,6,6,6,4
4,sequence_51191,2,2,16,17,16,16,16,16,16,13
5,sequence_51140,8,7,7,7,6,6,7,7,7,5
6,sequence_51149,9,8,7,6,6,6,7,7,7,5
7,sequence_51181,8,7,7,7,6,6,7,7,7,5
8,sequence_51159,8,7,7,7,6,6,7,7,7,5
9,sequence_51175,3,3,2,2,2,2,2,2,2,2
10,sequence_51174,3,3,2,2,2,2,2,2,2,2
11,sequence_51169,3,3,2,2,2,2,2,2,2,2
12,sequence_51199,8,7,7,7,6,6,7,7,7,5
13,sequence_51144,9,8,7,6,6,6,7,7,7,5
14,sequence_51183,8,7,7,7,6,6,7,7,7,5
15,sequence_51157,8,7,7,7,6,6,7,7,7,5
16,sequence_51163,8,7,7,7,6,6,7,7,7,5
17,sequence_51173,8,7,7,7,6,6,7,7,7,5
18,sequence_51168,8,7,7,7,6,6,7,7,7,5
19,sequence_51171,8,7,7,7,6,6,7,7,7,5
20,sequence_51182,2,2,16,17,16,16,16,16,16,13
21,sequence_51131,7,6,6,5,5,5,6,6,6,4
22,sequence_51138,7,6,6,5,5,5,6,6,6,4
23,sequence_51196,2,2,16,17,16,16,16,16,16,13
24,sequence_51202,7,6,6,5,5,5,6,6,6,4
25,sequence_51192,2,2,16,17,16,16,16,16,16,13
26,sequence_51147,3,3,2,2,2,2,2,2,2,2
27,sequence_51151,9,8,7,6,6,6,7,7,7,5
28,sequence_51145,2,2,16,17,16,16,16,16,16,13
29,sequence_51187,2,2,16,17,16,16,16,16,16,13
30,sequence_51148,3,3,2,2,2,2,2,2,2,2
31,sequence_51141,8,7,16,17,16,16,16,16,16,13
32,sequence_51137,7,6,6,5,5,5,6,6,6,4
33,sequence_32151,4,4,3,3,3,3,3,3,3,3
34,sequence_32148,10,9,8,8,7,7,8,8,8,6
35,sequence_32117,5,5,4,9,8,8,4,4,4,6
36,sequence_32141,1,1,1,1,1,1,1,1,1,1
37,sequence_32124,1,1,1,1,1,1,1,1,1,1
38,sequence_32126,1,1,1,1,1,1,1,1,1,1
39,sequence_32127,1,1,1,1,1,1,1,1,1,1
40,sequence_32133,5,5,4,9,8,8,4,4,4,1
41,sequence_32131,4,4,3,3,3,3,3,3,3,3
42,sequence_32174,4,4,3,3,3,3,3,3,3,3
43,sequence_32114,1,1,1,1,1,1,1,1,1,1
44,sequence_32147,5,5,4,9,8,8,4,4,4,1
45,sequence_32119,5,5,4,9,8,8,4,4,4,1
46,sequence_32122,1,1,1,1,1,1,1,1,1,1
47,sequence_32125,1,1,1,1,1,1,1,1,1,1
48,sequence_32128,1,1,1,1,1,1,1,1,1,1
49,sequence_32129,1,1,1,1,1,1,1,1,1,1
50,sequence_32132,4,4,3,3,3,3,3,3,3,3
51,sequence_32167,11,10,9,10,9,9,9,9,9,7
52,sequence_50970,0,0,0,0,0,0,0,0,0,0
53,sequence_51045,0,0,0,0,0,0,0,0,0,0
54,sequence_51003,0,0,0,0,0,0,0,0,0,0
55,sequence_51032,0,0,0,0,0,0,0,0,0,0
56,sequence_51028,17,0,0,0,0,0,0,0,0,0
57,sequence_51025,0,0,0,0,0,0,0,0,0,0
58,sequence_51019,0,0,0,0,0,0,0,0,0,0
59,sequence_51017,0,0,0,0,0,0,0,0,0,0
60,sequence_51014,0,0,0,0,0,0,0,0,0,0
61,sequence_50984,0,0,0,0,0,0,0,0,0,0
62,sequence_51054,17,12,10,11,10,10,10,10,10,8
63,sequence_51002,0,0,0,0,0,0,0,0,0,0
64,sequence_51033,0,0,0,0,0,0,0,0,0,0
65,sequence_51027,0,0,0,0,0,0,0,0,0,0
66,sequence_51023,0,0,0,0,0,0,0,0,0,0
67,sequence_51012,0,0,0,0,0,0,0,0,0,0
68,sequence_51018,0,0,0,0,0,0,0,0,0,0
69,sequence_51015,0,12,10,11,10,10,10,10,10,8
70,sequence_50973,13,14,12,13,12,12,12,12,12,10
71,sequence_32112,5,5,4,1,1,1,4,4,4,1
72,sequence_50978,16,16,15,16,15,15,15,15,15,12
73,sequence_32162,11,10,9,10,9,9,9,9,9,7
74,sequence_50995,13,14,12,13,12,12,12,12,12,10
75,sequence_50972,13,14,12,13,12,12,12,12,12,10
76,sequence_32115,11,10,9,10,9,9,9,9,9,7
77,sequence_50979,13,14,12,13,12,12,12,12,12,10
78,sequence_32152,12,13,11,12,11,11,11,11,11,9
79,sequence_32113,5,5,4,9,8,8,4,4,4,1
80,sequence_32182,11,10,9,10,9,9,9,9,9,7
81,sequence_50987,13,14,12,13,12,12,12,12,12,10
82,sequence_51052,13,14,12,13,12,12,12,12,12,10
83,sequence_50988,6,12,5,4,4,4,5,5,5,8
84,sequence_32158,14,15,13,14,13,13,13,13,13,7
85,sequence_32180,10,9,8,8,7,7,8,8,8,6
86,sequence_51046,6,12,5,4,4,4,5,5,5,8
87,sequence_32181,11,10,9,10,9,9,9,9,9,7
88,sequence_32163,12,13,11,12,11,11,11,11,11,9
89,sequence_50980,0,12,10,11,10,10,10,10,10,8
90,sequence_50969,13,14,12,13,12,12,12,12,12,10
91,sequence_50996,17,12,10,11,10,10,10,10,10,8
92,sequence_50989,6,11,5,4,4,4,5,5,5,0
93,sequence_32150,11,10,9,10,9,9,9,9,9,7
94,sequence_51053,13,14,12,13,12,12,12,12,12,10
95,sequence_50966,6,11,5,4,4,4,5,5,5,0
96,sequence_32116,1,1,1,1,1,1,1,1,1,1
97,sequence_32159,10,9,8,8,7,7,8,8,8,6
98,sequence_32149,12,13,11,12,11,11,11,11,11,9
99,sequence_51133,7,6,6,5,5,5,6,6,6,4
100,sequence_51189,2,2,16,17,16,16,16,16,16,13
101,sequence_51167,8,7,7,7,6,6,7,7,7,5
102,sequence_51130,8,7,7,7,6,6,7,7,7,5
103,sequence_51186,9,8,7,6,6,6,7,7,7,5
104,sequence_51178,8,7,7,7,6,6,7,7,7,5
105,sequence_51158,3,3,2,2,2,2,2,2,2,2
106,sequence_51165,3,3,2,2,2,2,2,2,2,2
107,sequence_51176,8,7,7,7,6,6,7,7,7,5
108,sequence_51155,9,8,7,6,6,6,7,7,7,5
109,sequence_51162,3,3,2,2,2,2,2,2,2,2
