,secuencia,aglomerative-2,aglomerative-3,aglomerative-4,aglomerative-5,aglomerative-6,aglomerative-7,aglomerative-8,aglomerative-9,aglomerative-10,aglomerative-11,aglomerative-12,aglomerative-13,aglomerative-14,aglomerative-15,aglomerative-16,aglomerative-17,aglomerative-18,aglomerative-19,aglomerative-20,aglomerative-21,aglomerative-22,aglomerative-23,aglomerative-24,aglomerative-25,aglomerative-26,aglomerative-27,aglomerative-28,aglomerative-29
0,sequence_53082,1,1,1,1,1,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3
1,sequence_19402,0,0,0,0,2,2,2,2,2,2,0,10,10,10,10,10,4,1,1,0,21,21,21,21,21,21,21,21
2,sequence_20054,0,2,2,2,0,6,6,6,6,6,2,2,0,3,3,3,3,3,3,1,0,22,22,22,22,22,22,22
3,sequence_20048,0,2,2,2,0,3,3,1,0,4,4,1,1,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15
4,sequence_20036,0,2,2,2,0,6,6,6,6,6,2,2,0,3,3,3,3,3,3,1,0,4,1,1,1,0,25,25
5,sequence_19525,0,0,3,3,3,1,0,8,8,8,8,8,8,8,8,8,8,8,8,3,1,0,20,20,20,20,20,20
6,sequence_20061,0,2,2,2,0,6,6,6,6,6,2,2,0,3,3,3,3,3,3,1,0,4,1,1,1,0,25,25
7,sequence_19496,0,0,3,3,3,1,0,8,8,8,8,8,8,8,8,8,8,8,8,3,1,0,23,23,23,23,23,23
8,sequence_19477,0,0,3,3,3,1,0,3,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
9,sequence_19363,0,0,0,0,2,2,2,2,2,2,0,12,12,12,5,5,5,5,5,5,5,5,5,2,2,2,0,12
10,sequence_19500,0,0,0,0,5,5,5,5,5,5,5,5,2,2,0,4,1,0,19,19,19,19,19,19,19,19,19,19
11,sequence_19453,0,0,0,0,5,5,5,5,5,5,5,5,2,2,0,4,1,0,6,6,6,6,6,6,6,6,6,6
12,sequence_53075,0,2,2,2,0,6,6,6,6,6,2,2,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
13,sequence_19522,0,0,0,0,2,2,2,2,2,2,0,10,10,10,10,10,4,1,1,0,17,17,17,17,17,17,17,17
14,sequence_19523,0,0,3,3,3,1,0,8,8,8,8,8,8,8,8,8,8,8,8,3,1,0,20,20,20,20,20,20
15,sequence_53078,0,2,2,2,0,6,6,6,6,6,2,2,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
16,sequence_20069,0,2,2,2,0,3,3,1,0,4,4,1,1,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15
17,sequence_53062,1,1,1,1,1,0,4,4,4,1,1,0,5,5,2,2,2,2,0,8,3,3,3,3,3,1,1,1
18,sequence_20060,0,2,2,2,0,6,6,6,6,6,2,2,0,3,3,3,3,3,3,1,0,4,1,1,1,0,25,25
19,sequence_53066,0,2,2,2,0,3,3,1,0,10,10,4,4,4,4,1,0,9,9,20,20,20,9,9,9,9,9,9
20,sequence_19417,0,0,0,0,2,2,2,2,2,2,0,10,10,10,10,10,4,1,1,0,17,17,17,17,17,17,17,17
21,sequence_19391,0,0,0,4,4,4,1,0,9,9,9,9,9,9,9,9,9,4,4,4,4,1,0,24,24,24,24,24
22,sequence_19447,0,0,3,3,3,1,0,3,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
23,sequence_53079,0,2,2,2,0,3,3,1,0,10,10,4,4,4,4,1,0,9,9,20,20,20,9,9,9,9,9,9
24,sequence_20042,0,2,2,2,0,3,3,1,0,4,4,1,1,0,12,12,12,12,12,12,12,12,12,5,12,12,5,2
25,sequence_19419,0,0,0,4,4,4,1,0,9,9,9,9,9,9,9,9,9,4,4,4,4,1,0,12,25,25,12,5
26,sequence_19425,0,0,0,0,5,5,5,5,5,5,5,5,2,2,0,4,1,0,6,6,6,6,6,6,6,6,6,6
27,sequence_19450,0,0,3,3,3,1,0,3,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
28,sequence_53085,0,2,2,2,0,3,3,1,0,4,4,1,1,0,12,12,12,12,12,12,12,12,12,5,12,12,5,2
29,sequence_19509,0,0,3,3,3,1,0,8,8,8,8,8,8,8,8,8,8,8,8,3,1,0,20,20,20,20,20,20
30,sequence_53059,0,2,2,2,0,6,6,6,6,6,2,2,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
31,sequence_19430,0,0,0,4,4,4,1,0,9,9,9,9,9,9,9,9,9,4,4,4,4,1,0,12,25,25,12,5
32,sequence_20052,0,2,2,2,0,6,6,6,6,6,2,2,0,3,3,3,3,3,3,1,0,22,22,22,22,22,22,22
33,sequence_19369,1,1,1,1,1,0,4,4,4,1,1,0,5,5,2,2,2,2,0,9,9,9,4,4,4,4,4,4
34,sequence_53064,0,2,2,2,0,3,3,1,0,10,10,4,4,4,4,1,0,9,9,20,20,20,9,9,9,9,9,9
35,sequence_20072,0,2,2,2,0,6,6,6,6,6,2,2,0,3,3,3,3,3,3,1,0,4,1,1,1,0,27,27
36,sequence_20038,0,0,0,0,2,2,2,2,2,2,0,12,12,12,5,5,5,5,5,5,5,5,5,2,2,2,0,12
37,sequence_20039,0,2,2,2,0,3,3,1,0,4,4,1,1,0,12,12,12,12,12,12,12,12,12,5,12,12,5,2
38,sequence_19506,0,0,0,0,2,2,2,2,2,2,0,10,10,10,10,10,4,1,1,0,17,17,17,17,17,17,17,17
39,sequence_20064,1,1,1,1,1,0,4,4,4,1,1,0,6,6,6,6,6,6,2,2,2,2,2,0,0,7,7,7
40,sequence_19530,0,0,0,0,2,2,2,2,2,2,0,10,10,10,10,10,4,1,1,0,21,21,21,21,21,21,21,21
41,sequence_19498,0,0,3,3,3,1,0,3,1,0,6,6,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
42,sequence_19504,1,1,1,1,1,0,4,4,4,1,1,0,6,6,6,6,6,6,2,2,2,2,2,0,5,5,2,0
43,sequence_19386,0,0,0,0,2,2,2,2,2,2,0,12,12,12,5,5,5,5,5,5,5,5,5,2,2,2,0,12
44,sequence_19519,0,0,0,0,2,2,2,2,2,2,0,12,12,12,5,5,5,5,5,5,5,5,5,2,2,2,0,12
45,sequence_19404,1,1,1,1,1,0,4,4,4,1,1,0,5,5,2,2,2,2,0,9,9,9,4,4,4,4,4,4
46,sequence_19446,0,0,0,0,2,2,2,2,2,2,0,10,10,10,10,10,4,1,1,0,17,17,17,17,17,17,17,17
47,sequence_20063,0,2,2,2,0,3,3,1,0,4,4,1,1,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15
48,sequence_20043,1,1,1,1,1,0,4,4,4,1,1,0,5,5,2,2,2,2,0,9,9,9,4,4,4,4,4,4
49,sequence_19497,0,0,0,4,4,4,1,0,3,3,3,3,3,1,1,0,17,17,17,17,8,8,8,8,8,8,8,8
50,sequence_19490,0,0,0,0,2,2,2,2,2,2,0,10,10,10,10,10,4,1,1,0,17,17,17,17,17,17,17,17
51,sequence_19376,0,0,0,4,4,4,1,0,9,9,9,9,9,9,9,9,9,4,4,4,4,1,0,12,25,25,12,5
52,sequence_19406,0,0,3,3,3,1,0,3,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
53,sequence_19405,0,0,0,0,2,2,2,2,2,2,0,12,12,12,5,5,5,5,5,5,5,5,5,2,2,2,0,28
54,sequence_19382,0,0,0,0,5,5,5,5,5,5,5,5,2,2,0,4,1,0,19,19,19,19,19,19,19,19,19,19
55,sequence_20067,0,2,2,2,0,3,3,1,0,4,4,1,1,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15
56,sequence_19409,0,0,0,4,4,4,1,0,3,3,3,3,3,1,1,0,17,17,17,17,8,8,8,8,8,8,8,8
57,sequence_19354,0,0,3,3,3,1,0,3,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
58,sequence_20040,0,2,2,2,0,6,6,6,6,6,2,2,0,3,3,3,3,3,3,1,0,22,22,22,22,22,22,22
59,sequence_19370,1,1,1,1,1,0,4,4,4,1,1,0,5,5,2,2,2,2,0,9,9,9,4,4,4,4,4,4
60,sequence_19432,0,0,3,3,3,1,0,8,8,8,8,8,8,8,8,8,8,8,8,3,1,0,20,20,20,20,20,20
61,sequence_19371,0,0,0,0,2,2,2,2,2,2,0,10,10,10,10,10,4,1,1,0,17,17,17,17,17,17,17,17
62,sequence_19434,0,0,0,4,4,4,1,0,9,9,9,9,9,9,9,9,9,4,4,4,4,1,0,12,25,25,12,5
63,sequence_19505,0,0,0,0,5,5,5,5,5,5,5,5,2,2,0,4,1,0,19,19,19,19,19,19,19,19,19,19
64,sequence_53070,0,2,2,2,0,3,3,1,0,10,10,4,4,4,4,1,0,9,9,20,20,20,9,9,9,9,9,9
65,sequence_19392,0,0,0,4,4,4,1,0,9,9,9,9,9,9,9,9,9,4,4,4,4,1,0,12,25,25,12,5
66,sequence_19357,0,0,3,3,3,1,0,3,1,0,6,6,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
67,sequence_20056,1,1,1,1,1,0,4,4,4,1,1,0,6,6,6,6,6,6,2,2,2,2,2,0,0,7,7,7
68,sequence_19526,0,0,0,4,4,4,1,0,9,9,9,9,9,9,9,9,9,4,4,4,4,1,0,24,24,24,24,24
69,sequence_20046,0,2,2,2,0,3,3,1,0,4,4,1,1,0,12,12,12,12,12,12,12,12,12,5,12,12,5,2
70,sequence_19443,0,0,0,4,4,4,1,0,3,3,3,3,3,1,1,0,10,10,10,10,10,10,10,10,10,10,10,10
71,sequence_19410,0,0,3,3,3,1,0,3,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
72,sequence_19390,0,0,0,4,4,4,1,0,9,9,9,9,9,9,9,9,9,4,4,4,4,1,0,12,25,25,12,5
73,sequence_19439,0,0,0,4,4,4,1,0,3,3,3,3,3,1,1,0,10,10,10,10,10,10,10,10,10,10,10,10
74,sequence_20071,0,2,2,2,0,3,3,1,0,4,4,1,1,0,12,12,12,12,12,12,12,12,12,5,12,12,5,2
75,sequence_19451,0,0,3,3,3,1,0,3,1,0,6,6,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
