,secuencia,K-means-2,K-means-3,K-means-4,K-means-5,K-means-6,K-means-7,K-means-8,K-means-9,K-means-10,K-means-11,K-means-12,K-means-13,K-means-14,K-means-15,K-means-16,K-means-17,K-means-18,K-means-19,K-means-20,K-means-21,K-means-22,K-means-23,K-means-24,K-means-25,K-means-26,K-means-27,K-means-28,K-means-29
0,sequence_47787,1,0,2,1,4,3,5,1,1,9,5,6,5,14,12,7,5,1,1,13,7,13,7,23,2,10,14,14
1,sequence_47684,1,0,2,1,4,3,5,7,8,1,5,1,6,14,12,7,5,4,11,13,7,13,7,10,2,0,14,14
2,sequence_47789,1,1,2,1,1,3,5,4,6,7,3,12,0,5,2,15,16,12,12,15,17,10,1,9,13,20,11,27
3,sequence_47790,1,1,2,1,1,3,5,4,6,7,3,12,0,5,2,15,16,12,12,15,17,10,1,9,13,20,11,27
4,sequence_47781,1,0,2,1,4,3,5,1,1,9,5,6,0,8,8,1,11,1,1,4,12,8,22,14,9,26,8,23
5,sequence_47777,1,0,2,1,4,3,5,1,1,9,5,6,0,8,8,1,11,1,1,4,12,8,22,14,9,26,8,23
6,sequence_47779,1,0,2,1,4,3,5,1,1,9,5,6,0,8,8,1,11,1,1,4,12,8,22,14,9,26,8,23
7,sequence_47784,1,0,2,1,4,3,5,1,1,9,5,6,0,8,12,1,11,1,1,4,12,8,22,23,9,10,8,23
8,sequence_47786,1,0,2,1,4,3,5,1,1,9,5,6,0,8,8,1,11,1,1,4,12,8,22,1,9,2,8,23
9,sequence_47782,1,0,2,1,4,3,5,1,1,9,5,6,0,8,12,1,11,1,1,4,12,8,22,1,9,2,8,23
10,sequence_47772,1,0,2,1,4,3,5,1,1,8,10,11,5,0,10,7,9,14,9,8,4,17,3,6,21,15,5,3
11,sequence_47795,0,0,3,0,5,0,2,0,5,8,10,11,5,0,10,14,9,14,9,8,4,17,3,6,10,15,26,18
12,sequence_47776,1,0,2,1,4,3,5,1,1,9,5,6,5,14,12,7,5,1,1,13,7,13,7,23,2,10,14,14
13,sequence_47685,1,1,0,1,1,5,3,4,9,7,6,5,9,2,2,15,16,4,18,15,17,10,8,17,13,0,11,25
14,sequence_47679,1,0,2,1,4,5,0,2,9,10,4,5,9,2,4,8,4,4,18,5,20,8,8,14,24,7,12,8
15,sequence_47695,0,0,3,0,5,0,2,0,5,6,9,0,12,7,3,14,12,16,0,12,18,5,21,18,6,11,3,0
16,sequence_47710,0,0,3,0,5,0,2,0,5,6,9,0,12,7,3,14,12,16,0,12,18,5,21,18,6,11,3,0
17,sequence_47686,1,1,1,0,1,5,3,4,6,7,6,12,2,11,2,15,16,4,12,1,21,10,12,17,8,0,9,25
18,sequence_47778,1,1,0,3,1,5,5,4,6,7,3,7,0,5,2,1,11,12,12,1,1,12,1,9,25,13,19,10
19,sequence_47780,1,1,2,1,1,3,5,4,6,7,3,7,0,5,2,1,11,12,12,1,1,12,1,9,25,13,19,10
20,sequence_47785,1,1,0,3,1,5,3,4,6,7,3,7,0,5,2,15,16,12,12,1,1,12,1,9,25,13,19,10
21,sequence_47803,0,2,1,0,5,0,2,0,6,3,3,12,10,7,14,6,13,5,10,2,9,18,0,11,5,20,10,15
22,sequence_47663,1,0,2,2,0,6,0,7,8,1,4,1,6,6,0,11,1,11,8,20,3,11,9,20,20,22,21,17
23,sequence_47757,1,0,2,2,0,6,0,7,8,1,4,1,6,6,0,11,1,11,8,0,20,16,15,5,20,22,1,17
24,sequence_47783,1,0,2,1,4,3,5,7,8,1,5,1,6,14,0,7,5,1,11,7,7,3,7,10,22,9,1,17
25,sequence_47796,1,0,2,1,4,3,5,1,1,8,10,11,5,0,0,7,9,1,1,4,4,17,13,1,21,15,5,3
26,sequence_47750,0,0,3,2,0,6,7,5,2,5,2,4,7,12,13,5,2,7,7,0,3,0,15,12,14,5,5,5
27,sequence_47760,0,0,3,2,0,6,7,5,2,8,10,11,5,0,10,7,9,14,7,8,4,17,3,6,10,5,5,3
28,sequence_47773,0,2,1,0,5,0,2,0,6,3,3,12,10,5,14,6,13,5,10,2,13,18,0,11,5,20,10,15
29,sequence_47768,1,0,2,1,4,3,5,1,1,9,5,6,5,8,8,1,11,1,1,4,12,8,17,14,21,26,8,3
30,sequence_47771,1,0,2,1,4,3,5,1,1,9,5,6,5,8,8,1,11,1,1,4,12,8,17,1,21,26,8,3
31,sequence_47681,1,1,0,3,1,5,3,2,9,10,0,5,9,2,4,8,4,4,18,5,5,1,8,21,3,7,12,8
32,sequence_47696,0,2,1,0,5,0,2,0,5,6,9,0,4,7,3,14,12,15,0,12,9,5,16,4,15,3,17,9
