,secuencia,aglomerative-2,aglomerative-3,aglomerative-4,aglomerative-5,aglomerative-6,aglomerative-7,aglomerative-8,aglomerative-9,aglomerative-10,aglomerative-11,aglomerative-12,aglomerative-13,aglomerative-14,aglomerative-15,aglomerative-16,aglomerative-17,aglomerative-18,aglomerative-19,aglomerative-20,aglomerative-21,aglomerative-22,aglomerative-23,aglomerative-24,aglomerative-25,aglomerative-26,aglomerative-27,aglomerative-28,aglomerative-29
0,sequence_47787,0,0,3,3,3,3,3,1,0,10,10,10,10,10,10,10,10,4,4,4,4,4,1,0,25,25,25,25
1,sequence_47684,0,0,3,3,3,3,3,1,0,2,2,2,2,0,3,3,3,3,3,1,0,22,22,22,22,22,22,22
2,sequence_47789,0,2,2,0,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,3,1,1,0,24,24,24,24,24
3,sequence_47790,0,2,2,0,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,3,1,1,0,24,24,24,24,24
4,sequence_47781,0,0,3,3,3,3,3,1,0,10,10,10,10,10,10,10,10,4,4,4,4,4,1,0,12,12,12,12
5,sequence_47777,0,0,3,3,3,3,3,1,0,10,10,10,10,10,10,10,10,4,4,4,4,4,1,0,12,12,12,12
6,sequence_47779,0,0,3,3,3,3,3,1,0,10,10,10,10,10,10,10,10,4,4,4,4,4,1,0,12,12,12,12
7,sequence_47784,0,0,3,3,3,3,3,1,0,10,10,10,10,10,10,10,10,4,4,4,4,4,1,0,25,25,25,25
8,sequence_47786,0,0,3,3,3,3,3,1,0,10,10,10,10,10,10,10,10,4,4,4,4,4,1,0,12,12,12,12
9,sequence_47782,0,0,3,3,3,3,3,1,0,10,10,10,10,10,10,10,10,4,4,4,4,4,1,0,12,12,12,12
10,sequence_47772,0,0,1,4,4,4,1,0,4,4,4,4,4,4,4,4,1,0,5,5,5,5,5,5,2,2,0,4
11,sequence_47795,0,0,1,4,4,4,1,0,4,4,4,4,4,4,4,4,1,0,19,19,19,19,19,19,19,19,19,19
12,sequence_47776,0,0,3,3,3,3,3,1,0,10,10,10,10,10,10,10,10,4,4,4,4,4,1,0,25,25,25,25
13,sequence_47685,0,2,2,0,2,0,4,4,1,1,0,3,1,1,0,13,13,13,13,13,13,13,13,13,13,13,6,6
14,sequence_47679,0,0,3,3,3,3,3,1,0,2,2,2,2,0,3,3,3,3,3,1,0,0,23,23,23,23,23,23
15,sequence_47695,1,1,0,2,0,6,6,6,6,6,6,6,6,6,6,2,2,2,0,7,7,7,7,3,3,1,1,0
16,sequence_47710,1,1,0,2,0,6,6,6,6,6,6,6,6,6,6,2,2,2,0,7,7,7,7,3,3,1,1,0
17,sequence_47686,0,2,2,0,2,0,4,4,1,1,0,3,1,1,0,13,13,13,13,13,13,13,13,13,13,13,6,6
18,sequence_47778,0,2,2,0,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,3,1,1,0,7,7,7,7,7
19,sequence_47780,0,2,2,0,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,3,1,1,0,7,7,7,7,7
20,sequence_47785,0,2,2,0,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,3,1,1,0,7,7,7,7,7
21,sequence_47803,1,1,0,2,0,2,2,2,2,0,5,5,5,5,5,5,5,5,2,2,2,2,2,2,0,8,8,8
22,sequence_47663,0,0,3,3,3,3,3,1,0,2,2,2,2,0,3,3,3,3,3,1,0,0,21,21,21,21,21,21
23,sequence_47757,0,0,3,3,3,3,3,1,0,2,2,2,2,0,3,3,3,3,3,1,0,0,21,21,21,21,21,21
24,sequence_47783,0,0,3,3,3,3,3,1,0,2,2,2,2,0,3,3,3,3,3,1,0,22,22,22,22,22,22,22
25,sequence_47796,0,0,1,4,4,4,1,0,4,4,4,4,4,4,4,4,1,0,5,5,5,5,5,5,2,2,0,4
26,sequence_47750,0,0,1,4,4,4,1,0,4,4,4,4,4,4,4,4,1,0,5,5,5,5,5,5,2,2,0,4
27,sequence_47760,0,0,1,4,4,4,1,0,4,4,4,4,4,4,4,4,1,0,5,5,5,5,5,5,2,2,0,4
28,sequence_47773,1,1,0,2,0,2,2,2,2,0,5,5,5,5,5,5,5,5,2,2,2,2,2,2,0,8,8,8
29,sequence_47768,0,0,1,4,4,4,1,0,4,4,4,4,4,4,4,4,1,0,5,5,5,5,5,5,2,2,0,13
30,sequence_47771,0,0,1,4,4,4,1,0,4,4,4,4,4,4,4,4,1,0,5,5,5,5,5,5,2,2,0,13
31,sequence_47681,0,2,2,0,2,0,4,4,1,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,5,5,5,5
32,sequence_47696,1,1,0,2,0,6,6,6,6,6,6,6,6,6,6,2,2,2,0,7,7,7,7,3,3,1,1,0
33,sequence_47680,0,2,2,0,2,0,4,4,1,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,5,5,5,5
34,sequence_47673,0,0,3,3,3,3,3,1,0,2,2,2,2,0,3,3,3,3,3,1,0,0,23,23,23,23,23,23
35,sequence_47700,0,2,2,0,2,0,4,4,1,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,5,5,5,5
36,sequence_47689,1,1,0,2,0,6,6,6,6,6,6,6,6,6,6,2,2,2,0,7,7,7,7,3,3,1,1,0
37,sequence_47683,0,2,2,0,2,0,4,4,1,1,0,3,1,1,0,13,13,13,13,13,13,13,13,13,13,13,6,6
38,sequence_47697,1,1,0,1,1,1,0,3,3,3,1,0,13,13,13,6,6,6,6,6,6,6,6,6,6,6,2,2
39,sequence_47678,1,1,0,1,1,1,0,3,3,3,1,0,13,13,13,6,6,6,6,6,6,6,6,6,6,6,2,2
40,sequence_47682,0,2,2,0,2,0,4,4,1,1,0,3,1,1,0,13,13,13,13,13,13,13,13,13,13,13,6,6
41,sequence_47724,0,2,2,0,2,0,4,4,1,1,0,3,1,1,0,13,13,13,13,13,13,13,13,13,13,13,6,6
42,sequence_47806,0,2,2,0,5,5,5,5,5,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
43,sequence_47807,0,2,2,0,5,5,5,5,5,5,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
44,sequence_47804,1,1,0,2,0,2,2,2,2,0,5,5,5,5,5,5,5,5,2,2,2,2,2,2,0,26,26,26
45,sequence_47800,1,1,0,2,0,2,2,2,2,0,5,5,5,5,5,5,5,5,2,2,2,2,2,2,0,26,26,26
46,sequence_47799,1,1,0,2,0,2,2,2,2,0,5,5,5,5,5,5,5,5,2,2,2,2,2,2,0,26,26,26
47,sequence_47664,0,0,3,3,3,3,3,1,0,2,2,2,2,0,3,3,3,3,3,1,0,0,21,21,21,21,21,21
48,sequence_47666,0,0,1,4,4,4,1,0,9,9,9,9,9,9,9,9,4,1,1,0,21,21,10,10,10,10,10,10
49,sequence_47671,0,0,1,4,4,4,1,0,9,9,9,9,9,9,9,9,4,1,1,0,21,21,10,10,10,10,10,10
50,sequence_47727,0,0,3,3,3,3,3,1,0,2,2,2,2,0,3,3,3,3,3,1,0,22,22,22,22,22,22,22
51,sequence_47756,0,0,3,3,3,3,3,1,0,2,2,2,2,0,3,3,3,3,3,1,0,0,21,21,21,21,21,21
52,sequence_47775,0,0,3,3,3,3,3,1,0,2,2,2,2,0,3,3,3,3,3,1,0,22,22,22,22,22,22,22
53,sequence_47730,0,0,1,4,4,4,1,0,4,4,4,4,4,4,4,4,1,0,5,5,5,5,5,5,2,2,0,4
54,sequence_47758,0,0,1,4,4,4,1,0,9,9,9,9,9,9,9,9,4,1,1,0,8,8,8,8,8,3,3,3
55,sequence_47797,1,1,0,2,0,2,2,2,2,0,3,1,0,2,2,0,17,17,17,17,17,17,17,17,17,17,17,17
56,sequence_47798,0,0,1,4,4,4,1,0,4,4,4,4,4,4,4,4,1,0,5,5,5,5,5,5,2,2,0,4
57,sequence_47751,1,1,0,2,0,2,2,2,2,0,3,1,0,2,2,0,9,9,9,9,9,9,9,9,9,9,9,9
58,sequence_47741,0,0,1,4,4,4,1,0,9,9,9,9,9,9,9,9,4,1,1,0,8,8,8,8,8,3,3,3
59,sequence_47743,0,0,1,4,4,4,1,0,9,9,9,9,9,9,9,9,4,1,1,0,8,8,8,8,8,3,3,3
60,sequence_47752,0,0,1,4,4,4,1,0,9,9,9,9,9,9,9,9,4,1,1,0,8,8,8,8,8,3,3,3
61,sequence_47745,0,0,1,4,4,4,1,0,9,9,9,9,9,9,9,9,4,1,1,0,8,8,8,8,8,3,3,3
62,sequence_47747,0,0,1,4,4,4,1,0,9,9,9,9,9,9,9,9,4,1,1,0,8,8,8,8,8,3,3,3
63,sequence_47748,0,0,1,4,4,4,1,0,9,9,9,9,9,9,9,9,4,1,1,0,8,8,8,8,8,3,3,3
64,sequence_47749,0,0,1,4,4,4,1,0,9,9,9,9,9,9,9,9,4,1,1,0,8,8,8,8,8,3,3,3
65,sequence_47744,0,0,1,4,4,4,1,0,9,9,9,9,9,9,9,9,4,1,1,0,8,8,8,8,8,3,3,3
66,sequence_47721,1,1,0,1,1,1,0,3,3,3,1,0,13,13,13,6,6,6,6,6,6,6,6,6,6,6,2,2
67,sequence_47759,1,1,0,1,1,1,0,3,3,3,1,0,13,13,13,6,6,6,6,6,6,6,6,6,6,6,2,2
68,sequence_47774,1,1,0,2,0,2,2,2,2,0,5,5,5,5,5,5,5,5,2,2,2,2,2,2,0,26,26,26
69,sequence_47770,1,1,0,2,0,2,2,2,2,0,5,5,5,5,5,5,5,5,2,2,2,2,2,2,0,8,8,8
70,sequence_47713,0,0,1,4,4,4,1,0,9,9,9,9,9,9,9,9,4,1,1,0,21,21,10,10,10,10,10,10
71,sequence_47738,0,0,1,4,4,4,1,0,9,9,9,9,9,9,9,9,4,1,1,0,8,8,8,8,8,3,3,3
72,sequence_47769,1,1,0,2,0,2,2,2,2,0,5,5,5,5,5,5,5,5,2,2,2,2,2,2,0,26,26,26
73,sequence_47702,0,2,2,0,2,0,4,4,1,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,5,5,5,5
74,sequence_47672,0,2,2,0,2,0,4,4,1,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,5,5,5,5
75,sequence_47705,0,2,2,0,2,0,4,4,1,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,5,5,5,5
76,sequence_47694,1,1,0,2,0,6,6,6,6,6,6,6,6,6,6,2,2,2,0,7,7,7,7,3,3,1,1,0
77,sequence_47691,1,1,0,1,1,1,0,3,3,3,1,0,3,3,1,1,0,10,10,10,10,10,4,4,4,4,4,1
78,sequence_47701,0,2,2,0,2,0,4,4,1,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,5,5,5,5
79,sequence_47706,0,2,2,0,2,0,4,4,1,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,5,5,5,5
80,sequence_47675,1,1,0,1,1,1,0,3,3,3,1,0,3,3,1,1,0,10,10,10,10,10,4,4,4,4,4,1
81,sequence_47698,1,1,0,1,1,1,0,3,3,3,1,0,3,3,1,1,0,10,10,10,10,10,4,4,4,4,4,1
82,sequence_47688,1,1,0,2,0,6,6,6,6,6,6,6,6,6,6,2,2,2,0,7,7,7,7,3,3,1,1,0
83,sequence_47704,0,2,2,0,2,0,4,4,1,1,0,3,1,1,0,16,16,16,16,16,16,16,16,16,16,16,16,16
84,sequence_47708,0,2,2,0,2,0,4,4,1,1,0,3,1,1,0,16,16,16,16,16,16,16,16,16,16,16,16,16
85,sequence_47709,0,2,2,0,2,0,4,4,1,1,0,3,1,1,0,16,16,16,16,16,16,16,16,16,16,16,16,16
86,sequence_47677,1,1,0,1,1,1,0,3,3,3,1,0,3,3,1,1,0,10,10,10,10,10,4,4,4,4,4,1
87,sequence_47692,1,1,0,1,1,1,0,3,3,3,1,0,3,3,1,1,0,18,18,18,18,18,18,18,18,18,18,18
