,id,target,labels
0,sequence_53082,55.0,167
1,sequence_19402,43.0,244
2,sequence_20054,49.0,172
3,sequence_20048,39.8,254
4,sequence_20036,52.9,147
5,sequence_19525,48.8,110
6,sequence_20061,45.0,233
7,sequence_19496,48.3,80
8,sequence_19477,61.5,27
9,sequence_19363,54.6,127
10,sequence_19500,51.2,232
11,sequence_19453,47.3,240
12,sequence_53075,51.6,13
13,sequence_19522,45.4,138
14,sequence_19523,50.8,49
15,sequence_53078,43.3,37
16,sequence_20069,53.4,249
17,sequence_53062,49.1,148
18,sequence_20060,52.6,247
19,sequence_53066,39.2,154
20,sequence_19417,47.9,200
21,sequence_19391,46.8,126
22,sequence_19447,51.0,68
23,sequence_53079,47.8,82
24,sequence_20042,49.4,234
25,sequence_19419,53.3,160
26,sequence_19425,56.9,120
27,sequence_19450,46.0,103
28,sequence_53085,51.2,10
29,sequence_19509,50.6,132
30,sequence_53059,47.1,39
31,sequence_19430,45.7,25
32,sequence_20052,42.9,245
33,sequence_19369,47.9,204
34,sequence_53064,48.4,124
35,sequence_20072,48.7,203
36,sequence_20038,49.1,236
37,sequence_20039,52.6,212
38,sequence_19506,49.3,195
39,sequence_20064,47.3,231
40,sequence_19530,45.6,220
41,sequence_19498,63.2,70
42,sequence_19504,50.6,137
43,sequence_19386,50.7,161
44,sequence_19519,50.3,252
45,sequence_19404,51.3,125
46,sequence_19446,39.5,143
47,sequence_20063,48.9,217
48,sequence_20043,46.6,215
49,sequence_19497,54.9,87
50,sequence_19490,52.9,115
51,sequence_19376,53.0,69
52,sequence_19406,53.8,62
53,sequence_19405,48.7,149
54,sequence_19382,52.0,237
55,sequence_20067,50.8,241
56,sequence_19409,51.1,65
57,sequence_19354,60.0,8
58,sequence_20040,47.2,182
59,sequence_19370,51.7,97
60,sequence_19432,51.0,60
61,sequence_19371,49.0,129
62,sequence_19434,48.0,112
63,sequence_19505,42.4,246
64,sequence_53070,45.7,12
65,sequence_19392,50.5,141
66,sequence_19357,58.5,19
67,sequence_20056,56.9,190
68,sequence_19526,49.3,157
69,sequence_20046,47.4,238
70,sequence_19443,48.0,144
71,sequence_19410,49.9,72
72,sequence_19390,46.3,79
73,sequence_19439,49.5,35
74,sequence_20071,44.9,223
75,sequence_19451,51.0,121
76,sequence_20041,48.5,202
77,sequence_19415,52.8,114
78,sequence_20035,52.5,177
79,sequence_20051,42.5,259
80,sequence_19397,49.6,136
81,sequence_19394,45.4,197
82,sequence_19374,50.7,36
83,sequence_19378,52.4,85
84,sequence_19441,49.0,113
85,sequence_19433,50.1,18
86,sequence_20062,57.9,179
87,sequence_19393,53.7,117
88,sequence_20065,46.5,178
89,sequence_19383,50.5,101
90,sequence_19422,46.6,191
91,sequence_19495,58.9,84
92,sequence_19431,50.5,198
93,sequence_20058,54.9,235
94,sequence_19488,51.3,74
95,sequence_19375,49.9,50
96,sequence_19511,62.4,106
97,sequence_53065,44.8,93
98,sequence_53074,48.3,2
99,sequence_20050,47.9,251
100,sequence_19515,50.4,142
101,sequence_20057,51.9,222
102,sequence_19438,56.1,53
103,sequence_19486,54.2,47
104,sequence_19389,44.0,139
105,sequence_19468,54.8,163
106,sequence_20068,50.6,184
107,sequence_19420,40.6,210
108,sequence_20076,55.7,218
109,sequence_20070,51.8,227
110,sequence_19399,47.5,214
111,sequence_19436,46.4,128
112,sequence_19492,58.5,216
113,sequence_19445,45.5,145
114,sequence_19403,50.9,193
115,sequence_19428,49.3,196
116,sequence_19377,50.3,170
117,sequence_19427,53.8,38
118,sequence_19521,53.0,248
119,sequence_20045,48.8,255
120,sequence_19412,55.3,96
121,sequence_19508,49.5,211
122,sequence_53080,50.4,24
123,sequence_20073,51.0,253
124,sequence_19442,47.4,56
125,sequence_53077,43.5,76
126,sequence_19429,50.9,109
127,sequence_19416,49.4,95
128,sequence_20055,46.3,189
129,sequence_19388,48.4,73
130,sequence_20049,43.9,260
131,sequence_20059,52.3,159
132,sequence_19467,64.4,1
133,sequence_19373,53.1,81
134,sequence_19396,43.1,224
135,sequence_19527,50.1,134
136,sequence_19435,51.4,133
137,sequence_53069,50.9,55
138,sequence_19418,47.2,155
139,sequence_20075,54.9,257
140,sequence_19423,61.2,16
141,sequence_19516,51.9,181
142,sequence_19512,54.4,102
143,sequence_19387,47.7,201
144,sequence_53061,50.6,43
145,sequence_19448,46.3,229
146,sequence_19469,50.5,209
147,sequence_19449,54.3,108
148,sequence_53063,44.0,58
149,sequence_19457,43.6,152
150,sequence_19466,56.9,3
151,sequence_19494,60.0,118
152,sequence_19454,43.1,119
153,sequence_19529,48.8,188
154,sequence_19426,56.3,22
155,sequence_19491,48.8,150
156,sequence_19421,53.0,176
157,sequence_19514,53.0,100
158,sequence_19368,56.2,52
159,sequence_19437,46.7,92
160,sequence_20044,48.4,207
161,sequence_19501,57.2,183
162,sequence_20074,47.1,242
163,sequence_19395,49.7,243
164,sequence_19510,47.8,166
165,sequence_19489,49.1,44
166,sequence_19440,48.5,151
167,sequence_19408,51.1,162
168,sequence_53076,46.3,31
169,sequence_19372,49.2,66
170,sequence_19507,46.0,140
171,sequence_20066,49.9,213
172,sequence_19524,46.4,194
173,sequence_19414,54.7,99
174,sequence_19485,58.0,29
175,sequence_19384,50.8,57
176,sequence_19493,50.4,226
177,sequence_19484,52.0,164
178,sequence_53073,53.8,0
179,sequence_20034,52.0,174
180,sequence_19456,48.0,185
181,sequence_53067,40.9,168
182,sequence_19502,59.9,123
183,sequence_20053,54.7,173
184,sequence_19355,58.8,107
185,sequence_19365,53.0,146
186,sequence_20047,49.9,219
