,secuencia,K-means-2,K-means-3,K-means-4,K-means-5,K-means-6,K-means-7,K-means-8,K-means-9,K-means-10,K-means-11,K-means-12,K-means-13,K-means-14,K-means-15,K-means-16,K-means-17,K-means-18,K-means-19,K-means-20,K-means-21,K-means-22,K-means-23,K-means-24,K-means-25,K-means-26,K-means-27,K-means-28,K-means-29
0,sequence_40826,0,1,3,1,0,2,2,1,3,9,10,8,6,14,7,1,14,8,14,6,11,13,11,18,11,2,11,27
1,sequence_40787,0,1,3,1,0,5,2,8,6,2,0,1,11,3,10,3,2,1,2,2,8,1,10,6,4,6,6,15
2,sequence_40789,0,1,3,1,0,5,2,8,6,2,0,1,11,3,10,3,2,1,2,2,8,1,10,6,20,6,2,15
3,sequence_40794,0,1,3,1,0,5,2,8,6,2,0,1,11,3,10,3,2,1,2,2,8,1,10,6,20,6,2,15
4,sequence_40806,0,2,0,0,1,0,3,6,0,10,2,4,8,10,4,14,12,4,12,15,19,15,16,16,9,10,24,18
5,sequence_40807,0,2,1,3,2,0,0,8,1,8,5,10,1,5,9,11,7,9,7,18,3,3,4,5,18,1,1,9
6,sequence_40809,0,2,1,3,2,0,0,6,9,8,8,5,8,1,4,11,13,5,13,18,14,21,4,21,23,25,20,25
7,sequence_40811,0,2,1,3,2,0,0,6,9,8,8,5,9,1,4,4,13,5,13,18,14,14,8,3,23,17,18,19
8,sequence_40813,0,2,1,3,2,0,0,6,1,8,5,5,1,5,9,4,7,5,7,18,3,3,8,5,23,24,4,9
9,sequence_40814,0,2,1,3,2,0,6,3,1,8,5,9,1,5,9,4,7,9,7,18,3,3,17,5,25,24,10,9
10,sequence_40845,0,1,1,3,2,5,0,8,6,2,0,1,11,3,1,4,5,9,5,4,3,3,17,6,20,24,6,9
11,sequence_40855,0,2,1,3,2,0,0,3,1,8,5,9,1,5,9,4,7,9,7,18,3,3,17,5,25,24,10,9
12,sequence_40857,0,1,3,1,0,5,2,8,6,2,0,1,11,3,1,3,2,1,2,2,8,1,10,6,20,6,6,15
13,sequence_40840,0,2,1,3,2,0,0,6,1,8,5,5,1,2,5,4,5,10,5,4,2,16,1,5,23,15,22,9
14,sequence_40841,0,1,3,1,0,5,2,8,6,2,10,1,6,3,5,3,5,1,5,4,2,16,1,9,4,15,22,6
15,sequence_40842,0,2,1,3,2,0,0,6,1,8,2,10,1,5,12,4,12,16,12,19,3,3,23,22,13,24,10,26
16,sequence_40844,0,1,3,1,0,2,2,1,3,2,10,8,6,3,5,1,5,8,5,4,2,16,1,9,4,15,22,6
17,sequence_40838,0,2,1,3,2,0,0,3,1,1,5,12,1,5,15,16,17,12,17,7,12,0,9,19,10,9,17,12
18,sequence_40816,0,1,3,1,0,2,2,1,3,9,7,8,3,8,7,1,9,18,9,17,17,10,15,20,12,13,19,20
19,sequence_40817,0,1,3,1,0,2,2,1,8,6,7,10,3,8,5,8,9,18,9,17,17,10,15,20,12,13,19,20
