,secuencia,affinity-0.5,affinity-0.55,affinity-0.6000000000000001,affinity-0.6500000000000001,affinity-0.7000000000000002,affinity-0.7500000000000002,affinity-0.8000000000000003,affinity-0.8500000000000003,affinity-0.9000000000000004,affinity-0.9500000000000004
0,sequence_53082,0,0,0,0,0,0,0,0,0,0
1,sequence_19402,1,1,1,1,1,1,1,1,1,1
2,sequence_20054,8,8,8,8,8,8,8,8,8,8
3,sequence_20048,8,8,8,8,8,8,8,8,8,8
4,sequence_20036,8,8,8,8,8,8,8,8,8,8
5,sequence_19525,13,13,13,13,13,13,13,13,13,13
6,sequence_20061,12,12,12,12,12,12,12,12,12,12
7,sequence_19496,10,10,10,10,10,10,10,10,10,10
8,sequence_19477,25,25,25,25,25,25,25,25,25,25
9,sequence_19363,1,1,1,1,1,1,1,1,1,1
10,sequence_19500,14,14,14,14,14,14,14,14,14,14
11,sequence_19453,22,22,22,22,22,22,22,22,22,20
12,sequence_53075,2,2,2,2,2,2,2,2,2,2
13,sequence_19522,17,17,17,17,17,17,17,17,17,16
14,sequence_19523,13,13,13,13,13,13,13,13,13,13
15,sequence_53078,2,2,2,2,2,2,2,2,2,2
16,sequence_20069,15,15,15,15,15,15,15,15,15,15
17,sequence_53062,32,32,32,32,32,32,32,32,32,32
18,sequence_20060,12,12,12,12,12,12,12,12,12,12
19,sequence_53066,20,20,20,20,20,20,20,20,20,21
20,sequence_19417,3,3,3,3,3,3,3,3,3,3
21,sequence_19391,9,9,9,9,9,9,9,9,9,9
22,sequence_19447,7,7,7,7,7,7,7,7,7,7
23,sequence_53079,20,20,20,20,20,20,20,20,20,21
24,sequence_20042,5,5,5,5,5,5,5,5,5,5
25,sequence_19419,16,16,16,16,16,16,16,16,16,20
26,sequence_19425,21,21,21,21,21,21,21,21,21,22
27,sequence_19450,7,7,7,7,7,7,7,7,7,7
28,sequence_53085,30,30,30,30,30,30,30,30,30,30
29,sequence_19509,13,13,13,13,13,13,13,13,13,13
30,sequence_53059,20,20,20,20,20,20,20,20,20,21
31,sequence_19430,22,22,22,22,22,22,22,22,22,9
32,sequence_20052,8,8,8,8,8,8,8,8,8,8
33,sequence_19369,6,6,6,6,6,6,6,6,6,6
34,sequence_53064,20,20,20,20,20,20,20,20,20,21
35,sequence_20072,4,4,4,4,4,4,4,4,4,4
36,sequence_20038,1,1,1,1,1,1,1,1,1,1
37,sequence_20039,5,5,5,5,5,5,5,5,5,5
38,sequence_19506,17,17,17,17,17,17,17,17,17,16
39,sequence_20064,23,23,23,23,23,23,23,23,23,23
40,sequence_19530,17,17,17,17,17,17,17,17,17,16
41,sequence_19498,25,25,25,25,25,25,25,25,25,25
42,sequence_19504,6,6,6,6,6,6,6,6,6,6
43,sequence_19386,1,1,1,1,1,1,1,1,1,1
44,sequence_19519,1,1,1,1,1,1,1,1,1,1
45,sequence_19404,19,19,19,19,19,19,19,19,19,19
46,sequence_19446,11,11,11,11,11,11,11,11,11,11
47,sequence_20063,15,15,15,15,15,15,15,15,15,15
48,sequence_20043,19,19,19,19,19,19,19,19,19,19
49,sequence_19497,29,29,29,29,29,29,29,29,29,29
50,sequence_19490,17,17,17,17,17,17,17,17,17,16
51,sequence_19376,9,9,9,9,9,9,9,9,9,9
52,sequence_19406,7,7,7,7,7,7,7,7,7,7
53,sequence_19405,3,3,3,3,3,3,3,3,3,3
54,sequence_19382,14,14,14,14,14,14,14,14,14,14
55,sequence_20067,15,15,15,15,15,15,15,15,15,15
56,sequence_19409,29,29,29,29,29,29,29,29,29,29
57,sequence_19354,7,7,7,7,7,7,7,7,7,7
58,sequence_20040,8,8,8,8,8,8,8,8,8,8
59,sequence_19370,6,6,6,6,6,6,6,6,6,6
60,sequence_19432,13,13,13,13,13,13,13,13,13,13
61,sequence_19371,3,3,3,3,3,3,3,3,3,3
62,sequence_19434,16,16,16,16,16,16,16,16,16,20
63,sequence_19505,3,3,3,3,3,3,3,3,3,3
64,sequence_53070,22,22,22,22,22,22,22,22,22,9
65,sequence_19392,18,18,18,18,18,18,18,18,18,18
66,sequence_19357,28,28,28,28,28,28,28,28,28,28
67,sequence_20056,27,27,27,27,27,27,27,27,27,27
68,sequence_19526,18,18,18,18,18,18,18,18,18,18
69,sequence_20046,5,5,5,5,5,5,5,5,5,5
70,sequence_19443,11,11,11,11,11,11,11,11,11,11
71,sequence_19410,7,7,7,7,7,7,7,7,7,7
72,sequence_19390,9,9,9,9,9,9,9,9,9,9
73,sequence_19439,22,22,22,22,22,22,22,22,22,11
74,sequence_20071,4,4,4,4,4,4,4,4,4,4
75,sequence_19451,25,25,25,25,25,25,25,25,25,25
76,sequence_20041,10,10,10,10,10,10,10,10,10,10
77,sequence_19415,7,7,7,7,7,7,7,7,7,7
78,sequence_20035,5,5,5,5,5,5,5,5,5,5
79,sequence_20051,20,20,20,20,20,20,20,20,20,21
80,sequence_19397,10,10,10,10,10,10,10,10,10,10
81,sequence_19394,1,1,1,1,1,1,1,1,1,1
82,sequence_19374,9,9,9,9,9,9,9,9,9,9
83,sequence_19378,10,10,10,10,10,10,10,10,10,10
84,sequence_19441,11,11,11,11,11,11,11,11,11,11
85,sequence_19433,13,13,13,13,13,13,13,13,13,13
86,sequence_20062,12,12,12,12,12,12,12,12,12,12
87,sequence_19393,24,24,24,24,24,24,24,24,24,24
88,sequence_20065,8,8,8,8,8,8,8,8,8,8
89,sequence_19383,11,11,11,11,11,11,11,11,11,11
90,sequence_19422,17,17,17,17,17,17,17,17,17,16
91,sequence_19495,13,13,13,13,13,13,13,13,13,13
92,sequence_19431,16,16,16,16,16,16,16,16,16,20
93,sequence_20058,15,15,15,15,15,15,15,15,15,15
94,sequence_19488,18,18,18,18,18,18,18,18,18,18
95,sequence_19375,10,10,10,10,10,10,10,10,10,10
96,sequence_19511,27,27,27,27,27,27,27,27,27,27
97,sequence_53065,20,20,20,20,20,20,20,20,20,21
98,sequence_53074,2,2,2,2,2,2,2,2,2,2
99,sequence_20050,15,15,15,15,15,15,15,15,15,15
100,sequence_19515,1,1,1,1,1,1,1,1,1,1
101,sequence_20057,15,15,15,15,15,15,15,15,15,15
102,sequence_19438,28,28,28,28,28,28,28,28,28,28
103,sequence_19486,13,13,13,13,13,13,13,13,13,13
104,sequence_19389,3,3,3,3,3,3,3,3,3,3
105,sequence_19468,14,14,14,14,14,14,14,14,14,14
106,sequence_20068,12,12,12,12,12,12,12,12,12,12
107,sequence_19420,10,10,10,10,10,10,10,10,10,10
108,sequence_20076,12,12,12,12,12,12,12,12,12,12
109,sequence_20070,5,5,5,5,5,5,5,5,5,5
110,sequence_19399,10,10,10,10,10,10,10,10,10,10
111,sequence_19436,16,16,16,16,16,16,16,16,16,20
112,sequence_19492,16,16,16,16,16,16,16,16,16,20
113,sequence_19445,6,6,6,6,6,6,6,6,6,6
114,sequence_19403,32,32,32,32,32,32,32,32,32,32
115,sequence_19428,21,21,21,21,21,21,21,21,21,22
116,sequence_19377,10,10,10,10,10,10,10,10,10,10
117,sequence_19427,25,25,25,25,25,25,25,25,25,25
118,sequence_19521,23,23,23,23,23,23,23,23,23,23
119,sequence_20045,15,15,15,15,15,15,15,15,15,15
120,sequence_19412,7,7,7,7,7,7,7,7,7,7
121,sequence_19508,17,17,17,17,17,17,17,17,17,16
122,sequence_53080,2,2,2,2,2,2,2,2,2,2
123,sequence_20073,15,15,15,15,15,15,15,15,15,15
124,sequence_19442,11,11,11,11,11,11,11,11,11,11
125,sequence_53077,0,0,0,0,0,0,0,0,0,17
126,sequence_19429,6,6,6,6,6,6,6,6,6,6
127,sequence_19416,7,7,7,7,7,7,7,7,7,7
128,sequence_20055,8,8,8,8,8,8,8,8,8,8
129,sequence_19388,7,7,7,7,7,7,7,7,7,7
130,sequence_20049,5,5,5,5,5,5,5,5,5,5
131,sequence_20059,4,4,4,4,4,4,4,4,4,4
132,sequence_19467,28,28,28,28,28,28,28,28,28,28
133,sequence_19373,9,9,9,9,9,9,9,9,9,9
134,sequence_19396,10,10,10,10,10,10,10,10,10,10
135,sequence_19527,10,10,10,10,10,10,10,10,10,10
136,sequence_19435,16,16,16,16,16,16,16,16,16,20
