,secuencia,birch-2,birch-3,birch-4,birch-5,birch-6,birch-7,birch-8,birch-9,birch-10,birch-11,birch-12,birch-13,birch-14,birch-15,birch-16,birch-17,birch-18,birch-19,birch-20,birch-21,birch-22,birch-23,birch-24,birch-25,birch-26,birch-27,birch-28,birch-29
0,sequence_53082,1,1,1,1,0,6,6,6,6,6,6,6,6,6,2,2,0,18,18,18,18,18,18,18,18,18,18,18
1,sequence_19402,0,0,0,4,4,4,1,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,1,0,17
2,sequence_20054,0,2,2,0,3,3,3,1,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
3,sequence_20048,0,2,2,0,3,3,3,1,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
4,sequence_20036,0,2,2,0,3,3,3,1,1,0,2,0,2,2,0,8,8,8,8,8,8,8,8,8,8,8,8,3
5,sequence_19525,0,0,0,2,2,0,7,3,3,3,3,3,3,1,1,0,17,17,17,17,17,17,17,17,17,17,17,8
6,sequence_20061,0,2,2,0,3,3,3,1,1,0,2,0,2,2,0,16,16,16,16,16,16,16,16,16,16,16,16,16
7,sequence_19496,0,0,0,2,2,0,7,3,3,3,3,3,3,1,1,0,14,14,14,14,14,6,6,6,2,2,2,2
8,sequence_19477,0,0,0,2,2,0,4,4,4,1,1,1,1,0,15,15,15,15,15,7,7,7,3,3,3,3,3,1
9,sequence_19363,0,0,0,4,4,4,1,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,1,0,28
10,sequence_19500,0,0,0,4,4,4,1,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,27,27
11,sequence_19453,0,0,3,3,1,1,0,7,7,7,7,7,7,3,3,1,1,0,5,5,2,0,7,7,7,7,7,7
12,sequence_53075,0,2,2,0,5,2,2,2,2,2,0,5,5,5,5,5,5,5,2,2,0,22,22,22,22,22,22,22
13,sequence_19522,0,0,0,4,4,4,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4
14,sequence_19523,0,0,0,4,4,4,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4
15,sequence_53078,0,2,2,0,5,2,2,2,2,2,0,5,5,5,5,5,5,5,2,2,0,14,14,14,6,6,6,6
16,sequence_20069,0,2,2,0,3,3,3,1,1,0,2,0,2,2,0,8,8,8,8,8,8,8,8,8,8,8,8,3
17,sequence_53062,1,1,1,1,0,5,5,5,5,5,5,2,0,14,14,14,6,6,6,6,6,2,2,2,0,4,1,0
18,sequence_20060,0,2,2,0,3,3,3,1,1,0,2,0,2,2,0,16,16,16,16,16,16,16,16,16,16,16,16,16
19,sequence_53066,0,2,2,0,5,2,2,2,2,2,0,5,5,5,5,5,5,5,2,2,0,14,14,14,6,6,6,6
20,sequence_19417,0,0,0,4,4,4,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4
21,sequence_19391,0,0,3,3,1,1,0,7,7,7,7,7,7,3,3,1,1,0,5,5,2,0,23,23,23,23,23,23
22,sequence_19447,0,0,0,2,2,0,4,4,4,1,1,1,1,0,6,6,2,2,0,15,15,15,15,15,15,15,15,15
23,sequence_53079,0,2,2,0,5,2,2,2,2,2,0,5,5,5,5,5,5,5,2,2,0,14,14,14,6,6,6,6
24,sequence_20042,0,2,2,0,3,3,3,1,1,0,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
25,sequence_19419,0,0,3,3,1,1,0,7,7,7,7,7,7,3,3,1,1,0,19,19,19,19,19,19,19,19,9,9
26,sequence_19425,0,0,3,3,1,1,0,8,8,8,8,8,8,8,8,3,3,1,1,0,12,12,12,12,12,12,12,12
27,sequence_19450,0,0,0,2,2,0,4,4,4,1,1,1,1,0,6,6,2,2,0,15,15,15,15,15,15,15,15,15
28,sequence_53085,0,2,2,0,5,2,2,2,2,2,0,12,12,12,12,12,12,12,12,12,5,5,5,5,5,5,5,5
29,sequence_19509,0,0,0,2,2,0,7,3,3,3,3,3,3,1,1,0,17,17,17,17,17,17,17,17,17,17,17,8
30,sequence_53059,0,2,2,0,5,2,2,2,2,2,0,5,5,5,5,5,5,5,2,2,0,14,14,14,6,6,6,6
31,sequence_19430,0,0,3,3,1,1,0,7,7,7,7,7,7,3,3,1,1,0,5,5,2,0,7,7,7,7,7,7
32,sequence_20052,0,2,2,0,3,3,3,1,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
33,sequence_19369,1,1,1,1,0,5,5,5,5,5,5,2,0,7,7,7,7,7,7,3,3,3,1,0,14,14,14,14
34,sequence_53064,0,2,2,0,5,2,2,2,2,2,0,5,5,5,5,5,5,5,2,2,0,14,14,14,6,6,6,6
35,sequence_20072,0,2,2,0,3,3,3,1,1,0,2,0,2,2,0,16,16,16,16,16,16,16,16,16,16,16,16,16
36,sequence_20038,0,0,0,4,4,4,1,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,1,0,28
37,sequence_20039,0,2,2,0,3,3,3,1,1,0,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
38,sequence_19506,0,0,0,4,4,4,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4
39,sequence_20064,1,1,1,1,0,6,6,6,6,6,6,6,6,6,2,2,0,3,3,1,1,1,0,10,10,10,10,10
40,sequence_19530,0,0,0,4,4,4,1,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,1,0,17
41,sequence_19498,0,0,0,2,2,0,4,4,4,1,1,1,1,0,15,15,15,15,15,7,7,7,3,3,3,3,3,1
42,sequence_19504,1,1,1,1,0,5,5,5,5,5,5,2,0,7,7,7,7,7,7,3,3,3,1,0,14,14,14,14
43,sequence_19386,0,0,0,4,4,4,1,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,4,1,0,28
44,sequence_19519,0,0,0,4,4,4,1,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,27,27
45,sequence_19404,1,1,1,1,0,5,5,5,5,5,5,2,0,14,14,14,6,6,6,6,6,2,2,2,0,4,1,0
46,sequence_19446,0,0,0,4,4,4,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4
47,sequence_20063,0,2,2,0,3,3,3,1,1,0,2,0,2,2,0,8,8,8,8,8,8,8,8,8,8,8,8,3
48,sequence_20043,1,1,1,1,0,5,5,5,5,5,5,2,0,14,14,14,6,6,6,6,6,2,2,2,0,4,1,0
49,sequence_19497,0,0,3,3,1,1,0,8,8,8,8,8,8,8,8,3,3,1,1,0,21,21,21,21,21,21,21,21
50,sequence_19490,0,0,0,4,4,4,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4
51,sequence_19376,0,0,3,3,1,1,0,7,7,7,7,7,7,3,3,1,1,0,5,5,2,0,23,23,23,23,23,23
52,sequence_19406,0,0,0,2,2,0,4,4,4,1,1,1,1,0,6,6,2,2,0,20,20,20,20,20,20,20,20,20
53,sequence_19405,0,0,0,4,4,4,1,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,19,19
54,sequence_19382,0,0,0,4,4,4,1,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,19,19
55,sequence_20067,0,2,2,0,3,3,3,1,1,0,2,0,2,2,0,8,8,8,8,8,8,8,8,8,8,8,8,3
56,sequence_19409,0,0,3,3,1,1,0,8,8,8,8,8,8,8,8,3,3,1,1,0,12,12,12,12,12,12,12,12
57,sequence_19354,0,0,0,2,2,0,4,4,4,1,1,1,1,0,6,6,2,2,0,20,20,20,20,20,20,20,20,20
58,sequence_20040,0,2,2,0,3,3,3,1,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
59,sequence_19370,1,1,1,1,0,5,5,5,5,5,5,2,0,7,7,7,7,7,7,3,3,3,1,0,14,14,14,14
60,sequence_19432,0,0,0,2,2,0,7,3,3,3,3,3,3,1,1,0,17,17,17,17,17,17,17,17,17,17,17,8
61,sequence_19371,0,0,0,4,4,4,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4
62,sequence_19434,0,0,3,3,1,1,0,7,7,7,7,7,7,3,3,1,1,0,19,19,19,19,19,19,19,19,9,9
63,sequence_19505,0,0,0,4,4,4,1,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4
64,sequence_53070,0,0,3,3,1,1,0,7,7,7,7,7,7,3,3,1,1,0,5,5,2,0,7,7,7,7,7,7
65,sequence_19392,0,0,3,3,1,1,0,7,7,7,7,7,7,3,3,1,1,0,19,19,19,19,19,19,19,19,9,9
66,sequence_19357,0,0,0,2,2,0,4,4,4,1,1,1,1,0,15,15,15,15,15,7,7,7,3,3,3,3,3,1
67,sequence_20056,1,1,1,1,0,5,5,5,5,5,5,2,0,14,14,14,6,6,6,6,6,2,2,2,0,4,1,0
68,sequence_19526,0,0,3,3,1,1,0,7,7,7,7,7,7,3,3,1,1,0,19,19,19,19,19,19,19,19,9,9
69,sequence_20046,0,2,2,0,3,3,3,1,1,0,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
70,sequence_19443,0,0,0,4,4,4,1,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,0,19,19
71,sequence_19410,0,0,0,2,2,0,4,4,4,1,1,1,1,0,6,6,2,2,0,20,20,20,20,20,20,20,20,20
72,sequence_19390,0,0,3,3,1,1,0,7,7,7,7,7,7,3,3,1,1,0,5,5,2,0,23,23,23,23,23,23
73,sequence_19439,0,0,3,3,1,1,0,8,8,8,8,8,8,8,8,3,3,1,1,0,12,12,12,12,12,12,12,12
