,secuencia,K-means-2,K-means-3,K-means-4,K-means-5,K-means-6,K-means-7,K-means-8,K-means-9,K-means-10,K-means-11,K-means-12,K-means-13,K-means-14,K-means-15,K-means-16,K-means-17,K-means-18,K-means-19,K-means-20,K-means-21,K-means-22,K-means-23,K-means-24,K-means-25,K-means-26,K-means-27,K-means-28,K-means-29
0,sequence_53082,1,1,2,2,2,3,4,7,5,3,11,6,10,5,6,7,8,9,9,3,11,5,6,3,5,3,2,8
1,sequence_19402,0,0,0,0,0,1,0,5,6,6,4,7,0,13,11,8,17,14,6,2,13,14,17,19,25,12,6,22
2,sequence_20054,0,0,3,4,3,4,3,6,1,10,5,8,6,11,5,10,14,4,10,20,10,0,13,10,2,4,12,10
3,sequence_20048,0,0,0,4,3,4,3,2,9,0,6,0,4,4,15,4,1,18,10,10,3,13,1,16,19,25,0,10
4,sequence_20036,0,0,3,4,3,4,3,6,1,10,5,8,6,11,5,10,10,4,10,20,5,6,13,10,11,21,12,10
5,sequence_19525,0,0,3,3,1,6,6,4,4,10,9,1,3,10,10,11,0,16,3,20,10,21,20,10,16,4,17,0
6,sequence_20061,0,0,3,4,3,4,3,6,1,0,5,8,6,11,9,10,14,15,7,8,5,6,23,11,21,6,11,13
7,sequence_19496,0,0,3,3,1,0,5,4,4,1,1,1,13,2,10,5,3,5,3,11,12,22,19,15,12,17,1,21
8,sequence_19477,0,0,3,3,1,0,5,4,7,1,1,3,13,2,8,2,0,0,1,12,4,22,10,1,4,20,4,12
9,sequence_19363,0,0,0,0,0,1,0,5,7,9,4,7,0,13,11,8,17,14,6,12,13,14,17,19,25,12,6,22
10,sequence_19500,0,0,0,0,0,1,0,5,6,6,0,7,0,0,2,6,9,7,12,19,6,4,11,24,7,2,5,24
11,sequence_19453,0,2,1,1,4,2,1,1,0,2,10,10,8,1,13,9,4,6,13,18,2,7,21,23,13,22,22,7
12,sequence_53075,0,0,3,4,3,4,3,6,8,8,5,11,12,11,9,1,15,4,18,7,21,16,8,13,23,0,23,27
13,sequence_19522,0,0,0,0,0,1,0,5,6,6,0,7,5,8,2,6,5,7,12,19,6,4,11,5,3,2,5,24
14,sequence_19523,0,0,3,3,1,6,6,4,4,7,9,5,3,10,10,5,0,16,3,0,10,21,20,6,16,17,17,0
15,sequence_53078,0,0,3,4,3,4,3,6,1,10,5,11,12,11,9,1,15,4,18,7,21,16,8,13,23,0,23,27
16,sequence_20069,0,0,0,4,3,4,3,2,9,0,6,8,4,4,15,4,1,18,7,10,3,13,1,8,15,14,0,6
17,sequence_53062,1,1,2,2,5,5,2,3,2,5,2,4,11,12,12,15,7,2,0,16,15,2,9,9,14,13,13,25
18,sequence_20060,0,0,3,4,3,4,3,6,1,0,5,8,6,11,9,10,14,15,7,8,5,6,23,11,21,6,11,13
19,sequence_53066,0,0,0,4,3,4,0,2,9,8,6,11,12,4,11,4,1,18,19,10,20,16,1,16,19,24,27,4
20,sequence_19417,0,0,0,0,0,1,0,5,6,9,4,0,5,8,14,6,5,3,2,4,7,10,5,14,8,25,8,18
21,sequence_19391,0,2,1,1,4,2,1,1,0,2,7,10,8,7,13,9,4,6,5,18,17,7,18,4,0,16,14,19
22,sequence_19447,0,0,3,3,1,6,6,0,7,7,9,5,3,10,1,13,6,12,17,9,14,11,0,6,22,9,7,20
23,sequence_53079,0,0,0,0,0,1,0,5,9,6,0,11,5,8,2,4,9,7,19,19,20,4,11,5,19,2,27,4
24,sequence_20042,0,2,1,4,4,2,7,8,0,2,10,12,8,1,5,16,10,10,8,17,2,18,16,22,11,10,25,26
25,sequence_19419,0,2,1,1,4,2,7,8,0,2,10,12,8,1,4,9,16,6,8,1,2,1,21,17,0,1,3,16
26,sequence_19425,0,2,1,1,4,2,1,1,3,4,8,2,7,6,13,0,12,17,11,14,19,17,7,23,10,8,21,19
27,sequence_19450,0,0,3,3,1,0,5,0,7,1,1,3,13,2,8,2,6,12,1,12,0,3,0,15,12,20,24,28
28,sequence_53085,0,2,1,1,4,2,1,1,3,8,8,11,7,6,0,14,11,11,15,15,19,15,14,18,17,0,10,14
29,sequence_19509,0,0,3,3,1,0,5,4,4,1,1,1,13,2,10,11,0,5,3,11,12,22,20,1,9,23,17,21
30,sequence_53059,0,0,3,4,3,4,3,6,1,10,5,11,12,11,5,1,15,4,18,7,21,16,8,13,23,21,23,27
31,sequence_19430,0,2,1,1,4,2,1,1,3,2,7,2,7,7,13,0,4,17,11,14,19,17,7,23,13,8,15,19
32,sequence_20052,0,0,3,4,3,4,3,6,1,10,5,8,6,11,5,10,10,15,10,8,5,6,13,11,11,21,12,13
33,sequence_19369,1,1,2,2,5,5,2,3,2,5,2,9,11,14,12,3,2,2,4,16,18,2,2,2,18,13,9,17
34,sequence_53064,0,0,0,4,3,4,3,2,9,8,6,11,12,4,15,4,1,18,19,10,20,16,1,16,19,24,27,4
35,sequence_20072,0,0,3,4,3,4,3,6,1,0,5,8,6,11,9,10,14,15,7,8,5,6,23,11,21,6,11,13
36,sequence_20038,0,0,0,4,3,4,3,2,9,0,6,8,4,4,15,4,1,18,7,10,3,13,1,11,15,14,0,6
37,sequence_20039,0,2,1,4,4,2,7,8,1,4,3,12,2,9,5,16,10,10,8,17,8,18,16,22,11,10,25,26
38,sequence_19506,0,0,0,0,0,1,0,5,6,6,0,7,5,13,11,8,9,3,12,19,13,4,11,5,3,2,16,11
