,secuencia,aglomerative-2,aglomerative-3,aglomerative-4,aglomerative-5,aglomerative-6,aglomerative-7,aglomerative-8,aglomerative-9,aglomerative-10,aglomerative-11,aglomerative-12,aglomerative-13,aglomerative-14,aglomerative-15,aglomerative-16,aglomerative-17,aglomerative-18,aglomerative-19,aglomerative-20,aglomerative-21,aglomerative-22,aglomerative-23,aglomerative-24,aglomerative-25,aglomerative-26,aglomerative-27,aglomerative-28,aglomerative-29
0,sequence_47787,1,1,1,1,0,2,2,2,2,0,7,7,7,7,7,7,7,7,7,3,3,1,0,11,11,11,5,5
1,sequence_47684,1,1,1,1,0,2,2,2,2,0,7,7,7,7,7,7,7,7,7,3,3,1,0,24,24,24,24,24
2,sequence_47789,1,1,1,1,0,6,6,6,6,2,2,2,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
3,sequence_47790,1,1,1,1,0,6,6,6,6,2,2,2,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
4,sequence_47781,0,0,2,0,5,5,5,5,5,5,5,5,2,2,0,9,9,9,9,9,4,4,1,1,1,0,11,11
5,sequence_47777,0,0,2,0,5,5,5,5,5,5,5,5,2,2,0,9,9,9,9,9,4,4,1,1,1,0,27,27
6,sequence_47779,0,0,2,0,5,5,5,5,5,5,5,5,2,2,0,9,9,9,9,9,4,4,1,1,1,0,27,27
7,sequence_47784,0,0,3,3,3,3,1,0,3,3,1,0,5,5,2,2,0,12,12,12,12,12,12,12,5,5,2,2
8,sequence_47786,0,0,2,0,5,5,5,5,5,5,5,5,2,2,0,9,9,9,9,9,4,4,1,1,1,0,11,11
9,sequence_47782,0,0,2,0,5,5,5,5,5,5,5,5,2,2,0,9,9,9,9,9,4,4,1,1,1,0,11,11
10,sequence_47772,1,1,1,1,0,2,2,2,2,0,7,7,7,7,7,7,7,7,7,3,3,1,0,11,11,11,5,5
11,sequence_47795,1,1,1,1,0,2,2,2,2,0,7,7,7,7,7,7,7,7,7,3,3,1,0,11,11,11,5,5
12,sequence_47776,1,1,1,1,0,2,2,2,2,0,7,7,7,7,7,7,7,7,7,3,3,1,0,11,11,11,5,5
13,sequence_47685,1,1,1,1,0,6,6,6,6,2,2,2,0,10,10,10,10,10,10,10,10,10,4,4,4,1,1,0
14,sequence_47679,0,2,0,2,2,0,3,3,1,1,0,12,12,12,12,12,12,5,5,5,5,5,5,2,0,9,9,9
15,sequence_47695,1,1,1,1,0,2,2,2,2,0,11,11,11,11,5,5,5,2,2,2,2,2,2,0,25,25,25,25
16,sequence_47710,1,1,1,1,0,2,2,2,2,0,11,11,11,11,5,5,5,2,2,2,2,2,2,0,25,25,25,25
17,sequence_47686,1,1,1,1,0,6,6,6,6,2,2,2,0,10,10,10,10,10,10,10,10,10,4,4,4,1,1,0
18,sequence_47778,0,0,2,0,1,1,0,4,9,9,9,9,9,9,9,4,4,4,4,4,1,0,23,23,23,23,23,23
19,sequence_47780,0,0,2,0,1,1,0,4,9,9,9,9,9,9,9,4,4,4,4,4,1,0,23,23,23,23,23,23
20,sequence_47785,0,0,2,0,1,1,0,4,9,9,9,9,9,9,9,4,4,4,4,4,1,0,10,10,10,10,10,4
21,sequence_47803,1,1,1,1,0,6,6,6,6,2,2,2,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
22,sequence_47663,0,0,3,3,3,3,1,0,4,4,4,4,4,1,1,0,13,13,13,13,13,13,13,13,13,13,13,13
