,secuencia,affinity-0.5,affinity-0.55,affinity-0.6000000000000001,affinity-0.6500000000000001,affinity-0.7000000000000002,affinity-0.7500000000000002,affinity-0.8000000000000003,affinity-0.8500000000000003,affinity-0.9000000000000004,affinity-0.9500000000000004
0,sequence_47787,16,16,15,16,16,15,15,15,15,16
1,sequence_47684,0,0,0,0,0,0,0,0,0,0
2,sequence_47789,16,16,15,16,16,15,15,15,15,16
3,sequence_47790,16,16,15,16,16,15,15,15,15,16
4,sequence_47781,1,2,2,2,2,2,2,2,2,3
5,sequence_47777,1,2,2,2,2,2,2,2,2,3
6,sequence_47779,1,2,2,2,2,2,2,2,2,3
7,sequence_47784,2,4,4,4,4,3,4,4,3,5
8,sequence_47786,16,16,15,16,16,15,15,15,15,16
9,sequence_47782,16,16,15,16,16,15,15,15,15,16
10,sequence_47772,16,16,15,16,16,15,15,15,15,16
11,sequence_47795,16,16,15,16,16,15,15,15,15,16
12,sequence_47776,9,11,11,11,10,9,10,10,10,10
13,sequence_47685,0,0,0,0,0,0,0,0,0,0
14,sequence_47679,11,13,13,13,12,11,12,12,12,12
15,sequence_47695,0,0,0,0,0,0,0,0,0,0
16,sequence_47710,0,0,0,0,0,0,0,0,0,0
17,sequence_47686,0,0,0,0,0,0,0,0,0,0
18,sequence_47778,1,2,2,2,2,2,2,2,2,3
19,sequence_47780,1,2,2,2,2,2,2,2,2,3
20,sequence_47785,1,2,2,2,2,2,2,2,2,3
21,sequence_47803,16,16,15,16,16,15,15,15,15,16
22,sequence_47663,2,4,4,4,4,3,4,4,3,5
23,sequence_47757,2,4,4,4,4,3,4,4,3,5
24,sequence_47783,14,15,14,15,14,13,13,13,14,14
25,sequence_47796,2,4,4,4,4,3,4,4,3,5
26,sequence_47750,15,16,15,16,16,15,15,15,15,16
27,sequence_47760,0,0,0,0,0,0,0,0,0,0
28,sequence_47773,16,16,15,16,16,15,15,15,15,16
29,sequence_47768,15,7,7,7,6,5,6,6,6,7
30,sequence_47771,16,16,15,16,16,15,15,15,15,16
31,sequence_47681,11,13,13,13,12,11,12,12,12,12
32,sequence_47696,0,0,0,0,0,0,0,0,0,0
33,sequence_47680,6,8,1,8,1,1,7,1,7,1
34,sequence_47673,11,13,13,13,12,11,12,12,12,12
35,sequence_47700,8,10,10,10,9,8,9,9,9,9
36,sequence_47689,2,4,4,4,4,3,4,4,3,5
37,sequence_47683,7,9,9,9,8,7,8,8,8,8
38,sequence_47697,0,0,0,0,0,0,0,0,0,0
39,sequence_47678,0,0,0,0,0,0,0,0,0,0
40,sequence_47682,11,13,13,13,12,11,12,12,12,12
41,sequence_47724,11,13,13,13,12,11,12,12,12,12
42,sequence_47806,10,12,12,12,11,10,11,11,11,11
43,sequence_47807,5,1,8,1,7,6,1,7,1,2
44,sequence_47804,1,2,2,2,2,2,2,2,2,3
45,sequence_47800,1,2,2,2,2,2,2,2,2,3
46,sequence_47799,1,2,2,2,2,2,2,2,2,3
47,sequence_47664,2,4,4,4,4,3,4,4,3,5
48,sequence_47666,13,3,3,3,3,12,3,3,13,4
49,sequence_47671,2,4,4,4,4,3,4,4,3,5
50,sequence_47727,14,15,14,15,14,13,13,13,14,14
51,sequence_47756,14,15,14,15,14,13,13,13,14,14
52,sequence_47775,14,15,14,15,14,13,13,13,14,14
53,sequence_47730,2,4,4,4,4,3,4,4,3,5
54,sequence_47758,2,4,4,4,4,3,4,4,3,5
55,sequence_47797,14,15,14,15,14,13,13,13,14,14
56,sequence_47798,2,4,4,4,4,3,4,4,3,5
57,sequence_47751,15,16,15,16,16,15,15,15,15,16
58,sequence_47741,15,7,7,7,6,5,6,6,6,7
59,sequence_47743,3,5,5,5,15,14,14,14,4,15
60,sequence_47752,2,4,4,4,4,3,4,4,3,5
61,sequence_47745,7,9,9,9,8,7,8,8,8,8
62,sequence_47747,4,6,6,6,5,4,5,5,5,6
63,sequence_47748,4,6,6,6,5,4,5,5,5,6
64,sequence_47749,4,6,6,6,5,4,5,5,5,6
65,sequence_47744,4,6,6,6,5,4,5,5,5,6
66,sequence_47721,16,16,15,16,16,15,15,15,15,16
67,sequence_47759,16,16,15,16,16,15,15,15,15,16
68,sequence_47774,1,2,2,2,2,2,2,2,2,3
69,sequence_47770,4,6,6,6,5,4,5,5,5,6
70,sequence_47713,15,7,7,7,6,5,6,6,6,7
71,sequence_47738,15,7,7,7,6,5,6,6,6,7
72,sequence_47769,1,2,2,2,2,2,2,2,2,3
73,sequence_47702,8,10,10,10,9,8,9,9,9,9
74,sequence_47672,11,13,13,13,12,11,12,12,12,12
75,sequence_47705,5,1,8,1,7,6,1,7,1,2
76,sequence_47694,0,0,0,0,0,0,0,0,0,0
77,sequence_47691,11,13,13,13,12,11,12,12,12,12
78,sequence_47701,8,10,10,10,9,8,9,9,9,9
79,sequence_47706,9,11,11,11,10,9,10,10,10,10
80,sequence_47675,6,8,1,8,1,1,7,1,7,1
81,sequence_47698,11,13,13,13,12,11,12,12,12,12
82,sequence_47688,2,4,4,4,4,3,4,4,3,5
83,sequence_47704,8,10,10,10,9,8,9,9,9,9
84,sequence_47708,7,9,9,9,8,7,8,8,8,8
85,sequence_47709,7,9,9,9,8,7,8,8,8,8
86,sequence_47677,7,9,9,9,8,7,8,8,8,8
87,sequence_47692,11,13,13,13,12,11,12,12,12,12
88,sequence_47703,8,10,10,10,9,8,9,9,9,9
89,sequence_47707,9,11,11,11,10,9,10,10,10,10
90,sequence_47762,10,12,12,12,11,10,11,11,11,11
91,sequence_47765,10,12,12,12,11,10,11,11,11,11
92,sequence_47767,8,10,10,10,9,8,9,9,9,9
93,sequence_47812,10,12,12,12,11,10,11,11,11,11
94,sequence_47761,10,12,12,12,11,10,11,11,11,11
95,sequence_47764,10,12,12,12,11,10,11,11,11,11
96,sequence_47763,8,10,10,10,9,8,9,9,9,9
97,sequence_47699,11,13,13,13,12,11,12,12,12,12
98,sequence_47687,0,0,0,0,0,0,0,0,0,0
99,sequence_47693,7,9,9,9,8,7,8,8,8,8
100,sequence_47690,2,4,4,4,4,3,4,4,3,5
101,sequence_47712,11,13,13,13,12,11,12,12,12,12
102,sequence_47714,1,7,7,7,6,5,6,6,6,7
103,sequence_47725,11,13,13,13,12,11,12,12,12,12
104,sequence_47669,12,14,4,14,13,3,4,4,3,5
105,sequence_47668,12,14,4,14,13,3,4,4,3,5
106,sequence_47670,2,4,4,4,4,3,4,4,3,5
107,sequence_47665,2,4,4,4,4,3,4,4,3,5
108,sequence_47661,2,4,4,4,4,3,4,4,3,5
109,sequence_47667,13,3,3,3,3,12,3,3,13,13
110,sequence_47726,14,15,14,15,14,13,13,13,14,14
111,sequence_47734,14,15,14,15,14,13,13,13,14,14
112,sequence_47811,14,15,14,15,14,13,13,13,14,14
113,sequence_47662,14,15,14,15,14,13,13,13,14,14
114,sequence_47731,14,15,14,15,14,13,13,13,14,14
115,sequence_47733,2,4,4,4,4,3,4,4,3,5
116,sequence_47732,14,15,14,15,14,13,13,13,14,14
117,sequence_47755,15,7,7,7,6,5,6,6,6,7
118,sequence_47746,7,9,9,9,8,7,8,8,8,8
119,sequence_47754,2,4,4,4,4,3,4,4,3,5
120,sequence_47753,15,7,7,7,6,5,6,6,6,7
121,sequence_47740,15,7,7,7,6,5,6,6,6,7
122,sequence_47742,15,7,7,7,6,5,6,6,6,7
123,sequence_47715,15,7,7,7,6,5,6,6,6,7
124,sequence_47718,15,7,7,7,6,5,6,6,6,7
125,sequence_47717,3,5,5,5,15,14,14,14,4,15
126,sequence_47720,4,6,6,6,5,4,5,5,5,6
127,sequence_47716,2,4,4,4,4,3,4,4,3,5
128,sequence_47719,4,6,6,6,5,4,5,5,5,6
129,sequence_47723,11,13,13,13,12,11,12,12,12,12
130,sequence_47722,15,7,7,7,6,5,6,6,6,7
