,secuencia,meanshift2,meanshift3,meanshift4,meanshift5,meanshift6,meanshift7,meanshift8,meanshift9,meanshift10,meanshift11,meanshift12,meanshift13,meanshift14,meanshift15,meanshift16,meanshift17,meanshift18,meanshift19,meanshift20,meanshift21,meanshift22,meanshift23,meanshift24,meanshift25,meanshift26,meanshift27,meanshift28,meanshift29
0,sequence_47787,7,7,7,7,2,2,2,3,3,3,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2
1,sequence_47684,3,3,3,3,0,0,0,1,1,1,2,2,3,5,5,5,5,5,5,5,6,6,6,6,6,7,8,8
2,sequence_47789,6,6,6,6,23,23,22,24,26,26,27,27,27,27,27,31,32,32,32,32,32,32,32,32,32,33,31,30
3,sequence_47790,131,131,131,131,107,107,106,104,101,101,99,97,94,92,92,84,83,83,83,82,81,81,81,81,81,74,73,72
4,sequence_47781,122,122,122,122,8,8,8,8,8,8,9,10,11,11,11,12,12,12,12,12,12,12,12,12,12,12,13,14
5,sequence_47777,129,129,129,129,8,8,8,8,8,8,9,10,11,11,11,12,12,12,12,12,12,12,12,12,12,12,13,14
6,sequence_47779,123,123,123,123,8,8,8,8,8,8,9,10,11,11,11,12,12,12,12,12,12,12,12,12,12,12,13,14
7,sequence_47784,127,127,127,127,105,105,104,102,99,99,97,95,92,90,90,82,81,81,81,80,79,79,79,79,79,11,12,13
8,sequence_47786,132,132,132,132,108,108,107,105,102,102,100,98,95,93,93,85,8,8,8,8,8,8,8,8,8,9,10,10
9,sequence_47782,125,125,125,125,103,103,102,100,97,97,95,93,90,88,88,81,80,80,80,79,78,78,78,78,78,72,71,70
10,sequence_47772,116,116,116,116,98,98,97,95,92,92,26,26,26,26,26,30,31,31,31,31,31,31,31,31,31,32,30,29
11,sequence_47795,135,135,135,135,110,110,109,107,104,104,102,100,97,95,95,87,85,85,85,84,83,83,83,83,83,76,75,74
12,sequence_47776,109,109,109,109,93,93,92,90,87,87,87,85,82,80,80,73,72,72,72,71,70,70,70,70,70,66,65,64
13,sequence_47685,4,4,4,4,0,0,0,1,1,1,2,2,3,5,5,5,5,5,5,5,6,6,6,6,6,7,8,8
14,sequence_47679,84,84,84,84,1,1,1,2,2,2,3,3,1,1,1,2,2,2,2,2,3,3,3,3,3,4,5,5
15,sequence_47695,3,3,3,3,0,0,0,1,1,1,2,2,3,5,5,5,5,5,5,5,6,6,6,6,6,7,8,8
