,secuencia,K-means-2,K-means-3,K-means-4,K-means-5,K-means-6,K-means-7,K-means-8,K-means-9,K-means-10,K-means-11,K-means-12,K-means-13,K-means-14,K-means-15,K-means-16,K-means-17,K-means-18,K-means-19,K-means-20,K-means-21,K-means-22,K-means-23,K-means-24,K-means-25,K-means-26,K-means-27,K-means-28,K-means-29
0,sequence_53082,1,2,3,2,2,5,3,2,2,3,3,3,7,0,13,8,3,9,4,12,4,12,22,20,12,22,11,11
1,sequence_19402,0,0,2,0,0,6,1,0,8,1,8,1,5,9,1,16,17,0,0,5,14,11,23,1,3,24,16,16
2,sequence_20054,0,0,2,3,3,2,6,4,4,10,9,10,12,14,11,11,12,4,8,20,7,20,15,7,14,23,21,21
3,sequence_20048,0,0,2,0,0,6,1,0,8,1,8,5,5,9,1,16,16,0,0,5,15,11,0,1,21,24,0,0
4,sequence_20036,1,1,0,1,5,0,0,5,0,7,0,7,2,1,15,10,13,8,18,4,5,6,16,2,22,8,4,4
5,sequence_19525,0,0,2,3,3,2,6,4,4,10,9,10,12,14,11,11,12,4,8,20,7,20,15,7,14,5,5,5
6,sequence_20061,1,1,0,1,5,0,5,5,6,7,0,7,2,1,7,10,13,8,18,10,5,6,12,10,5,8,4,4
7,sequence_19496,0,0,2,3,3,2,6,7,4,4,9,4,12,14,8,5,0,4,8,0,17,9,9,14,7,2,10,10
8,sequence_19477,1,1,1,4,4,1,7,3,0,0,7,0,0,6,12,7,4,18,6,2,1,8,7,8,9,13,3,3
9,sequence_19363,1,1,1,4,4,1,2,3,9,2,2,2,10,11,14,6,2,14,15,16,0,10,19,13,19,18,17,17
10,sequence_19500,1,1,0,1,5,0,5,8,3,5,10,5,6,5,6,0,8,2,9,9,13,22,13,6,10,12,26,26
11,sequence_19453,0,0,2,3,3,2,6,4,4,9,9,9,3,12,11,11,15,13,16,18,20,18,10,24,23,5,25,25
12,sequence_53075,0,2,3,2,2,5,3,2,2,3,11,11,1,4,5,4,14,11,12,1,18,4,6,9,8,21,2,2
13,sequence_19522,0,0,2,0,0,6,1,0,8,1,8,1,5,9,9,3,6,7,17,11,16,2,14,11,17,6,24,24
14,sequence_19523,0,0,2,3,3,2,6,4,4,10,1,10,12,14,9,3,0,1,2,6,21,16,4,5,0,23,21,21
15,sequence_53078,0,2,3,2,2,3,4,6,7,6,4,6,9,10,0,9,10,5,19,7,6,7,11,15,11,16,9,9
16,sequence_20069,1,1,0,1,5,0,5,8,3,5,10,5,13,8,7,0,16,2,5,9,13,13,13,6,15,19,12,12
17,sequence_53062,1,2,3,2,2,5,3,2,2,3,11,11,1,4,13,4,14,17,12,1,18,4,6,9,8,10,18,28
18,sequence_20060,1,1,0,1,5,0,0,5,6,7,0,7,2,8,7,10,13,8,18,10,5,6,12,2,5,8,4,4
19,sequence_53066,0,2,3,2,2,3,4,6,7,6,4,6,9,10,0,9,5,5,19,7,6,7,11,15,11,16,9,9
20,sequence_19417,0,0,2,0,0,6,1,0,8,1,8,1,5,9,1,16,6,7,17,11,15,11,0,1,21,6,0,0
21,sequence_19391,0,0,2,3,3,2,6,4,4,9,9,9,3,12,11,11,15,4,16,6,20,18,15,24,14,5,5,5
22,sequence_19447,1,1,1,4,1,4,7,1,5,0,7,0,8,3,12,14,4,1,11,19,19,3,7,21,18,1,27,27
23,sequence_53079,0,2,3,2,2,3,4,6,7,6,4,6,9,10,0,9,5,5,19,15,6,7,11,15,11,16,9,9
24,sequence_20042,0,0,2,0,0,6,1,7,1,9,6,9,11,2,4,1,17,0,16,14,2,1,8,22,13,25,16,16
25,sequence_19419,0,0,2,0,0,6,2,7,1,9,6,9,11,2,4,1,11,16,13,14,2,21,8,17,13,25,6,6
26,sequence_19425,1,1,0,1,1,4,7,1,5,8,5,12,6,13,3,2,1,13,10,13,9,17,17,16,16,14,1,1
27,sequence_19450,1,1,1,4,4,1,2,3,0,0,7,0,0,6,15,7,7,18,6,2,1,8,5,8,9,13,3,3
28,sequence_53085,1,2,3,2,2,5,3,2,2,3,3,3,7,0,5,8,14,11,4,1,4,12,6,9,12,15,11,28
29,sequence_19509,0,0,2,3,3,2,6,7,4,4,9,4,12,14,8,5,12,4,8,0,17,9,9,14,7,2,10,10
30,sequence_53059,0,2,3,2,2,3,4,6,7,6,4,6,9,10,0,9,10,5,19,7,6,7,11,15,11,16,9,9
31,sequence_19430,0,0,2,3,3,2,6,4,1,9,1,9,3,2,4,3,11,16,2,6,21,16,4,5,0,9,7,7
32,sequence_20052,0,0,2,0,0,6,1,7,8,4,6,4,11,7,8,5,17,0,0,5,14,11,23,1,7,2,16,16
