,secuencia,affinity-0.5,affinity-0.55,affinity-0.6000000000000001,affinity-0.6500000000000001,affinity-0.7000000000000002,affinity-0.7500000000000002,affinity-0.8000000000000003,affinity-0.8500000000000003,affinity-0.9000000000000004,affinity-0.9500000000000004
0,sequence_53082,22,23,22,23,23,23,22,22,22,22
1,sequence_19402,8,9,8,9,9,9,8,8,8,8
2,sequence_20054,7,8,7,8,8,8,7,7,7,7
3,sequence_20048,14,15,14,15,15,15,14,14,14,14
4,sequence_20036,21,22,21,22,22,22,21,21,21,21
5,sequence_19525,7,8,7,8,8,8,7,7,7,7
6,sequence_20061,12,13,12,13,13,13,12,12,12,12
7,sequence_19496,0,0,0,0,0,0,0,0,0,0
8,sequence_19477,20,21,20,21,21,21,20,20,20,20
9,sequence_19363,1,1,1,1,1,1,1,1,1,1
10,sequence_19500,12,13,12,13,13,13,12,12,12,12
11,sequence_19453,13,14,13,14,14,14,13,13,13,13
12,sequence_53075,9,10,9,10,10,10,9,9,9,9
13,sequence_19522,14,3,14,3,3,3,14,14,14,14
14,sequence_19523,4,5,4,5,5,5,4,4,4,4
15,sequence_53078,2,2,2,2,2,2,2,2,2,2
16,sequence_20069,12,13,12,13,13,13,12,12,12,12
17,sequence_53062,6,7,6,7,7,7,6,6,6,6
18,sequence_20060,12,13,12,13,13,13,12,12,12,12
19,sequence_53066,2,2,2,2,2,2,2,2,2,2
20,sequence_19417,14,15,14,15,15,15,14,14,14,14
21,sequence_19391,13,14,13,14,14,14,13,13,13,13
22,sequence_19447,19,20,19,20,20,20,19,19,19,19
23,sequence_53079,2,2,2,2,2,2,2,2,2,2
24,sequence_20042,11,11,11,11,11,11,10,10,10,10
25,sequence_19419,3,4,3,4,4,4,3,3,3,3
26,sequence_19425,24,25,24,25,25,25,24,24,24,24
27,sequence_19450,20,21,20,21,21,21,20,20,20,20
28,sequence_53085,22,23,22,23,23,23,22,22,22,22
29,sequence_19509,0,0,0,0,0,0,0,0,0,0
30,sequence_53059,2,2,2,2,2,2,2,2,2,2
31,sequence_19430,4,5,4,5,5,5,4,4,4,4
32,sequence_20052,8,9,8,9,9,9,8,8,8,8
33,sequence_19369,13,14,13,14,14,14,13,13,13,13
34,sequence_53064,6,7,6,7,7,7,6,6,6,6
35,sequence_20072,21,22,21,22,22,22,21,21,21,21
36,sequence_20038,1,1,1,1,1,1,1,1,1,1
37,sequence_20039,16,17,16,17,17,17,16,16,16,16
38,sequence_19506,14,15,14,15,15,15,14,14,14,14
39,sequence_20064,11,11,11,11,11,11,10,10,10,10
40,sequence_19530,8,9,8,9,9,9,8,8,8,8
41,sequence_19498,20,21,20,21,21,21,20,20,20,20
