,secuencia,aglomerative-2,aglomerative-3,aglomerative-4,aglomerative-5,aglomerative-6,aglomerative-7,aglomerative-8,aglomerative-9,aglomerative-10,aglomerative-11,aglomerative-12,aglomerative-13,aglomerative-14,aglomerative-15,aglomerative-16,aglomerative-17,aglomerative-18,aglomerative-19,aglomerative-20,aglomerative-21,aglomerative-22,aglomerative-23,aglomerative-24,aglomerative-25,aglomerative-26,aglomerative-27,aglomerative-28,aglomerative-29
0,sequence_51016,0,2,0,4,4,4,4,4,4,1,1,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
1,sequence_51170,0,0,3,1,1,1,1,0,2,2,0,7,3,3,1,1,1,0,11,11,11,11,23,23,23,23,23,23
2,sequence_32130,1,1,1,0,0,6,6,6,6,6,6,6,6,6,6,6,2,2,0,4,4,4,4,1,1,0,3,3
3,sequence_51136,0,2,0,3,3,3,3,1,1,0,2,2,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7
4,sequence_51191,0,2,0,3,3,3,3,1,1,0,5,5,5,5,5,2,0,3,3,3,3,1,1,0,25,25,25,25
5,sequence_51140,0,0,3,1,1,1,1,0,2,2,0,12,12,12,12,5,5,5,2,2,0,8,8,8,8,8,8,8
6,sequence_51149,0,0,3,1,1,1,1,0,2,2,0,7,3,3,1,1,1,0,19,19,19,19,19,19,19,19,19,19
7,sequence_51181,0,0,3,1,1,1,1,0,2,2,0,7,3,3,1,1,1,0,11,11,11,11,23,23,23,23,23,23
8,sequence_51159,0,0,3,1,1,1,1,0,2,2,0,7,3,3,1,1,1,0,11,11,11,11,23,23,23,23,23,23
9,sequence_51175,0,0,3,1,1,1,1,0,9,9,9,9,9,9,9,9,9,9,9,20,20,20,20,9,9,4,4,4
10,sequence_51174,0,0,3,1,1,1,1,0,2,2,0,7,3,3,1,1,1,0,11,11,11,11,23,23,23,23,23,23
11,sequence_51169,0,0,2,2,2,0,7,7,7,7,7,3,1,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12
12,sequence_51199,0,0,3,1,1,1,1,0,2,2,0,7,3,3,1,1,1,0,11,11,11,11,23,23,23,23,23,23
13,sequence_51144,0,0,3,1,1,1,1,0,2,2,0,7,3,3,1,1,1,0,19,19,19,19,19,19,19,19,19,19
14,sequence_51183,0,0,3,1,1,1,1,0,2,2,0,7,3,3,1,1,1,0,11,11,11,11,23,23,23,23,23,23
15,sequence_51157,0,0,3,1,1,1,1,0,2,2,0,7,3,3,1,1,1,0,11,11,11,11,23,23,23,23,23,23
16,sequence_51163,0,0,3,1,1,1,1,0,9,9,9,9,9,9,9,9,9,9,9,20,20,20,20,9,9,4,4,4
17,sequence_51173,0,0,3,1,1,1,1,0,2,2,0,7,3,3,1,1,1,0,11,11,11,11,23,23,23,23,23,23
18,sequence_51168,0,0,3,1,1,1,1,0,2,2,0,7,3,3,1,1,1,0,11,11,11,11,23,23,23,23,23,23
19,sequence_51171,0,0,3,1,1,1,1,0,2,2,0,7,3,3,1,1,1,0,11,11,11,11,23,23,23,23,23,23
20,sequence_51182,0,0,3,1,1,1,1,0,2,2,0,12,12,12,12,5,5,5,2,2,0,8,8,8,8,8,8,8
21,sequence_51131,0,0,2,2,2,0,0,3,3,3,3,1,0,14,14,14,14,14,14,14,6,6,6,6,6,6,6,2
22,sequence_51138,0,0,3,1,1,1,1,0,2,2,0,12,12,12,12,5,5,5,2,2,0,8,8,8,8,8,8,8
23,sequence_51196,0,2,0,3,3,3,3,1,1,0,5,5,5,5,5,2,0,18,18,18,18,18,18,18,18,18,18,18
24,sequence_51202,0,0,3,1,1,1,1,0,2,2,0,12,12,12,12,5,5,5,2,2,0,22,22,22,22,22,22,22
25,sequence_51192,0,2,0,3,3,3,3,1,1,0,5,5,5,5,5,2,0,3,3,3,3,1,1,0,5,5,5,5
26,sequence_51147,0,2,0,3,3,3,3,1,1,0,5,5,5,5,5,2,0,3,3,3,3,1,1,0,5,5,5,5
27,sequence_51151,0,0,3,1,1,1,1,0,2,2,0,7,3,3,1,1,1,0,19,19,19,19,19,19,19,19,19,19
28,sequence_51145,0,2,0,3,3,3,3,1,1,0,5,5,5,5,5,2,0,3,3,3,3,1,1,0,5,5,5,5
29,sequence_51187,0,2,0,3,3,3,3,1,1,0,2,2,2,0,15,15,15,15,15,15,15,15,15,15,15,15,15,15
30,sequence_51148,0,0,3,1,1,1,1,0,2,2,0,12,12,12,12,5,5,5,2,2,0,22,22,22,22,22,22,22
31,sequence_51141,0,0,3,1,1,1,1,0,2,2,0,12,12,12,12,5,5,5,2,2,0,8,8,8,8,8,8,8
32,sequence_51137,0,2,0,3,3,3,3,1,1,0,2,2,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7
33,sequence_32151,1,1,1,0,0,6,6,6,6,6,6,6,6,6,6,6,2,2,0,4,4,4,4,1,1,0,3,3
34,sequence_32148,1,1,1,0,0,6,6,6,6,6,6,6,6,6,6,6,2,2,0,4,4,4,4,1,1,0,3,3
35,sequence_32117,1,1,1,0,0,6,6,6,6,6,6,6,6,6,6,6,2,2,0,4,4,4,4,1,1,0,3,3
36,sequence_32141,1,1,1,0,0,6,6,6,6,6,6,6,6,6,6,6,2,2,0,4,4,4,4,1,1,0,3,3
37,sequence_32124,1,1,1,0,0,6,6,6,6,6,6,6,6,6,6,6,2,2,0,9,9,9,9,4,4,1,0,14
38,sequence_32126,1,1,1,0,0,6,6,6,6,6,6,6,6,6,6,6,2,2,0,4,4,4,4,1,1,0,27,27
39,sequence_32127,1,1,1,0,0,6,6,6,6,6,6,6,6,6,6,6,2,2,0,4,4,4,4,1,1,0,3,3
40,sequence_32133,1,1,1,0,0,6,6,6,6,6,6,6,6,6,6,6,2,2,0,4,4,4,4,1,1,0,3,3
41,sequence_32131,1,1,1,0,0,6,6,6,6,6,6,6,6,6,6,6,2,2,0,9,9,9,9,4,4,1,0,28
42,sequence_32174,1,1,1,0,0,6,6,6,6,6,6,6,6,6,6,6,2,2,0,4,4,4,4,1,1,0,3,3
43,sequence_32114,1,1,1,0,0,6,6,6,6,6,6,6,6,6,6,6,2,2,0,9,9,9,9,4,4,1,0,14
44,sequence_32147,1,1,1,0,0,6,6,6,6,6,6,6,6,6,6,6,2,2,0,4,4,4,4,1,1,0,3,3
45,sequence_32119,1,1,1,0,0,6,6,6,6,6,6,6,6,6,6,6,2,2,0,4,4,4,4,1,1,0,3,3
46,sequence_32122,1,1,1,0,0,6,6,6,6,6,6,6,6,6,6,6,2,2,0,9,9,9,9,4,4,1,0,14
47,sequence_32125,1,1,1,0,0,6,6,6,6,6,6,6,6,6,6,6,2,2,0,4,4,4,4,1,1,0,3,3
48,sequence_32128,1,1,1,0,0,6,6,6,6,6,6,6,6,6,6,6,2,2,0,4,4,4,4,1,1,0,3,3
49,sequence_32129,1,1,1,0,0,6,6,6,6,6,6,6,6,6,6,6,2,2,0,4,4,4,4,1,1,0,3,3
50,sequence_32132,1,1,1,0,0,6,6,6,6,6,6,6,6,6,6,6,2,2,0,9,9,9,9,4,4,1,0,28
51,sequence_32167,1,1,1,0,5,5,5,5,5,5,11,11,11,11,11,11,11,11,5,5,5,5,5,5,2,2,2,0
52,sequence_50970,0,2,0,4,4,4,4,4,4,1,1,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
53,sequence_51045,0,0,2,2,2,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3,3,3,3,1,1
54,sequence_51003,0,2,0,4,4,4,4,4,4,1,1,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
55,sequence_51032,0,2,0,4,4,4,4,4,4,1,1,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
56,sequence_51028,0,2,0,4,4,4,4,4,4,1,1,0,7,7,3,3,3,1,1,0,14,14,14,14,14,14,14,6
57,sequence_51025,0,2,0,4,4,4,4,4,4,1,1,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
58,sequence_51019,0,2,0,4,4,4,4,4,4,1,1,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
59,sequence_51017,0,2,0,4,4,4,4,4,4,1,1,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
60,sequence_51014,0,0,2,2,2,0,0,3,3,3,3,1,0,14,14,14,14,14,14,14,6,6,6,6,6,6,6,2
61,sequence_50984,0,2,0,4,4,4,4,4,4,1,1,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
62,sequence_51054,0,0,2,2,2,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3,3,3,3,1,1
63,sequence_51002,0,2,0,4,4,4,4,4,4,1,1,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
64,sequence_51033,0,2,0,4,4,4,4,4,4,1,1,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
65,sequence_51027,0,2,0,4,4,4,4,4,4,1,1,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
66,sequence_51023,0,2,0,4,4,4,4,4,4,1,1,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
67,sequence_51012,0,2,0,4,4,4,4,4,4,1,1,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
68,sequence_51018,0,2,0,4,4,4,4,4,4,1,1,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
69,sequence_51015,0,2,0,4,4,4,4,4,4,1,1,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
70,sequence_50973,0,0,2,2,2,0,0,3,3,3,3,1,0,2,2,0,17,17,17,17,17,17,17,17,17,17,17,17
71,sequence_32112,1,1,1,0,5,5,5,5,5,5,11,11,11,11,11,11,11,11,5,5,5,5,5,5,2,2,2,0
72,sequence_50978,0,0,2,2,2,0,7,7,7,7,7,3,1,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12
73,sequence_32162,1,1,1,0,5,5,5,5,5,5,11,11,11,11,11,11,11,11,5,5,5,5,5,5,2,2,2,0
74,sequence_50995,0,2,0,3,3,3,3,1,1,0,5,5,5,5,5,2,0,18,18,18,18,18,18,18,18,18,18,18
75,sequence_50972,0,0,2,2,2,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,3,3,3,3,3,1,1
76,sequence_32115,1,1,1,0,5,5,5,5,5,5,11,11,11,11,11,11,11,11,5,5,5,5,5,5,2,2,2,0
77,sequence_50979,0,0,2,2,2,0,0,3,3,3,3,1,0,2,2,0,17,17,17,17,17,17,17,17,17,17,17,17
78,sequence_32152,1,1,1,0,0,2,2,2,0,4,4,4,4,4,4,4,4,4,4,1,1,0,11,11,11,11,11,11
79,sequence_32113,1,1,1,0,0,2,2,2,0,4,4,4,4,4,4,4,4,4,4,1,1,0,0,20,20,20,20,20
80,sequence_32182,1,1,1,0,0,2,2,2,0,4,4,4,4,4,4,4,4,4,4,1,1,0,11,11,11,11,11,11
81,sequence_50987,0,2,0,4,4,4,4,4,4,1,1,0,7,7,3,3,3,1,1,0,21,21,21,21,21,21,21,21
82,sequence_51052,0,2,0,3,3,3,3,1,1,0,5,5,5,5,5,2,0,18,18,18,18,18,18,18,18,18,18,18
83,sequence_50988,0,0,2,2,2,0,7,7,7,7,7,3,1,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12
84,sequence_32158,1,1,1,0,0,2,2,2,0,4,4,4,4,4,4,4,4,4,4,1,1,0,11,11,11,11,11,11
85,sequence_32180,1,1,1,0,0,2,2,2,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
86,sequence_51046,0,2,0,3,3,3,3,1,1,0,5,5,5,5,5,2,0,3,3,3,3,1,1,0,5,5,5,5
87,sequence_32181,1,1,1,0,0,2,2,2,0,4,4,4,4,4,4,4,4,4,4,1,1,0,11,11,11,11,11,11
88,sequence_32163,1,1,1,0,5,5,5,5,5,5,11,11,11,11,11,11,11,11,5,5,5,5,5,5,2,2,2,0
89,sequence_50980,0,2,0,4,4,4,4,4,4,1,1,0,7,7,3,3,3,1,1,0,21,21,21,21,21,21,21,21
90,sequence_50969,0,0,2,2,2,0,0,3,3,3,3,1,0,2,2,0,6,6,6,6,2,2,2,2,0,9,9,9
91,sequence_50996,0,2,0,4,4,4,4,4,4,1,1,0,7,7,3,3,3,1,1,0,21,21,21,21,21,21,21,21
92,sequence_50989,0,0,2,2,2,0,0,3,3,3,3,1,0,2,2,0,6,6,6,6,2,2,2,2,0,26,26,26
93,sequence_32150,1,1,1,0,0,2,2,2,0,4,4,4,4,4,4,4,4,4,4,1,1,0,0,20,20,20,20,20
94,sequence_51053,0,0,2,2,2,0,0,3,3,3,3,1,0,2,2,0,6,6,6,6,2,2,2,2,0,26,26,26
95,sequence_50966,0,2,0,3,3,3,3,1,1,0,5,5,5,5,5,2,0,3,3,3,3,1,1,0,5,5,5,5
96,sequence_32116,1,1,1,0,0,6,6,6,6,6,6,6,6,6,6,6,2,2,0,4,4,4,4,1,1,0,27,27
97,sequence_32159,1,1,1,0,0,2,2,2,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
98,sequence_32149,1,1,1,0,5,5,5,5,5,5,11,11,11,11,11,11,11,11,5,5,5,5,5,5,2,2,2,0
99,sequence_51133,0,2,0,3,3,3,3,1,1,0,2,2,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7
100,sequence_51189,0,2,0,3,3,3,3,1,1,0,5,5,5,5,5,2,0,3,3,3,3,1,1,0,25,25,25,25
101,sequence_51167,0,0,3,1,1,1,1,0,2,2,0,7,3,3,1,1,1,0,11,11,11,11,23,23,23,23,23,23
102,sequence_51130,0,0,3,1,1,1,1,0,2,2,0,12,12,12,12,5,5,5,2,2,0,8,8,8,8,8,8,8
103,sequence_51186,0,0,3,1,1,1,1,0,2,2,0,7,3,3,1,1,1,0,19,19,19,19,19,19,19,19,19,19
104,sequence_51178,0,0,3,1,1,1,1,0,2,2,0,7,3,3,1,1,1,0,11,11,11,11,23,23,23,23,23,23
105,sequence_51158,0,0,2,2,2,0,7,7,7,7,7,3,1,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12
106,sequence_51165,0,0,3,1,1,1,1,0,2,2,0,7,3,3,1,1,1,0,11,11,11,11,23,23,23,23,23,23
107,sequence_51176,0,0,3,1,1,1,1,0,2,2,0,7,3,3,1,1,1,0,11,11,11,11,23,23,23,23,23,23
108,sequence_51155,0,0,3,1,1,1,1,0,2,2,0,7,3,3,1,1,1,0,11,11,11,11,23,23,23,23,23,23
109,sequence_51162,0,0,3,1,1,1,1,0,9,9,9,9,9,9,9,9,9,9,9,20,20,20,20,9,9,4,4,4
110,sequence_51172,0,0,3,1,1,1,1,0,2,2,0,7,3,3,1,1,1,0,11,11,11,11,23,23,23,23,23,23
